,0
Start,2023-07-21 11:00:00
End,2023-07-29 19:00:00
Duration,8 days 08:00:00
Exposure Time [%],18.125
Equity Final [$],9435.72
Equity Peak [$],10169.98
Return [%],-5.6428000000000065
Buy & Hold Return [%],-8.172635445362717
Return (Ann.) [%],-90.51607886430975
Volatility (Ann.) [%],2.6387868719398844
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-7.219876538596937
Avg. Drawdown [%],-2.4894875088159614
Max. Drawdown Duration,5 days 00:15:00
Avg. Drawdown Duration,1 days 16:30:00
# Trades,11
ticker,RANK-8-KRW-LINK
explain,# Explain RANK-8-KRW-LINK 
