,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],94.5
Equity Final [$],12847.804799999998
Equity Peak [$],14097.2688
Return [%],28.47804799999998
Buy & Hold Return [%],-2.2988505747126355
Return (Ann.) [%],283.8444663943595
Volatility (Ann.) [%],267.41968199767007
Sharpe Ratio,1.0614195046303005
Sortino Ratio,8.598666594305536
Calmar Ratio,15.574430984452567
Max. Drawdown [%],-18.225029644916845
Avg. Drawdown [%],-5.02016306737422
Max. Drawdown Duration,23 days 16:00:00
Avg. Drawdown Duration,5 days 01:00:00
# Trades,14
ticker,RANK-2-KRW-ANKR
explain,# Explain RANK-2-KRW-ANKR 
