,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],94.25
Equity Final [$],9579.034800000005
Equity Peak [$],12994.098000000007
Return [%],-4.209651999999951
Buy & Hold Return [%],-11.845102505694753
Return (Ann.) [%],-20.61439629356503
Volatility (Ann.) [%],42.13946340603895
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-28.006277927101987
Avg. Drawdown [%],-8.502318079087127
Max. Drawdown Duration,31 days 20:00:00
Avg. Drawdown Duration,8 days 14:00:00
# Trades,23
ticker,RANK-2-KRW-XEM
explain,# Explain RANK-2-KRW-XEM 
