,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],93.5
Equity Final [$],12164.850000000002
Equity Peak [$],14813.776000000003
Return [%],21.64850000000002
Buy & Hold Return [%],-18.75
Return (Ann.) [%],186.30111557420906
Volatility (Ann.) [%],190.3349346662509
Sharpe Ratio,0.9788067329882711
Sortino Ratio,6.17174728202376
Calmar Ratio,10.187886249629718
Max. Drawdown [%],-18.286532751676553
Avg. Drawdown [%],-5.0304007217655595
Max. Drawdown Duration,33 days 12:00:00
Avg. Drawdown Duration,6 days 12:00:00
# Trades,21
ticker,RANK-3-KRW-ADA
explain,# Explain RANK-3-KRW-ADA 
