,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],94.25
Equity Final [$],11230.507999999998
Equity Peak [$],13417.889999999996
Return [%],12.305079999999979
Buy & Hold Return [%],-13.377926421404682
Return (Ann.) [%],86.4344644411341
Volatility (Ann.) [%],106.63374792652986
Sharpe Ratio,0.8105732577334431
Sortino Ratio,2.906891261017731
Calmar Ratio,4.8660933154205
Max. Drawdown [%],-17.762599037553585
Avg. Drawdown [%],-4.419756457468615
Max. Drawdown Duration,15 days 12:00:00
Avg. Drawdown Duration,4 days 02:00:00
# Trades,16
ticker,RANK-3-KRW-BAT
explain,# Explain RANK-3-KRW-BAT 
