,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],93.0
Equity Final [$],8571.382000000001
Equity Peak [$],10292.655999999999
Return [%],-14.286179999999984
Buy & Hold Return [%],4.695431472081219
Return (Ann.) [%],-56.28398204634644
Volatility (Ann.) [%],26.10455435739768
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-26.35418885076892
Avg. Drawdown [%],-13.20881442538447
Max. Drawdown Duration,60 days 16:00:00
Avg. Drawdown Duration,30 days 14:00:00
# Trades,22
ticker,RANK-3-KRW-DAWN
explain,# Explain RANK-3-KRW-DAWN 
