,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],94.5
Equity Final [$],11383.531400000005
Equity Peak [$],11918.670999999998
Return [%],13.835314000000054
Buy & Hold Return [%],-2.1367521367521367
Return (Ann.) [%],100.48188002904243
Volatility (Ann.) [%],105.76775354646276
Sharpe Ratio,0.9500237705710721
Sortino Ratio,3.098785257928421
Calmar Ratio,3.8695647227754706
Max. Drawdown [%],-25.967230742420856
Avg. Drawdown [%],-2.723137420895949
Max. Drawdown Duration,48 days 20:00:00
Avg. Drawdown Duration,4 days 10:00:00
# Trades,21
ticker,RANK-3-KRW-HBAR
explain,# Explain RANK-3-KRW-HBAR 
