,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],93.75
Equity Final [$],11152.415999999997
Equity Peak [$],11309.597999999996
Return [%],11.524159999999975
Buy & Hold Return [%],-1.8480492813141685
Return (Ann.) [%],79.58078399445864
Volatility (Ann.) [%],79.85735039928257
Sharpe Ratio,0.9965367445395933
Sortino Ratio,2.888653227503819
Calmar Ratio,4.474621667555115
Max. Drawdown [%],-17.784919018179412
Avg. Drawdown [%],-4.426280621697176
Max. Drawdown Duration,23 days 20:00:00
Avg. Drawdown Duration,5 days 14:00:00
# Trades,20
ticker,RANK-3-KRW-HIVE
explain,# Explain RANK-3-KRW-HIVE 
