,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],93.25
Equity Final [$],9979.961900000002
Equity Peak [$],12199.763160000002
Return [%],-0.2003809999999794
Buy & Hold Return [%],1.6152716593245278
Return (Ann.) [%],-1.0708783809178168
Volatility (Ann.) [%],46.914660606224444
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-18.312409599269618
Avg. Drawdown [%],-6.636626047757886
Max. Drawdown Duration,20 days 20:00:00
Avg. Drawdown Duration,5 days 23:00:00
# Trades,19
ticker,RANK-3-KRW-IQ
explain,# Explain RANK-3-KRW-IQ 
