,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],92.0
Equity Final [$],7643.477399999998
Equity Peak [$],10298.041599999999
Return [%],-23.56522600000002
Buy & Hold Return [%],-3.076923076923077
Return (Ann.) [%],-76.3654573227544
Volatility (Ann.) [%],13.755029331587917
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-27.649569797814777
Avg. Drawdown [%],-7.783467282362711
Max. Drawdown Duration,55 days 16:00:00
Avg. Drawdown Duration,12 days 02:00:00
# Trades,20
ticker,RANK-3-KRW-JST
explain,# Explain RANK-3-KRW-JST 
