,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],93.0
Equity Final [$],1069.5756200000035
Equity Peak [$],10152.2535
Return [%],-89.30424379999997
Buy & Hold Return [%],108.83534136546184
Return (Ann.) [%],-99.999384610706
Volatility (Ann.) [%],0.008769483261264508
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-89.73256903011728
Avg. Drawdown [%],-89.73256903011728
Max. Drawdown Duration,61 days 04:00:00
Avg. Drawdown Duration,61 days 04:00:00
# Trades,20
ticker,RANK-3-KRW-RFR
explain,# Explain RANK-3-KRW-RFR 
