,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],92.0
Equity Final [$],11897.252000000002
Equity Peak [$],16012.254
Return [%],18.972520000000024
Buy & Hold Return [%],-5.164319248826291
Return (Ann.) [%],154.08033071815956
Volatility (Ann.) [%],180.13756341223095
Sharpe Ratio,0.8553481450482295
Sortino Ratio,4.270813389791639
Calmar Ratio,5.995558184086361
Max. Drawdown [%],-25.699080216938842
Avg. Drawdown [%],-7.0733958895162345
Max. Drawdown Duration,17 days 08:00:00
Avg. Drawdown Duration,5 days 22:00:00
# Trades,14
ticker,RANK-4-KRW-POWR
explain,# Explain RANK-4-KRW-POWR 
