,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],88.5
Equity Final [$],9390.818239999997
Equity Peak [$],13631.011839999997
Return [%],-6.091817600000031
Buy & Hold Return [%],1.574803149606308
Return (Ann.) [%],-28.635591219146505
Volatility (Ann.) [%],46.880390573225135
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-31.10696146237081
Avg. Drawdown [%],-4.616587692047084
Max. Drawdown Duration,31 days 16:00:00
Avg. Drawdown Duration,3 days 10:00:00
# Trades,15
ticker,RANK-4-KRW-QKC
explain,# Explain RANK-4-KRW-QKC 
