,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],91.75
Equity Final [$],17804.328
Equity Peak [$],19964.932
Return [%],78.04328000000001
Buy & Hold Return [%],75.42372881355932
Return (Ann.) [%],2111.7341688831257
Volatility (Ann.) [%],2814.0017784407983
Sharpe Ratio,0.7504381074176897
Sortino Ratio,53.70273970622379
Calmar Ratio,100.45565693509447
Max. Drawdown [%],-21.021555513270307
Avg. Drawdown [%],-6.553347003035174
Max. Drawdown Duration,28 days 08:00:00
Avg. Drawdown Duration,4 days 22:00:00
# Trades,15
ticker,RANK-4-KRW-XLM
explain,# Explain RANK-4-KRW-XLM 
