,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],92.25
Equity Final [$],13236.729999999996
Equity Peak [$],19012.699999999997
Return [%],32.36729999999996
Buy & Hold Return [%],-1.37524557956778
Return (Ann.) [%],350.4803704584208
Volatility (Ann.) [%],2142.105569121582
Sharpe Ratio,0.16361489158638576
Sortino Ratio,5.727313110135775
Calmar Ratio,9.764214086935167
Max. Drawdown [%],-35.89437586455369
Avg. Drawdown [%],-5.9224927906594065
Max. Drawdown Duration,34 days 12:00:00
Avg. Drawdown Duration,5 days 10:00:00
# Trades,21
ticker,RANK-5-KRW-WAVES
explain,# Explain RANK-5-KRW-WAVES 
