,0
Start,2023-05-23 21:00:00
End,2023-07-29 09:00:00
Duration,66 days 12:00:00
Exposure Time [%],94.25
Equity Final [$],9712.210000000003
Equity Peak [$],12237.279999999999
Return [%],-2.8778999999999724
Buy & Hold Return [%],-42.394366197183096
Return (Ann.) [%],-14.507533879171241
Volatility (Ann.) [%],77.61942911714432
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-26.02341369977642
Avg. Drawdown [%],-7.382642102573084
Max. Drawdown Duration,47 days 00:00:00
Avg. Drawdown Duration,10 days 08:00:00
# Trades,18
ticker,RANK-7-KRW-SUI
explain,# Explain RANK-7-KRW-SUI 
