Date,Open,High,Low,Close
2022-09-15,25050.0,25600.0,24900.0,25100.0
2022-09-16,25300.0,25500.0,24550.0,24550.0
2022-09-19,24600.0,24900.0,24150.0,24200.0
2022-09-20,24850.0,24850.0,24000.0,24600.0
2022-09-21,24350.0,24800.0,23900.0,24250.0
2022-09-22,24050.0,24050.0,23150.0,23800.0
2022-09-23,24200.0,24200.0,22600.0,22900.0
2022-09-26,22300.0,22700.0,21600.0,22150.0
2022-09-27,22350.0,22900.0,21400.0,21700.0
2022-09-28,21250.0,21600.0,20350.0,20850.0
2022-09-29,21000.0,22050.0,20650.0,20850.0
2022-09-30,20850.0,21350.0,20050.0,20850.0
2022-10-04,21000.0,22050.0,20950.0,21600.0
2022-10-05,21900.0,22200.0,20600.0,20800.0
2022-10-06,20800.0,21450.0,20650.0,21250.0
2022-10-07,20850.0,21900.0,20800.0,21750.0
2022-10-11,21050.0,21600.0,20500.0,20850.0
2022-10-12,20600.0,21200.0,20500.0,20850.0
2022-10-13,20900.0,21200.0,20150.0,20350.0
2022-10-14,20650.0,22350.0,20600.0,22300.0
2022-10-17,21900.0,22850.0,21750.0,22750.0
2022-10-18,23300.0,24550.0,23250.0,23950.0
2022-10-19,24150.0,24700.0,23200.0,23400.0
2022-10-20,23050.0,23050.0,22150.0,22850.0
2022-10-21,22700.0,23000.0,20900.0,21200.0
2022-10-24,22000.0,22650.0,21100.0,21200.0
2022-10-25,21600.0,21600.0,19950.0,20950.0
2022-10-26,21050.0,21150.0,20450.0,20550.0
2022-10-27,20800.0,22150.0,20650.0,22150.0
2022-10-28,22150.0,22500.0,21950.0,22100.0
2022-10-31,22550.0,22800.0,21150.0,21700.0
2022-11-01,21800.0,21950.0,21350.0,21550.0
2022-11-02,21250.0,22600.0,21200.0,22200.0
2022-11-03,21550.0,22750.0,21300.0,22350.0
2022-11-04,22650.0,24700.0,22550.0,24500.0
2022-11-07,24600.0,24600.0,23600.0,23850.0
2022-11-08,24000.0,26150.0,24000.0,25900.0
2022-11-09,26000.0,29300.0,25750.0,28550.0
2022-11-10,28100.0,29200.0,27400.0,27950.0
2022-11-11,29250.0,29400.0,27300.0,27900.0
2022-11-14,28100.0,28700.0,27050.0,28700.0
2022-11-15,28900.0,30400.0,28700.0,29850.0
2022-11-16,29700.0,29850.0,27900.0,28000.0
2022-11-17,28200.0,28300.0,27000.0,27750.0
2022-11-18,27400.0,28450.0,27200.0,28050.0
2022-11-21,27900.0,28450.0,26550.0,26750.0
2022-11-22,34750.0,34750.0,34750.0,34750.0
2022-11-23,45100.0,45150.0,35000.0,36400.0
2022-11-24,36400.0,36700.0,34450.0,36000.0
2022-11-25,35700.0,37800.0,34850.0,37050.0
2022-11-28,36650.0,37500.0,35600.0,35600.0
2022-11-29,35250.0,39800.0,35200.0,36600.0
2022-11-30,36450.0,39400.0,36400.0,37750.0
2022-12-01,38500.0,41600.0,38100.0,41200.0
2022-12-02,41100.0,42650.0,40050.0,40300.0
2022-12-05,39700.0,40050.0,37750.0,38950.0
2022-12-06,38550.0,39900.0,38550.0,39350.0
2022-12-07,39100.0,39500.0,37300.0,37750.0
2022-12-08,37750.0,38250.0,37000.0,37200.0
2022-12-09,37200.0,37450.0,36050.0,36750.0
2022-12-12,36750.0,38300.0,36700.0,37500.0
2022-12-13,37750.0,38250.0,37200.0,38200.0
2022-12-14,38300.0,38350.0,37850.0,38250.0
2022-12-15,38100.0,38250.0,36750.0,37250.0
2022-12-16,36500.0,39250.0,36450.0,38800.0
2022-12-19,38650.0,40000.0,38250.0,39500.0
2022-12-20,39700.0,41600.0,39300.0,40850.0
2022-12-21,41400.0,41450.0,40050.0,40650.0
2022-12-22,40900.0,42300.0,40850.0,42300.0
2022-12-23,41900.0,42650.0,41550.0,42250.0
2022-12-26,42100.0,42150.0,40050.0,41700.0
2022-12-27,41900.0,42400.0,40750.0,41700.0
2022-12-28,41100.0,43000.0,40700.0,42250.0
2022-12-29,42000.0,43850.0,42000.0,42700.0
2023-01-02,42750.0,43500.0,40850.0,41550.0
2023-01-03,41750.0,41800.0,39400.0,40150.0
2023-01-04,40150.0,40550.0,38950.0,40400.0
2023-01-05,40100.0,40600.0,39000.0,39200.0
2023-01-06,38750.0,39000.0,37300.0,37600.0
2023-01-09,38150.0,39150.0,37800.0,38650.0
2023-01-10,39050.0,40050.0,38700.0,39750.0
2023-01-11,39950.0,40000.0,38350.0,38650.0
2023-01-12,38950.0,42300.0,38900.0,42200.0
2023-01-13,42600.0,45500.0,42250.0,43900.0
2023-01-16,43900.0,44950.0,43150.0,44500.0
2023-01-17,44100.0,46900.0,43800.0,45950.0
2023-01-18,45800.0,47150.0,45650.0,47100.0
2023-01-19,47150.0,48650.0,47150.0,48200.0
2023-01-20,48350.0,48550.0,46800.0,47000.0
2023-01-25,47000.0,47450.0,45400.0,45950.0
2023-01-26,45650.0,47050.0,45050.0,45250.0
2023-01-27,45000.0,45300.0,43400.0,43550.0
2023-01-30,43600.0,43600.0,41600.0,42750.0
2023-01-31,42650.0,44250.0,42600.0,42950.0
2023-02-01,42950.0,44000.0,42700.0,43900.0
2023-02-02,44000.0,45000.0,41850.0,42600.0
2023-02-03,42600.0,42950.0,41700.0,42600.0
2023-02-06,42700.0,42800.0,40900.0,41900.0
2023-02-07,41900.0,42500.0,41200.0,41900.0
2023-02-08,42150.0,42200.0,41400.0,41850.0
2023-02-09,41600.0,43050.0,41500.0,42950.0
