,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],67.72908366533864
Equity Final [$],8912905.200000001
Equity Peak [$],10256942.340000002
Return [%],-10.870947999999988
Buy & Hold Return [%],7.6068376068376065
Return (Ann.) [%],-10.911804780366108
Volatility (Ann.) [%],16.85215431110136
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-16.031065452981775
Avg. Drawdown [%],-12.708457152908254
Max. Drawdown Duration,183 days 00:00:00
Avg. Drawdown Duration,123 days 00:00:00
# Trades,6
Win Rate [%],33.33333333333333
Best Trade [%],3.015908359929742
Worst Trade [%],-5.938749746188421
Avg. Trade [%],-1.9007217935511411
Max. Trade Duration,73 days 00:00:00
Avg. Trade Duration,42 days 00:00:00
Profit Factor,0.3179774528608546
Expectancy [%],-1.8392262036952267
SQN,-1.2354021692538277
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   8782405.2     0.143760              NaT
2023-09-12   8746155.2     0.147294              NaT
2023-09-13   8891155.2     0.133157              NaT
2023-09-14   8905655.2     0.131744              NaT
2023-09-15   8912905.2     0.131037         183 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -788        81       95    12674.60    12820.0 -114575.20  -0.011472 2023-01-11 2023-02-02  22 days
1   769        95      113    12845.64    12150.0 -534947.16  -0.054154 2023-02-02 2023-02-28  26 days
2  -771       113      152    12125.70    11760.0  281954.70   0.030159 2023-02-28 2023-04-25  56 days
3   817       152      201    11783.52    11350.0 -354185.84  -0.036790 2023-04-25 2023-07-07  73 days
4  -819       201      246    11327.30    12000.0 -550941.30  -0.059387 2023-07-07 2023-09-11  66 days
5   725       246      250    12024.00    12280.0  185600.00   0.021291 2023-09-11 2023-09-15   4 days"
