Date,Open,High,Low,Close
2022-09-15,2416.01,2421.63,2401.83,2401.83
2022-09-16,2387.56,2395.1,2371.11,2382.78
2022-09-19,2388.73,2389.85,2352.76,2355.66
2022-09-20,2373.64,2382.52,2359.84,2367.85
2022-09-21,2351.54,2360.27,2341.79,2347.21
2022-09-22,2319.7,2335.11,2309.1,2332.31
2022-09-23,2331.33,2334.06,2285.71,2290.0
2022-09-26,2260.8,2260.8,2215.36,2220.94
2022-09-27,2224.39,2227.35,2197.9,2223.86
2022-09-28,2206.15,2223.56,2151.6,2169.29
2022-09-29,2197.75,2210.61,2170.14,2170.93
2022-09-30,2161.11,2177.2,2134.77,2155.49
2022-10-04,2189.51,2212.38,2180.84,2209.38
2022-10-05,2248.85,2253.93,2204.03,2215.22
2022-10-06,2230.43,2250.87,2223.36,2237.86
2022-10-07,2217.84,2245.88,2215.08,2232.84
2022-10-11,2193.02,2193.05,2174.06,2192.07
2022-10-12,2191.35,2205.02,2181.65,2202.47
2022-10-13,2198.29,2198.34,2162.87,2162.87
2022-10-14,2200.66,2220.54,2193.63,2212.55
2022-10-17,2187.17,2221.05,2177.66,2219.71
2022-10-18,2249.15,2251.74,2220.71,2249.95
2022-10-19,2249.35,2266.8,2234.59,2237.44
2022-10-20,2225.53,2231.52,2200.44,2218.09
2022-10-21,2210.59,2224.04,2204.64,2213.12
2022-10-24,2248.26,2256.67,2229.85,2236.16
2022-10-25,2237.04,2253.24,2230.75,2235.07
2022-10-26,2240.7,2258.11,2234.49,2249.56
2022-10-27,2266.07,2290.56,2262.02,2288.78
2022-10-28,2276.73,2292.65,2266.44,2268.4
2022-10-31,2293.75,2295.51,2273.73,2293.61
2022-11-01,2301.58,2335.57,2297.57,2335.22
2022-11-02,2326.05,2346.32,2323.37,2336.87
2022-11-03,2297.45,2342.86,2296.44,2329.17
2022-11-04,2325.85,2348.43,2316.29,2348.43
2022-11-07,2360.22,2373.28,2354.22,2371.79
2022-11-08,2387.2,2400.39,2375.67,2399.04
