Date,Open,High,Low,Close
2022-09-15,55200.0,55700.0,54800.0,55100.0
2022-09-16,54700.0,55800.0,54300.0,55700.0
2022-09-19,55600.0,55700.0,54800.0,55100.0
2022-09-20,55900.0,56700.0,55600.0,55900.0
2022-09-21,55300.0,56200.0,54900.0,55100.0
2022-09-22,54600.0,54600.0,53400.0,53900.0
2022-09-23,53900.0,53900.0,52500.0,52900.0
2022-09-26,52100.0,52100.0,50100.0,50200.0
2022-09-27,49850.0,50400.0,48750.0,49850.0
2022-09-28,49350.0,50100.0,47950.0,49050.0
2022-09-29,49450.0,50000.0,48050.0,48200.0
2022-09-30,47950.0,48450.0,47150.0,47500.0
2022-10-04,48000.0,48750.0,47650.0,47900.0
2022-10-05,48650.0,49100.0,47000.0,48100.0
2022-10-06,48150.0,48750.0,47900.0,48550.0
2022-10-07,48150.0,49100.0,47850.0,49000.0
2022-10-11,48000.0,48100.0,46600.0,46950.0
2022-10-12,46350.0,48800.0,46250.0,48750.0
2022-10-13,48950.0,49450.0,48000.0,48150.0
2022-10-14,49150.0,50900.0,49050.0,50600.0
2022-10-17,49800.0,50900.0,49550.0,50600.0
2022-10-18,51300.0,51900.0,50800.0,51400.0
2022-10-19,51400.0,52200.0,50800.0,51100.0
2022-10-20,50500.0,50500.0,47200.0,47850.0
2022-10-21,47800.0,48550.0,47500.0,48150.0
2022-10-24,49150.0,50300.0,48400.0,49000.0
2022-10-25,48900.0,49150.0,46900.0,47200.0
2022-10-26,47500.0,47550.0,46450.0,46800.0
2022-10-27,47250.0,49800.0,47050.0,49600.0
2022-10-28,49500.0,50500.0,49300.0,50000.0
2022-10-31,51200.0,51300.0,49100.0,49550.0
2022-11-01,50000.0,50200.0,49300.0,49700.0
2022-11-02,49550.0,50500.0,49400.0,50400.0
2022-11-03,49350.0,50500.0,48850.0,49700.0
2022-11-04,49550.0,51300.0,49500.0,51200.0
2022-11-07,51300.0,53200.0,51300.0,53000.0
2022-11-08,53500.0,53900.0,52300.0,53200.0
2022-11-09,53500.0,54000.0,53200.0,53800.0
2022-11-10,53200.0,54600.0,53100.0,54000.0
2022-11-11,56000.0,57800.0,55700.0,57200.0
2022-11-14,57200.0,57800.0,56700.0,57000.0
2022-11-15,57000.0,57300.0,56500.0,57100.0
2022-11-16,57200.0,57400.0,55900.0,56800.0
2022-11-17,56100.0,56100.0,55000.0,55200.0
2022-11-18,55200.0,56000.0,55100.0,55600.0
2022-11-21,55800.0,56100.0,55300.0,55900.0
2022-11-22,56100.0,56400.0,55600.0,56400.0
2022-11-23,56200.0,56700.0,55800.0,56400.0
2022-11-24,56900.0,58100.0,56700.0,57500.0
2022-11-25,57800.0,58000.0,56800.0,57300.0
2022-11-28,56700.0,57300.0,56200.0,56500.0
2022-11-29,56300.0,57600.0,55500.0,57200.0
2022-11-30,57200.0,57900.0,56900.0,57700.0
2022-12-01,58400.0,59200.0,58200.0,59000.0
2022-12-02,58900.0,59200.0,57700.0,57900.0
2022-12-05,57900.0,58600.0,57300.0,57600.0
