Date,Open,High,Low,Close
2022-09-15,35200.0,35800.0,34750.0,34750.0
2022-09-16,34800.0,35050.0,34000.0,34600.0
2022-09-19,34450.0,34500.0,33300.0,33450.0
2022-09-20,33550.0,34400.0,33550.0,34000.0
2022-09-21,33450.0,34200.0,33400.0,33600.0
2022-09-22,33100.0,33200.0,32100.0,32600.0
2022-09-23,32600.0,32750.0,31550.0,31700.0
2022-09-26,30950.0,31300.0,29600.0,29750.0
2022-09-27,29800.0,30050.0,29300.0,30000.0
2022-09-28,29450.0,30200.0,28750.0,29300.0
2022-09-29,29600.0,30100.0,28900.0,28950.0
2022-09-30,28750.0,29000.0,28050.0,28100.0
2022-10-04,28200.0,30100.0,28200.0,29600.0
2022-10-05,30250.0,30300.0,29050.0,29300.0
2022-10-06,29650.0,30350.0,29550.0,30300.0
2022-10-07,29800.0,30650.0,29800.0,30200.0
2022-10-11,29300.0,30150.0,29250.0,30100.0
2022-10-12,29900.0,30700.0,29600.0,30450.0
2022-10-13,30500.0,30900.0,29950.0,29950.0
2022-10-14,30350.0,30950.0,30200.0,30500.0
2022-10-17,30200.0,30750.0,29800.0,30550.0
2022-10-18,30950.0,31200.0,30300.0,31200.0
2022-10-19,31200.0,31450.0,30600.0,30750.0
2022-10-20,30550.0,31150.0,30450.0,31100.0
2022-10-21,31000.0,31000.0,29700.0,29850.0
2022-10-24,30450.0,30950.0,30250.0,30600.0
2022-10-25,30600.0,30600.0,29250.0,29350.0
2022-10-26,29600.0,29650.0,28900.0,29050.0
2022-10-27,29350.0,30500.0,29100.0,30450.0
2022-10-28,30200.0,30450.0,28550.0,28750.0
2022-10-31,29100.0,29150.0,28050.0,28100.0
2022-11-01,28250.0,29050.0,28050.0,28950.0
2022-11-02,28850.0,29550.0,28650.0,29400.0
2022-11-03,28800.0,29400.0,28650.0,29150.0
2022-11-04,28850.0,29150.0,28400.0,28750.0
2022-11-07,28750.0,30800.0,28750.0,30650.0
2022-11-08,30750.0,31150.0,30500.0,30750.0
2022-11-09,31200.0,31700.0,31050.0,31350.0
2022-11-10,30850.0,31700.0,30800.0,30900.0
2022-11-11,32150.0,32150.0,31450.0,31850.0
2022-11-14,32250.0,33900.0,31950.0,33300.0
2022-11-15,33300.0,33900.0,33000.0,33700.0
2022-11-16,33850.0,33900.0,32450.0,33750.0
2022-11-17,33700.0,33850.0,33150.0,33350.0
2022-11-18,33400.0,33750.0,32900.0,33000.0
2022-11-21,32600.0,33200.0,32450.0,33000.0
2022-11-22,32950.0,33450.0,32800.0,33150.0
2022-11-23,33200.0,33550.0,32900.0,33400.0
2022-11-24,33500.0,33650.0,33000.0,33100.0
2022-11-25,33400.0,33750.0,33150.0,33400.0
2022-11-28,33300.0,33300.0,32250.0,32800.0
2022-11-29,33050.0,33550.0,32550.0,33550.0
2022-11-30,33350.0,33900.0,32950.0,33900.0
2022-12-01,34350.0,34900.0,34100.0,34300.0
2022-12-02,34200.0,34400.0,33650.0,33750.0
2022-12-05,33850.0,34250.0,33250.0,33700.0
2022-12-06,33250.0,33500.0,32250.0,32300.0
2022-12-07,32450.0,32650.0,31850.0,32450.0
2022-12-08,32500.0,32500.0,31100.0,31600.0
2022-12-09,31650.0,33100.0,31500.0,33100.0
2022-12-12,33000.0,33400.0,32200.0,32350.0
2022-12-13,32700.0,33300.0,32550.0,32850.0
2022-12-14,33150.0,33400.0,32700.0,33050.0
2022-12-15,33050.0,33200.0,32700.0,33050.0
2022-12-16,32200.0,32700.0,31750.0,31900.0
2022-12-19,31500.0,32100.0,31500.0,31950.0
2022-12-20,31750.0,32000.0,31400.0,31750.0
2022-12-21,32100.0,32400.0,31550.0,31700.0
2022-12-22,31950.0,32800.0,31700.0,32700.0
2022-12-23,32350.0,32600.0,32100.0,32350.0
2022-12-26,32600.0,32650.0,32200.0,32600.0
2022-12-27,32650.0,32800.0,32400.0,32700.0
2022-12-28,32000.0,32100.0,31500.0,32050.0
2022-12-29,31700.0,32000.0,30600.0,30600.0
2023-01-02,30600.0,30700.0,30100.0,30450.0
2023-01-03,30200.0,30600.0,28750.0,30300.0
2023-01-04,29950.0,31000.0,29950.0,30800.0
2023-01-05,30800.0,31800.0,30800.0,31650.0
2023-01-06,31050.0,32500.0,31050.0,32350.0
2023-01-09,32600.0,33250.0,32450.0,32950.0
2023-01-10,32950.0,33500.0,32800.0,33350.0
2023-01-11,33350.0,33700.0,33150.0,33250.0
2023-01-12,33250.0,33600.0,32700.0,32700.0
2023-01-13,33150.0,34700.0,33150.0,34500.0
2023-01-16,34600.0,35100.0,34250.0,34700.0
2023-01-17,34750.0,35500.0,34550.0,34750.0
2023-01-18,34500.0,34650.0,33800.0,34300.0
2023-01-19,33800.0,34450.0,33750.0,34300.0
2023-01-20,34400.0,35300.0,34050.0,35200.0
2023-01-25,34950.0,35500.0,34300.0,34350.0
2023-01-26,34350.0,35500.0,34200.0,35450.0
2023-01-27,35400.0,35900.0,35250.0,35700.0
2023-01-30,35400.0,35800.0,34700.0,34750.0
2023-01-31,35000.0,35100.0,34100.0,34200.0
2023-02-01,34400.0,34800.0,34200.0,34750.0
2023-02-02,34950.0,35150.0,34000.0,34100.0
2023-02-03,34000.0,34250.0,33550.0,34050.0
2023-02-06,33850.0,34400.0,33500.0,34000.0
2023-02-07,33500.0,33650.0,32750.0,32800.0
2023-02-08,32850.0,33650.0,32850.0,33600.0
2023-02-09,33200.0,34150.0,33200.0,33550.0
2023-02-10,33350.0,33800.0,33150.0,33550.0
2023-02-13,33250.0,33700.0,32900.0,33650.0
2023-02-14,33900.0,34650.0,33900.0,34250.0
2023-02-15,34300.0,35800.0,34300.0,34550.0
2023-02-16,34850.0,34900.0,34250.0,34850.0
2023-02-17,34650.0,35500.0,34500.0,34950.0
2023-02-20,35450.0,36300.0,35100.0,35850.0
2023-02-21,36300.0,38550.0,36300.0,38300.0
2023-02-22,37800.0,38300.0,37550.0,37800.0
2023-02-23,37700.0,37950.0,36700.0,37750.0
2023-02-24,37600.0,37850.0,36250.0,36450.0
2023-02-27,36250.0,36650.0,35700.0,36050.0
2023-02-28,36100.0,36400.0,35000.0,35000.0
