,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],81.27490039840637
Equity Final [$],7084431.399999999
Equity Peak [$],10574128.0
Return [%],-29.155686000000003
Buy & Hold Return [%],1.7738359201773837
Return (Ann.) [%],-29.252906108202158
Volatility (Ann.) [%],23.797284201566136
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-42.11828720060888
Avg. Drawdown [%],-12.949724483734174
Max. Drawdown Duration,280 days 00:00:00
Avg. Drawdown Duration,75 days 00:00:00
# Trades,8
Win Rate [%],12.5
Best Trade [%],11.170064933424296
Worst Trade [%],-11.671983136530672
Avg. Trade [%],-4.296056145438543
Max. Trade Duration,64 days 00:00:00
Avg. Trade Duration,37 days 00:00:00
Profit Factor,0.2560772368983517
Expectancy [%],-4.056230099727832
SQN,-1.8236390705779364
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   6983451.4     0.339572              NaT
2023-09-12   7247451.4     0.314605              NaT
2023-09-13   7183431.4     0.320660              NaT
2023-09-14   7067931.4     0.331583              NaT
2023-09-15   7084431.4     0.330022         280 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  EntryTime   ExitTime Duration
0    54        47       76    184368.0   177000.0 -397872.0  -0.039964 2022-11-23 2023-01-04  42 days
1   -54        76       87    176646.0   194000.0 -937116.0  -0.098242 2023-01-04 2023-01-19  15 days
2    44        87      124    194388.0   193600.0  -34672.0  -0.004054 2023-01-19 2023-03-16  56 days
3   -44       124      168    193212.8   214000.0 -914636.8  -0.107587 2023-03-16 2023-05-19  64 days
4    35       168      190    214428.0   189400.0 -875980.0  -0.116720 2023-05-19 2023-06-22  34 days
5   -36       190      215    189021.2   197500.0 -305236.8  -0.044856 2023-06-22 2023-07-27  35 days
6    33       215      248    197895.0   220000.0  729465.0   0.111701 2023-07-27 2023-09-13  48 days
7   -33       248      250    219560.0   225000.0 -179520.0  -0.024777 2023-09-13 2023-09-15   2 days"
