Date,Open,High,Low,Close
2022-09-15,25350.0,26050.0,25050.0,25050.0
2022-09-16,24850.0,25450.0,24100.0,24350.0
2022-09-19,24150.0,24650.0,23950.0,24000.0
2022-09-20,24250.0,24550.0,24050.0,24250.0
2022-09-21,23950.0,24450.0,23850.0,23900.0
2022-09-22,23900.0,24400.0,23250.0,24300.0
2022-09-23,24100.0,24550.0,23350.0,23600.0
2022-09-26,23200.0,23500.0,22050.0,22300.0
2022-09-27,22350.0,22450.0,21550.0,22100.0
2022-09-28,22250.0,22300.0,20950.0,21100.0
2022-09-29,21700.0,21800.0,21050.0,21100.0
2022-09-30,20850.0,21300.0,20550.0,20900.0
2022-10-04,21350.0,22700.0,21250.0,22600.0
2022-10-05,23000.0,23000.0,22050.0,22150.0
2022-10-06,22650.0,23250.0,22500.0,22900.0
2022-10-07,22500.0,23050.0,22200.0,22450.0
2022-10-11,21900.0,22250.0,21600.0,21900.0
2022-10-12,21750.0,22350.0,21450.0,22150.0
2022-10-13,22200.0,22200.0,21250.0,21250.0
2022-10-14,21700.0,22000.0,21350.0,21600.0
2022-10-17,20950.0,21400.0,20600.0,21250.0
2022-10-18,21650.0,21750.0,21150.0,21700.0
2022-10-19,21800.0,21900.0,21400.0,21400.0
2022-10-20,21200.0,22000.0,21150.0,21250.0
2022-10-21,21200.0,21250.0,20550.0,20950.0
2022-10-24,21200.0,21600.0,21050.0,21050.0
2022-10-25,21350.0,21350.0,19650.0,19950.0
2022-10-26,20000.0,20200.0,19700.0,19800.0
2022-10-27,20100.0,20450.0,20000.0,20250.0
2022-10-28,20100.0,20650.0,20100.0,20300.0
2022-10-31,20800.0,20800.0,20200.0,20650.0
2022-11-01,20700.0,21250.0,20500.0,20950.0
2022-11-02,21000.0,21900.0,20700.0,21550.0
2022-11-03,21150.0,22100.0,21050.0,21550.0
2022-11-04,21800.0,24700.0,21750.0,22850.0
2022-11-07,22850.0,23300.0,22450.0,23200.0
2022-11-08,23400.0,23600.0,22800.0,23100.0
2022-11-09,23200.0,23750.0,23050.0,23300.0
