Date,Open,High,Low,Close
2022-09-15,287254.91,287745.09,278431.38,278431.38
2022-09-16,274019.59,281862.75,271568.62,278431.38
2022-09-19,282352.94,285294.12,275490.19,276470.59
2022-09-20,275490.19,279411.75,272549.03,274509.81
2022-09-21,263725.5,269607.84,230392.16,231862.75
2022-09-22,229901.95,240686.28,227450.98,234803.92
2022-09-23,231372.55,236764.7,226960.78,232352.94
2022-09-26,227450.98,230882.36,219117.64,221568.62
2022-09-27,219117.64,227941.17,219117.64,227450.98
2022-09-28,224509.8,227941.17,222058.83,225000.0
2022-09-29,228921.56,229411.77,223039.22,225490.2
2022-09-30,222058.83,226960.78,221568.62,224509.8
2022-10-04,225980.39,229411.77,223039.22,227450.98
2022-10-05,229411.77,229901.95,222549.02,224019.61
2022-10-06,224509.8,227941.17,223039.22,226470.59
2022-10-07,224509.8,230392.16,224509.8,227941.17
2022-10-11,226960.78,229411.77,221078.44,224019.61
2022-10-12,222058.83,225490.2,220098.05,224509.8
2022-10-13,226960.78,228431.38,221078.44,223039.22
2022-10-14,227941.17,234313.72,225490.2,232352.94
2022-10-17,232352.94,234803.92,228431.38,234803.92
2022-10-18,236764.7,241176.47,234803.92,238235.3
2022-10-19,240686.28,241176.47,235294.12,235784.31
2022-10-20,233333.33,238235.3,233333.33,235294.12
2022-10-21,235294.12,240196.08,234313.72,238235.3
2022-10-24,243627.45,247058.83,240686.28,241666.67
2022-10-25,245588.23,245588.23,239705.88,240686.28
2022-10-26,240196.08,243627.45,237745.09,241176.47
2022-10-27,243137.25,245098.05,242156.86,243627.45
2022-10-28,243627.45,250000.0,242647.06,248039.22
2022-10-31,248529.41,250490.2,239215.69,248039.22
2022-11-01,249019.61,251470.59,245588.23,249509.8
2022-11-02,253921.56,255882.36,247058.83,251470.59
2022-11-03,249019.61,249019.61,243627.45,245588.23
2022-11-04,243627.45,246568.62,241176.47,246078.44
2022-11-07,245588.23,250000.0,245588.23,249019.61
2022-11-08,249509.8,258823.53,248039.22,255882.36
2022-11-09,258823.53,259313.72,252941.17,254411.77
2022-11-10,253921.56,259313.72,250490.2,255392.16
2022-11-11,259803.92,263235.28,257352.94,258333.33
2022-11-14,258333.33,263235.28,256372.55,261274.52
2022-11-15,261764.7,266666.66,257843.14,264705.88
2022-11-16,267156.88,267156.88,258823.53,265686.28
2022-11-17,265196.09,267647.06,263725.5,265686.28
2022-11-18,265196.09,265196.09,260294.12,260294.12
2022-11-21,261764.7,263235.28,255882.36,257352.94
2022-11-22,257352.94,260784.31,254411.77,255882.36
2022-11-23,256862.75,256862.75,250000.0,253921.56
2022-11-24,254411.77,255882.36,250490.2,252450.98
2022-11-25,251960.78,253431.38,245098.05,248039.22
2022-11-28,248529.41,248529.41,245098.05,247058.83
2022-11-29,247549.02,253431.38,245588.23,251470.59
2022-11-30,251470.59,256372.55,248039.22,256372.55
2022-12-01,255882.36,257843.14,254411.77,255392.16
2022-12-02,254901.95,255392.16,247058.83,249509.8
2022-12-05,248529.41,250980.39,246078.44,248039.22
2022-12-06,247058.83,252941.17,246568.62,250980.39
2022-12-07,251470.59,252450.98,245098.05,250000.0
2022-12-08,251470.59,256372.55,248529.41,255882.36
2022-12-09,257843.14,264705.88,254411.77,264215.69
2022-12-12,264215.69,276470.59,262254.91,271568.62
2022-12-13,272058.81,291176.47,272058.81,287254.91
2022-12-14,291176.47,293137.25,283333.34,286764.72
2022-12-15,286764.72,289215.69,281862.75,284803.91
2022-12-16,279411.75,284803.91,279411.75,284803.91
2022-12-19,284803.91,288235.28,280392.16,284803.91
2022-12-20,287745.09,290196.09,281372.56,284313.72
2022-12-21,289705.88,301960.78,286764.72,299509.81
2022-12-22,299509.81,301470.59,293627.44,299019.59
2022-12-23,298529.41,299509.81,294607.84,294607.84
2022-12-26,294607.84,300490.19,293137.25,295588.25
2022-12-27,291176.47,301470.59,291176.47,300980.41
2022-12-28,300500.0,304000.0,298000.0,300000.0
2022-12-29,297000.0,301500.0,291000.0,298000.0
2023-01-02,301000.0,301000.0,279500.0,279500.0
2023-01-03,279500.0,281500.0,273000.0,277500.0
2023-01-04,279000.0,279000.0,269000.0,270500.0
2023-01-05,270500.0,275000.0,266500.0,267500.0
2023-01-06,267500.0,270000.0,263500.0,264500.0
2023-01-09,266000.0,270500.0,265500.0,269500.0
2023-01-10,270500.0,270500.0,264000.0,265000.0
2023-01-11,266000.0,267000.0,261500.0,265500.0
2023-01-12,266500.0,269000.0,264000.0,266000.0
2023-01-13,266500.0,269500.0,266500.0,266500.0
2023-01-16,267000.0,269500.0,265000.0,269000.0
2023-01-17,267000.0,267500.0,254000.0,256500.0
2023-01-18,257000.0,258000.0,254500.0,256500.0
2023-01-19,256500.0,258000.0,253500.0,256500.0
2023-01-20,256000.0,259000.0,254000.0,259000.0
2023-01-25,259500.0,260500.0,257000.0,259000.0
2023-01-26,259500.0,261000.0,256500.0,261000.0
2023-01-27,261500.0,264500.0,259000.0,262000.0
2023-01-30,262500.0,263000.0,258000.0,259000.0
2023-01-31,260000.0,261000.0,256500.0,257500.0
2023-02-01,257000.0,263000.0,256000.0,263000.0
2023-02-02,266000.0,275500.0,265000.0,272000.0
2023-02-03,272000.0,272000.0,264000.0,265500.0
2023-02-06,264000.0,271000.0,263000.0,266500.0
2023-02-07,266000.0,269000.0,263000.0,263000.0
2023-02-08,263000.0,267000.0,263000.0,265500.0
2023-02-09,264500.0,284500.0,264000.0,278000.0
2023-02-10,276000.0,279500.0,273500.0,277000.0
2023-02-13,275000.0,275500.0,268500.0,269000.0
2023-02-14,269500.0,276500.0,269500.0,273500.0
2023-02-15,274000.0,278000.0,271500.0,276000.0
2023-02-16,276000.0,278000.0,271500.0,272500.0
2023-02-17,271500.0,272500.0,267000.0,267500.0
2023-02-20,267000.0,279000.0,267000.0,275500.0
2023-02-21,276500.0,278000.0,266500.0,267000.0
2023-02-22,265500.0,267000.0,261000.0,261000.0
2023-02-23,262000.0,267000.0,261500.0,263500.0
2023-02-24,263500.0,265000.0,260000.0,261000.0
2023-02-27,260500.0,262000.0,255000.0,259500.0
2023-02-28,259500.0,262000.0,258500.0,259000.0
2023-03-02,258500.0,262000.0,257000.0,258500.0
2023-03-03,258500.0,267000.0,258500.0,264000.0
2023-03-06,264000.0,266000.0,261000.0,263000.0
2023-03-07,261500.0,271500.0,261000.0,266000.0
2023-03-08,268500.0,271500.0,261000.0,262000.0
2023-03-09,263000.0,276500.0,260500.0,269500.0
2023-03-10,267500.0,268500.0,255000.0,256000.0
2023-03-13,256000.0,257500.0,250000.0,253500.0
2023-03-14,250500.0,254500.0,245000.0,246500.0
2023-03-15,250000.0,254000.0,247500.0,250000.0
2023-03-16,247500.0,262000.0,247500.0,259500.0
2023-03-17,261000.0,264000.0,257500.0,261500.0
2023-03-20,265000.0,270000.0,262500.0,262500.0
2023-03-21,264500.0,266500.0,260500.0,265000.0
2023-03-22,267000.0,267000.0,256000.0,258000.0
2023-03-23,258500.0,261000.0,255500.0,258500.0
2023-03-24,256000.0,259500.0,254500.0,254500.0
2023-03-27,257000.0,258000.0,250500.0,254000.0
2023-03-28,255000.0,258500.0,253000.0,257500.0
2023-03-29,258000.0,259000.0,254000.0,255000.0
2023-03-30,255500.0,258000.0,253000.0,254000.0
2023-03-31,254000.0,256500.0,253000.0,256000.0
2023-04-03,255500.0,259000.0,253000.0,254000.0
2023-04-04,256000.0,289000.0,255000.0,288500.0
2023-04-05,289500.0,309500.0,286500.0,303500.0
2023-04-06,309000.0,323500.0,303500.0,307000.0
2023-04-07,310500.0,310500.0,300500.0,309000.0
2023-04-10,311500.0,328500.0,308500.0,325000.0
2023-04-11,328000.0,328000.0,319500.0,327000.0
2023-04-12,325500.0,328000.0,317500.0,321000.0
2023-04-13,320000.0,338500.0,319500.0,335500.0
2023-04-14,337000.0,339500.0,329000.0,333000.0
2023-04-17,330000.0,333500.0,323000.0,326500.0
2023-04-18,326000.0,330500.0,321500.0,323500.0
2023-04-19,322500.0,324500.0,315000.0,316500.0
2023-04-20,316500.0,321000.0,311500.0,312000.0
2023-04-21,312500.0,315500.0,308000.0,312000.0
2023-04-24,312000.0,319000.0,310000.0,314500.0
2023-04-25,314000.0,316500.0,300000.0,306500.0
2023-04-26,305000.0,313500.0,301000.0,310500.0
2023-04-27,316500.0,316500.0,309000.0,313000.0
2023-04-28,313500.0,327000.0,313000.0,323000.0
2023-05-02,323000.0,325000.0,314000.0,319000.0
2023-05-03,315500.0,319500.0,311000.0,316500.0
2023-05-04,313500.0,332000.0,311000.0,329500.0
2023-05-08,327500.0,331000.0,320500.0,321500.0
2023-05-09,321500.0,327000.0,317500.0,320500.0
2023-05-10,319000.0,319000.0,303000.0,306000.0
2023-05-11,306000.0,308500.0,301000.0,301500.0
2023-05-12,297000.0,307500.0,296500.0,302000.0
