,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],63.745019920318725
Equity Final [$],4239028.0
Equity Peak [$],10416404.0
Return [%],-57.609719999999996
Buy & Hold Return [%],9.721828049697558
Return (Ann.) [%],-57.75441870495235
Volatility (Ann.) [%],15.713787583257568
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-64.41785476062564
Avg. Drawdown [%],-14.869079872318519
Max. Drawdown Duration,190 days 00:00:00
Avg. Drawdown Duration,47 days 00:00:00
# Trades,8
Win Rate [%],25.0
Best Trade [%],1.948421038717263
Worst Trade [%],-31.462925851703403
Avg. Trade [%],-10.383944458412241
Max. Trade Duration,50 days 00:00:00
Avg. Trade Duration,29 days 00:00:00
Profit Factor,0.03107906599027403
Expectancy [%],-9.79850465999839
SQN,-2.0991852061948593
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   4141528.0     0.602403              NaT
2023-09-12   4128528.0     0.603651              NaT
2023-09-13   4083028.0     0.608019              NaT
2023-09-14   4252028.0     0.591795              NaT
2023-09-15   4239028.0     0.593043         190 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   -38        91      113    260977.0   259500.0    56126.0   0.005660 2023-01-27 2023-02-28  32 days
1    38       113      123    260019.0   250000.0  -380722.0  -0.038532 2023-02-28 2023-03-15  15 days
2   -38       123      142    249500.0   328000.0 -2983000.0  -0.314629 2023-03-15 2023-04-11  27 days
3    20       142      175    328656.0   291000.0  -753120.0  -0.114576 2023-04-11 2023-05-31  50 days
4   -20       175      190    290418.0   323500.0  -661640.0  -0.113912 2023-05-31 2023-06-22  22 days
5    16       190      205    324147.0   278500.0  -730352.0  -0.140822 2023-06-22 2023-07-13  21 days
6   -16       205      231    277943.0   302000.0  -384912.0  -0.086554 2023-07-13 2023-08-21  39 days
7    13       231      250    302604.0   308500.0    76648.0   0.019484 2023-08-21 2023-09-15  25 days"
