Date,Open,High,Low,Close
2022-09-15,121500.0,124000.0,120000.0,120500.0
2022-09-16,121000.0,124500.0,119000.0,124000.0
2022-09-19,123000.0,124000.0,118000.0,119000.0
2022-09-20,119000.0,121500.0,117000.0,119500.0
2022-09-21,120000.0,123000.0,119000.0,120000.0
2022-09-22,118000.0,120000.0,116000.0,117500.0
2022-09-23,117500.0,118000.0,108500.0,110500.0
2022-09-26,108500.0,110500.0,106000.0,109000.0
2022-09-27,107500.0,113000.0,107000.0,111500.0
2022-09-28,109500.0,113000.0,107000.0,108000.0
2022-09-29,109000.0,110000.0,105000.0,105500.0
2022-09-30,104500.0,105500.0,101500.0,102000.0
2022-10-04,104500.0,104500.0,101500.0,103000.0
2022-10-05,105500.0,105500.0,100000.0,104000.0
2022-10-06,104000.0,108000.0,103500.0,106000.0
2022-10-07,105000.0,106500.0,104000.0,105500.0
2022-10-11,102500.0,104500.0,98000.0,98300.0
2022-10-12,98300.0,99600.0,96000.0,99600.0
2022-10-13,98700.0,99300.0,94600.0,94900.0
2022-10-14,94900.0,101000.0,94900.0,97500.0
2022-10-17,95200.0,97000.0,92900.0,96900.0
2022-10-18,98200.0,99300.0,97000.0,98100.0
2022-10-19,99200.0,99400.0,97500.0,98100.0
2022-10-20,98200.0,99400.0,95500.0,98400.0
2022-10-21,97500.0,100000.0,96500.0,99100.0
2022-10-24,101000.0,102500.0,97700.0,98300.0
2022-10-25,97900.0,99100.0,95000.0,96600.0
2022-10-26,96900.0,97700.0,89600.0,89700.0
2022-10-27,90300.0,93200.0,90000.0,92700.0
2022-10-28,92400.0,92700.0,86800.0,91500.0
2022-10-31,91600.0,94500.0,91100.0,92700.0
2022-11-01,92900.0,101000.0,92900.0,96700.0
2022-11-02,96100.0,104000.0,95300.0,102500.0
2022-11-03,99200.0,101000.0,96600.0,97100.0
2022-11-04,96900.0,110000.0,96300.0,109500.0
2022-11-07,107500.0,108000.0,103000.0,106000.0
2022-11-08,107000.0,114000.0,106500.0,112000.0
2022-11-09,113000.0,114500.0,110500.0,112500.0
2022-11-10,111000.0,114000.0,110000.0,111500.0
2022-11-11,117000.0,122500.0,116000.0,121500.0
2022-11-14,122500.0,128500.0,120000.0,121000.0
2022-11-15,122000.0,127000.0,121500.0,127000.0
2022-11-16,127000.0,127000.0,121500.0,122500.0
2022-11-17,120500.0,122500.0,118500.0,120500.0
2022-11-18,119500.0,121500.0,116000.0,118500.0
2022-11-21,118000.0,119000.0,112500.0,115500.0
2022-11-22,114000.0,115500.0,112000.0,115500.0
2022-11-23,116500.0,121500.0,116000.0,117500.0
2022-11-24,118500.0,123000.0,117500.0,120500.0
2022-11-25,122000.0,124000.0,119500.0,122000.0
2022-11-28,122000.0,127000.0,121000.0,124500.0
2022-11-29,124500.0,132000.0,123500.0,130000.0
2022-11-30,129500.0,132000.0,128500.0,130500.0
2022-12-01,132500.0,133500.0,126500.0,128000.0
2022-12-02,128000.0,134000.0,127500.0,131500.0
2022-12-05,133000.0,139500.0,133000.0,139500.0
2022-12-06,137500.0,139500.0,134500.0,135000.0
2022-12-07,136000.0,138500.0,134000.0,135000.0
2022-12-08,136000.0,137500.0,129000.0,135500.0
2022-12-09,136000.0,140000.0,134500.0,139500.0
2022-12-12,140000.0,140500.0,131500.0,132000.0
2022-12-13,134000.0,135500.0,132000.0,134500.0
2022-12-14,135000.0,135000.0,130500.0,133500.0
2022-12-15,134000.0,135500.0,129500.0,130500.0
2022-12-16,128000.0,133500.0,126000.0,132500.0
2022-12-19,131000.0,134500.0,129500.0,132000.0
2022-12-20,130000.0,134500.0,130000.0,133000.0
2022-12-21,133500.0,135000.0,131500.0,132500.0
2022-12-22,133500.0,135500.0,132000.0,135000.0
2022-12-23,134000.0,136500.0,132500.0,133500.0
2022-12-26,133500.0,134000.0,127000.0,133000.0
2022-12-27,134000.0,141500.0,134000.0,141500.0
2022-12-28,141000.0,144000.0,139500.0,141000.0
2022-12-29,139000.0,140000.0,135000.0,137500.0
2023-01-02,134000.0,136000.0,129500.0,135000.0
2023-01-03,133500.0,137500.0,132000.0,133000.0
2023-01-04,133500.0,133500.0,130000.0,131500.0
2023-01-05,132000.0,138000.0,131500.0,137500.0
2023-01-06,136000.0,141000.0,135500.0,137500.0
2023-01-09,140000.0,145000.0,139500.0,145000.0
2023-01-10,145000.0,145500.0,136000.0,140000.0
2023-01-11,141000.0,146500.0,140500.0,144000.0
2023-01-12,146500.0,146500.0,139000.0,140000.0
2023-01-13,140000.0,141500.0,138000.0,139500.0
2023-01-16,140000.0,143500.0,139500.0,142500.0
2023-01-17,143000.0,144500.0,141500.0,144500.0
2023-01-18,143500.0,145000.0,141000.0,143500.0
2023-01-19,142500.0,147500.0,141000.0,147000.0
2023-01-20,147500.0,149000.0,144000.0,148500.0
2023-01-25,148100.0,149000.0,145000.0,145600.0
2023-01-26,145700.0,146200.0,142600.0,143400.0
2023-01-27,143600.0,149500.0,142600.0,147400.0
2023-01-30,148500.0,150800.0,143900.0,144700.0
2023-01-31,144600.0,148300.0,144600.0,145500.0
2023-02-01,146100.0,146400.0,138100.0,141400.0
2023-02-02,146500.0,153500.0,146500.0,150900.0
2023-02-03,150700.0,150700.0,147200.0,149600.0
2023-02-06,149900.0,149900.0,146500.0,147800.0
2023-02-07,148200.0,150600.0,147100.0,148200.0
2023-02-08,149900.0,150900.0,148100.0,149200.0
2023-02-09,148100.0,154200.0,148000.0,149200.0
2023-02-10,153000.0,155800.0,151000.0,153600.0
2023-02-13,152200.0,152800.0,147600.0,149100.0
2023-02-14,150400.0,152500.0,149300.0,151900.0
2023-02-15,152500.0,153100.0,148500.0,148900.0
2023-02-16,150000.0,151400.0,148200.0,149500.0
2023-02-17,148200.0,149000.0,145300.0,146500.0
2023-02-20,146800.0,150800.0,146300.0,149900.0
2023-02-21,149100.0,150400.0,146000.0,146700.0
2023-02-22,144100.0,145700.0,143300.0,144700.0
2023-02-23,145300.0,147400.0,144700.0,146100.0
2023-02-24,145200.0,146300.0,144000.0,144800.0
2023-02-27,143700.0,143700.0,137800.0,140600.0
2023-02-28,140700.0,141400.0,138200.0,138400.0
2023-03-02,139700.0,145800.0,139700.0,144600.0
2023-03-03,144600.0,146200.0,144100.0,145700.0
2023-03-06,147100.0,147200.0,142800.0,144000.0
2023-03-07,144000.0,144300.0,140400.0,141500.0
2023-03-08,139600.0,141300.0,135300.0,135700.0
2023-03-09,135800.0,138300.0,133100.0,133700.0
2023-03-10,131200.0,132000.0,125000.0,127400.0
2023-03-13,127400.0,131200.0,126000.0,130800.0
2023-03-14,130100.0,130200.0,126400.0,127200.0
2023-03-15,129200.0,130400.0,125100.0,126200.0
2023-03-16,125100.0,126500.0,122200.0,124200.0
2023-03-17,125900.0,127400.0,123700.0,126400.0
2023-03-20,126300.0,133700.0,126300.0,127800.0
2023-03-21,129100.0,131400.0,127500.0,131000.0
2023-03-22,132100.0,132300.0,126600.0,127000.0
2023-03-23,126500.0,130300.0,125200.0,130000.0
2023-03-24,129000.0,129500.0,127300.0,128500.0
2023-03-27,130000.0,131300.0,127400.0,130500.0
2023-03-28,130800.0,133200.0,129600.0,132300.0
2023-03-29,132400.0,138000.0,132400.0,135900.0
2023-03-30,135800.0,136300.0,132200.0,135700.0
2023-03-31,136000.0,138300.0,134700.0,136800.0
2023-04-03,136700.0,138800.0,135600.0,136400.0
2023-04-04,136400.0,138300.0,135100.0,137700.0
2023-04-05,137700.0,140400.0,135500.0,135900.0
2023-04-06,136200.0,136400.0,133700.0,134500.0
2023-04-07,134100.0,137200.0,133000.0,136300.0
2023-04-10,135600.0,136400.0,133800.0,134000.0
2023-04-11,133900.0,138900.0,131500.0,137000.0
2023-04-12,137100.0,137600.0,134300.0,135900.0
2023-04-13,135800.0,137500.0,133500.0,134400.0
2023-04-14,135500.0,137500.0,135000.0,136000.0
2023-04-17,136700.0,138000.0,133100.0,133300.0
2023-04-18,133600.0,140500.0,132500.0,140200.0
2023-04-19,141000.0,143300.0,140500.0,141900.0
2023-04-20,141900.0,141900.0,137000.0,137200.0
2023-04-21,136200.0,136400.0,124500.0,125500.0
2023-04-24,125300.0,125300.0,120300.0,124300.0
2023-04-25,122600.0,125500.0,120200.0,120600.0
2023-04-26,119900.0,122900.0,117700.0,120700.0
2023-04-27,120200.0,121900.0,118800.0,120200.0
2023-04-28,120500.0,124300.0,119500.0,123300.0
2023-05-02,122300.0,124400.0,121300.0,123400.0
2023-05-03,122500.0,122500.0,115000.0,115500.0
2023-05-04,115000.0,116000.0,112200.0,115700.0
2023-05-08,115800.0,117700.0,115800.0,116200.0
2023-05-09,116200.0,117300.0,115500.0,115800.0
2023-05-10,116100.0,118800.0,115600.0,117000.0
2023-05-11,117500.0,117900.0,115900.0,115900.0
2023-05-12,116000.0,117000.0,114600.0,114800.0
2023-05-15,114300.0,116300.0,113700.0,116200.0
2023-05-16,116200.0,116900.0,115100.0,116000.0
2023-05-17,116100.0,116500.0,115600.0,115600.0
2023-05-18,116000.0,116600.0,114600.0,115300.0
2023-05-19,115300.0,117800.0,115300.0,116500.0
2023-05-22,117100.0,119000.0,115700.0,117800.0
2023-05-23,118000.0,118900.0,117100.0,118200.0
2023-05-24,117800.0,117800.0,115000.0,115500.0
2023-05-25,114500.0,116000.0,113000.0,113500.0
2023-05-26,113500.0,114200.0,112800.0,113900.0
2023-05-30,114000.0,114200.0,109400.0,109800.0
2023-05-31,109800.0,110600.0,104100.0,104500.0
2023-06-01,105000.0,105800.0,103700.0,104900.0
2023-06-02,104900.0,105500.0,102800.0,104500.0
2023-06-05,105300.0,108100.0,105200.0,106600.0
2023-06-07,106900.0,109000.0,106700.0,107200.0
2023-06-08,107200.0,108200.0,104800.0,105100.0
2023-06-09,105800.0,109700.0,105400.0,107200.0
2023-06-12,106600.0,106900.0,102100.0,103700.0
2023-06-13,104000.0,105400.0,103300.0,104000.0
2023-06-14,103300.0,104000.0,101900.0,102700.0
2023-06-15,103700.0,105500.0,102100.0,103300.0
2023-06-16,103600.0,106500.0,103600.0,104700.0
2023-06-19,104900.0,106200.0,103100.0,103900.0
2023-06-20,104900.0,108300.0,103900.0,104100.0
2023-06-21,104200.0,104500.0,102300.0,102700.0
2023-06-22,102400.0,103200.0,101800.0,102500.0
2023-06-23,102400.0,103100.0,101000.0,101100.0
2023-06-26,100100.0,102500.0,97900.0,101400.0
2023-06-27,101100.0,102700.0,100600.0,101900.0
2023-06-28,102000.0,102800.0,99400.0,99400.0
2023-06-29,99000.0,100500.0,97700.0,98000.0
2023-06-30,98700.0,99200.0,97200.0,97600.0
2023-07-03,97800.0,98400.0,95400.0,97400.0
2023-07-04,97100.0,98800.0,96400.0,97800.0
2023-07-05,97300.0,98100.0,96100.0,96200.0
2023-07-06,95400.0,96500.0,94500.0,95000.0
2023-07-07,94200.0,95300.0,93900.0,94700.0
2023-07-10,94600.0,96300.0,94400.0,95000.0
2023-07-11,95900.0,99900.0,95900.0,98800.0
2023-07-12,99500.0,104400.0,99400.0,104100.0
2023-07-13,105700.0,105700.0,103300.0,103500.0
2023-07-14,104700.0,107300.0,104100.0,105700.0
2023-07-17,105500.0,108100.0,104000.0,107100.0
2023-07-18,108100.0,108800.0,105200.0,105600.0
2023-07-19,105700.0,107300.0,105100.0,105800.0
2023-07-20,104300.0,105800.0,101100.0,102000.0
2023-07-21,101900.0,104600.0,101800.0,103200.0
2023-07-24,103500.0,103800.0,101200.0,101600.0
2023-07-25,101500.0,101500.0,99400.0,99800.0
2023-07-26,99300.0,99300.0,96300.0,97600.0
2023-07-27,99500.0,113500.0,99300.0,111300.0
2023-07-28,110100.0,111400.0,106500.0,110800.0
2023-07-31,111500.0,113000.0,110100.0,112700.0
2023-08-01,112700.0,117400.0,112200.0,113300.0
2023-08-02,115000.0,122500.0,114200.0,119600.0
2023-08-03,120900.0,121300.0,116900.0,117400.0
2023-08-04,118700.0,122400.0,118100.0,121300.0
2023-08-07,123000.0,124900.0,121700.0,123400.0
2023-08-08,123300.0,123700.0,118000.0,118400.0
2023-08-09,118400.0,123000.0,117900.0,121100.0
2023-08-10,131000.0,135000.0,127500.0,130500.0
2023-08-11,131400.0,137300.0,129300.0,130400.0
2023-08-14,134600.0,136100.0,130600.0,131600.0
2023-08-16,131600.0,131600.0,124100.0,127100.0
2023-08-17,124200.0,125800.0,120700.0,123200.0
2023-08-18,121900.0,128300.0,121300.0,122000.0
2023-08-21,121600.0,122000.0,119200.0,120000.0
2023-08-22,121800.0,123000.0,118200.0,118700.0
2023-08-23,118300.0,123200.0,118100.0,122100.0
2023-08-24,122200.0,124500.0,119500.0,124100.0
2023-08-25,123000.0,129200.0,122900.0,127300.0
2023-08-28,131000.0,134500.0,130700.0,131500.0
2023-08-29,132700.0,133000.0,130000.0,131200.0
2023-08-30,133900.0,136300.0,132700.0,133200.0
2023-08-31,133200.0,134500.0,132100.0,133900.0
2023-09-01,133800.0,136100.0,132500.0,133300.0
2023-09-04,133300.0,134700.0,130500.0,133700.0
2023-09-05,132000.0,135500.0,131000.0,131700.0
2023-09-06,131700.0,133600.0,130700.0,131500.0
2023-09-07,131500.0,132000.0,129700.0,130500.0
2023-09-08,130500.0,131100.0,129100.0,130100.0
2023-09-11,128900.0,131100.0,127300.0,130100.0
2023-09-12,130500.0,133700.0,126800.0,127200.0
2023-09-13,127200.0,128700.0,125700.0,127300.0
2023-09-14,128500.0,129200.0,125000.0,126900.0
2023-09-15,127200.0,128700.0,126000.0,128500.0
