,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],82.47011952191235
Equity Final [$],9183581.8
Equity Peak [$],12810463.0
Return [%],-8.164181999999991
Buy & Hold Return [%],6.639004149377594
Return (Ann.) [%],-8.19533788391783
Volatility (Ann.) [%],32.14985658542386
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-36.83802216984663
Avg. Drawdown [%],-7.721447274728396
Max. Drawdown Duration,217 days 00:00:00
Avg. Drawdown Duration,33 days 00:00:00
# Trades,5
Win Rate [%],40.0
Best Trade [%],10.387919812548807
Worst Trade [%],-15.733877326111356
Avg. Trade [%],-1.7097687886802548
Max. Trade Duration,115 days 00:00:00
Avg. Trade Duration,61 days 00:00:00
Profit Factor,0.7280567022798635
Expectancy [%],-1.2539794796356096
SQN,-0.36653470074628064
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   9392381.8     0.266819              NaT
2023-09-12   9183581.8     0.283119              NaT
2023-09-13   9190781.8     0.282557              NaT
2023-09-14   9161981.8     0.284805              NaT
2023-09-15   9183581.8     0.283119         217 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0    83        44      121    119739.0   127400.0   635863.0   0.063981 2022-11-18 2023-03-13 115 days
1   -83       121      150    127145.2   136200.0  -751548.4  -0.071216 2023-03-13 2023-04-21  39 days
2    72       150      158    136472.4   115000.0 -1546012.8  -0.157339 2023-04-21 2023-05-04  13 days
3   -72       158      219    114770.0   115000.0   -16560.0  -0.002004 2023-05-04 2023-08-02  90 days
4    72       219      250    115230.0   127200.0   861840.0   0.103879 2023-08-02 2023-09-15  44 days"
