Date,Open,High,Low,Close
2022-09-15,92900.0,93000.0,91500.0,92000.0
2022-09-16,90900.0,91400.0,90000.0,91200.0
2022-09-19,90800.0,91500.0,90000.0,90000.0
2022-09-20,89000.0,90600.0,87500.0,88000.0
2022-09-21,87500.0,88500.0,86300.0,88000.0
2022-09-22,86300.0,86900.0,85900.0,86000.0
2022-09-23,85500.0,86600.0,83300.0,83500.0
2022-09-26,81500.0,83200.0,81500.0,82500.0
2022-09-27,82200.0,82700.0,80700.0,82000.0
2022-09-28,81900.0,83500.0,80500.0,81200.0
2022-09-29,82500.0,82900.0,80500.0,80800.0
2022-09-30,80900.0,83900.0,80400.0,83100.0
2022-10-04,85200.0,87200.0,85200.0,86200.0
2022-10-05,90000.0,90400.0,88100.0,89800.0
2022-10-06,90900.0,92000.0,89800.0,89900.0
2022-10-07,89600.0,91800.0,87800.0,91200.0
2022-10-11,89700.0,91200.0,88000.0,90200.0
2022-10-12,91000.0,94000.0,90900.0,94000.0
2022-10-13,93400.0,94900.0,92800.0,94900.0
2022-10-14,96000.0,96600.0,94300.0,95500.0
2022-10-17,94600.0,95300.0,94000.0,95200.0
2022-10-18,95900.0,96200.0,94600.0,95800.0
2022-10-19,94700.0,94900.0,92700.0,92900.0
2022-10-20,91000.0,91800.0,89000.0,90200.0
2022-10-21,89800.0,91400.0,89700.0,90500.0
2022-10-24,92200.0,93100.0,91200.0,91800.0
2022-10-25,91900.0,94800.0,91000.0,93500.0
2022-10-26,93300.0,95500.0,93200.0,93900.0
2022-10-27,95100.0,95100.0,89800.0,90000.0
2022-10-28,87100.0,87800.0,83000.0,83400.0
2022-10-31,84300.0,85400.0,82400.0,82700.0
2022-11-01,82700.0,83900.0,81400.0,83900.0
2022-11-02,84200.0,85500.0,83600.0,84500.0
2022-11-03,82600.0,83500.0,81900.0,82700.0
2022-11-04,82700.0,84600.0,81700.0,84500.0
2022-11-07,85400.0,86800.0,85000.0,86500.0
2022-11-08,87600.0,89000.0,87400.0,87700.0
2022-11-09,88100.0,89200.0,86600.0,89200.0
2022-11-10,89000.0,90800.0,88300.0,89100.0
2022-11-11,95200.0,95300.0,92500.0,93500.0
2022-11-14,93900.0,93900.0,90900.0,90900.0
2022-11-15,91300.0,92100.0,90400.0,91600.0
2022-11-16,92000.0,92400.0,90300.0,91500.0
2022-11-17,82400.0,88500.0,82000.0,87700.0
2022-11-18,88700.0,91500.0,88100.0,88400.0
2022-11-21,87600.0,87700.0,86100.0,86300.0
2022-11-22,85500.0,86600.0,84900.0,85200.0
2022-11-23,86100.0,86700.0,84900.0,85200.0
2022-11-24,86900.0,87200.0,85700.0,86900.0
2022-11-25,87200.0,87300.0,85100.0,85100.0
2022-11-28,84100.0,84200.0,82900.0,83100.0
2022-11-29,82700.0,83800.0,82100.0,83700.0
2022-11-30,83200.0,85400.0,83100.0,85000.0
2022-12-01,87300.0,87300.0,84600.0,84700.0
2022-12-02,83900.0,83900.0,81800.0,81900.0
2022-12-05,81900.0,82300.0,80700.0,81000.0
2022-12-06,79900.0,81100.0,79800.0,81000.0
2022-12-07,79900.0,80700.0,78700.0,78900.0
2022-12-08,78200.0,79800.0,78200.0,78800.0
2022-12-09,79400.0,81500.0,79300.0,81500.0
2022-12-12,80100.0,81300.0,79500.0,81100.0
2022-12-13,81300.0,82700.0,80500.0,82300.0
2022-12-14,82100.0,82600.0,81100.0,81800.0
2022-12-15,80600.0,81100.0,79900.0,80200.0
2022-12-16,77700.0,79400.0,77500.0,78400.0
2022-12-19,78300.0,80100.0,78300.0,79000.0
2022-12-20,78200.0,78900.0,77800.0,78300.0
2022-12-21,78500.0,79200.0,78000.0,78000.0
