,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],68.92430278884463
Equity Final [$],9646667.200000001
Equity Peak [$],10000000.0
Return [%],-3.533327999999989
Buy & Hold Return [%],-1.4354066985645932
Return (Ann.) [%],-3.547152338044779
Volatility (Ann.) [%],8.448663064149027
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-11.152828000000003
Avg. Drawdown [%],-11.152828000000003
Max. Drawdown Duration,253 days 00:00:00
Avg. Drawdown Duration,253 days 00:00:00
# Trades,6
Win Rate [%],16.666666666666664
Best Trade [%],2.4485026629990525
Worst Trade [%],-2.375033874092103
Avg. Trade [%],-0.5981525302315771
Max. Trade Duration,100 days 00:00:00
Avg. Trade Duration,42 days 00:00:00
Profit Factor,0.4102858367332927
Expectancy [%],-0.5865490876081643
SQN,-0.8955166894454332
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   9568917.2     0.043108              NaT
2023-09-12   9506717.2     0.049328              NaT
2023-09-13   9553367.2     0.044663              NaT
2023-09-14   9615567.2     0.038443              NaT
2023-09-15   9646667.2     0.035333         253 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  EntryTime   ExitTime Duration
0  -334        78      106     29890.1    30600.0 -237106.6  -0.023750 2023-01-06 2023-02-17  42 days
1   318       106      120     30661.2    30100.0 -178461.6  -0.018303 2023-02-17 2023-03-10  21 days
2  -319       120      147     30039.8    30200.0  -51103.8  -0.005333 2023-03-10 2023-04-18  39 days
3   315       147      165     30260.4    30050.0  -66276.0  -0.006953 2023-04-18 2023-05-16  28 days
4  -315       165      179     29989.9    30150.0  -50431.5  -0.005338 2023-05-16 2023-06-07  22 days
5   311       179      250     30210.3    30950.0  230046.7   0.024485 2023-06-07 2023-09-15 100 days"
