Date,Open,High,Low,Close
2022-09-15,6580.0,6610.0,6510.0,6530.0
2022-09-16,6480.0,6640.0,6430.0,6600.0
2022-09-19,6610.0,6630.0,6550.0,6620.0
2022-09-20,6690.0,6740.0,6640.0,6660.0
2022-09-21,6610.0,6660.0,6540.0,6620.0
2022-09-22,6520.0,6520.0,6350.0,6450.0
2022-09-23,6480.0,6480.0,6300.0,6310.0
2022-09-26,6200.0,6250.0,6070.0,6090.0
2022-09-27,6090.0,6140.0,6000.0,6080.0
2022-09-28,6010.0,6100.0,5920.0,6030.0
2022-09-29,6110.0,6300.0,6070.0,6090.0
2022-09-30,6080.0,6130.0,5970.0,5980.0
2022-10-04,6020.0,6120.0,6000.0,6030.0
2022-10-05,6140.0,6170.0,6060.0,6110.0
2022-10-06,6150.0,6170.0,6110.0,6130.0
2022-10-07,6070.0,6230.0,6060.0,6200.0
2022-10-11,6200.0,6200.0,6060.0,6100.0
2022-10-12,6050.0,6260.0,6010.0,6230.0
2022-10-13,6260.0,6260.0,6070.0,6130.0
2022-10-14,6160.0,6280.0,6140.0,6190.0
2022-10-17,6160.0,6200.0,6060.0,6190.0
2022-10-18,6250.0,6360.0,6240.0,6320.0
2022-10-19,6360.0,6390.0,6280.0,6330.0
2022-10-20,6270.0,6320.0,6130.0,6230.0
2022-10-21,6200.0,6210.0,6080.0,6100.0
2022-10-24,6220.0,6340.0,6140.0,6200.0
2022-10-25,6210.0,6230.0,6090.0,6120.0
2022-10-26,6120.0,6160.0,6070.0,6100.0
2022-10-27,6180.0,6360.0,6150.0,6360.0
2022-10-28,6310.0,6430.0,6310.0,6400.0
2022-10-31,6450.0,6470.0,6310.0,6350.0
2022-11-01,6350.0,6450.0,6330.0,6450.0
2022-11-02,6350.0,6420.0,6320.0,6400.0
2022-11-03,6320.0,6350.0,6180.0,6230.0
2022-11-04,6240.0,6420.0,6200.0,6420.0
2022-11-07,6420.0,6500.0,6350.0,6470.0
2022-11-08,6500.0,6530.0,6430.0,6510.0
2022-11-09,6550.0,6660.0,6510.0,6640.0
2022-11-10,6610.0,6710.0,6580.0,6580.0
2022-11-11,6770.0,6840.0,6710.0,6810.0
2022-11-14,6800.0,6860.0,6750.0,6800.0
2022-11-15,6850.0,6860.0,6740.0,6810.0
2022-11-16,6860.0,6870.0,6650.0,6810.0
2022-11-17,6820.0,6840.0,6570.0,6570.0
2022-11-18,6570.0,6640.0,6490.0,6530.0
2022-11-21,6540.0,6580.0,6430.0,6460.0
2022-11-22,6450.0,6510.0,6360.0,6410.0
2022-11-23,6420.0,6450.0,6360.0,6420.0
2022-11-24,6460.0,6690.0,6450.0,6620.0
2022-11-25,6640.0,6680.0,6540.0,6590.0
2022-11-28,6540.0,6550.0,6410.0,6470.0
2022-11-29,6500.0,6640.0,6430.0,6630.0
2022-11-30,6580.0,6700.0,6530.0,6650.0
2022-12-01,6740.0,6790.0,6710.0,6780.0
2022-12-02,6760.0,6760.0,6510.0,6510.0
2022-12-05,6560.0,6590.0,6480.0,6510.0
