Date,Open,High,Low,Close
2022-09-15,175500.0,175500.0,173000.0,175000.0
2022-09-16,174000.0,175500.0,172000.0,174000.0
2022-09-19,173500.0,174000.0,171000.0,172000.0
2022-09-20,173000.0,175500.0,172500.0,173500.0
2022-09-21,172000.0,172500.0,169000.0,170500.0
2022-09-22,169000.0,170500.0,168500.0,170000.0
2022-09-23,170000.0,170000.0,166500.0,167000.0
2022-09-26,163500.0,166500.0,159500.0,160500.0
2022-09-27,158500.0,162000.0,157500.0,159000.0
2022-09-28,155000.0,156500.0,144000.0,146500.0
2022-09-29,149000.0,149500.0,145000.0,146000.0
2022-09-30,144500.0,146500.0,141000.0,144000.0
2022-10-04,145000.0,152000.0,144500.0,149500.0
2022-10-05,153000.0,154000.0,147500.0,152000.0
2022-10-06,151000.0,154000.0,150500.0,151500.0
2022-10-07,150000.0,154000.0,148500.0,153500.0
2022-10-11,150500.0,153500.0,150000.0,153000.0
2022-10-12,156000.0,167000.0,156000.0,162500.0
2022-10-13,162000.0,163500.0,153000.0,155500.0
2022-10-14,159000.0,165500.0,157500.0,160500.0
2022-10-17,159000.0,163500.0,156500.0,161500.0
2022-10-18,163500.0,166500.0,162000.0,166000.0
2022-10-19,166000.0,169000.0,158500.0,160000.0
2022-10-20,158000.0,158000.0,150000.0,151500.0
2022-10-21,150000.0,150000.0,143000.0,144000.0
2022-10-24,146000.0,149500.0,144500.0,148500.0
2022-10-25,149000.0,149000.0,141500.0,146500.0
2022-10-26,147000.0,148500.0,142500.0,144000.0
2022-10-27,145000.0,148000.0,144500.0,147500.0
2022-10-28,146500.0,151000.0,146500.0,149500.0
2022-10-31,151500.0,152000.0,147000.0,148000.0
2022-11-01,149000.0,156000.0,148000.0,155000.0
2022-11-02,154500.0,160500.0,154000.0,160000.0
2022-11-03,155000.0,162000.0,155000.0,159000.0
2022-11-04,158000.0,159000.0,154500.0,157500.0
2022-11-07,158500.0,174000.0,158500.0,171500.0
2022-11-08,172500.0,175500.0,169500.0,171500.0
2022-11-09,167500.0,177000.0,163000.0,175000.0
2022-11-10,172500.0,179000.0,172000.0,176500.0
2022-11-11,181000.0,185000.0,172000.0,174500.0
