,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],82.07171314741036
Equity Final [$],7693042.1000000015
Equity Peak [$],11065862.5
Return [%],-23.069578999999983
Buy & Hold Return [%],-1.937984496124031
Return (Ann.) [%],-23.14992127658271
Volatility (Ann.) [%],24.467839954644383
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-35.743330445322265
Avg. Drawdown [%],-7.323871705967166
Max. Drawdown Duration,262 days 00:00:00
Avg. Drawdown Duration,43 days 00:00:00
# Trades,9
Win Rate [%],33.33333333333333
Best Trade [%],3.2529535523547537
Worst Trade [%],-13.59020937197335
Avg. Trade [%],-2.876895313791139
Max. Trade Duration,65 days 00:00:00
Avg. Trade Duration,34 days 00:00:00
Profit Factor,0.2384382216033027
Expectancy [%],-2.728659837502998
SQN,-1.485872729231945
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   7694124.5     0.304697              NaT
2023-09-12   7894324.5     0.286606              NaT
2023-09-13   7908624.5     0.285313              NaT
2023-09-14   7765624.5     0.298236              NaT
2023-09-15   7693042.1     0.304795         262 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   215        45       89     46342.5    47850.0   324112.5   0.032530 2022-11-21 2023-01-25  65 days
1  -216        89      102     47754.3    49300.0  -333871.2  -0.032368 2023-01-25 2023-02-13  19 days
2   202       102      118     49398.6    44900.0  -908717.2  -0.091067 2023-02-13 2023-03-08  23 days
3  -202       118      142     44810.2    50900.0 -1230139.6  -0.135902 2023-03-08 2023-04-11  34 days
4   153       142      175     51001.8    51800.0   122124.6   0.015650 2023-04-11 2023-05-31  50 days
5  -154       175      193     51696.4    53500.0  -277754.4  -0.034888 2023-05-31 2023-06-27  27 days
6   143       193      212     53607.0    52200.0  -201201.0  -0.026247 2023-06-27 2023-07-24  27 days
7  -143       212      250     52095.6    50600.0   213870.8   0.028709 2023-07-24 2023-09-15  53 days
8   152       250      250     50701.2    50600.0   -15382.4  -0.001996 2023-09-15 2023-09-15   0 days"
