,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],75.2988047808765
Equity Final [$],10230386.9
Equity Peak [$],12252130.4
Return [%],2.3038690000000037
Buy & Hold Return [%],44.86607142857143
Return (Ann.) [%],2.3131531127513316
Volatility (Ann.) [%],30.40159110613535
Sharpe Ratio,0.0760865806225686
Sortino Ratio,0.11232921171194836
Calmar Ratio,0.10931949360107525
Max. Drawdown [%],-21.159566666055063
Avg. Drawdown [%],-5.605602479164727
Max. Drawdown Duration,168 days 00:00:00
Avg. Drawdown Duration,30 days 00:00:00
# Trades,5
Win Rate [%],60.0
Best Trade [%],17.255201531094187
Worst Trade [%],-12.659645034376975
Avg. Trade [%],0.45910888455675813
Max. Trade Duration,102 days 00:00:00
Avg. Trade Duration,55 days 00:00:00
Profit Factor,1.2576961213944737
Expectancy [%],0.9546892304328258
SQN,0.09134441725943912
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   9845336.9     0.196439              NaT
2023-09-12  10155386.9     0.171133              NaT
2023-09-13  10320386.9     0.157666              NaT
2023-09-14  10230386.9     0.165012              NaT
2023-09-15  10230386.9     0.165012         168 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -435        62       90     22954.0    24300.0  -585510.0  -0.058639 2022-12-14 2023-01-26  43 days
1   386        90      159     24348.6    28550.0  1621740.4   0.172552 2023-01-26 2023-05-08 102 days
2  -387       159      206     28492.9    32100.0 -1395947.7  -0.126596 2023-05-08 2023-07-14  67 days
3   299       206      247     32164.2    33000.0   249904.2   0.025985 2023-07-14 2023-09-12  60 days
4  -300       247      250     32934.0    31800.0   340200.0   0.034433 2023-09-12 2023-09-15   3 days"
