Date,Open,High,Low,Close
2022-09-15,56800.0,57700.0,56300.0,56700.0
2022-09-16,56100.0,56500.0,55600.0,56400.0
2022-09-19,56300.0,57200.0,56000.0,56700.0
2022-09-20,57100.0,57600.0,56300.0,57000.0
2022-09-21,56600.0,57300.0,56100.0,56200.0
2022-09-22,55600.0,56100.0,55200.0,55700.0
2022-09-23,56500.0,57000.0,55100.0,55400.0
2022-09-26,54800.0,55100.0,53100.0,53400.0
2022-09-27,54900.0,55600.0,53200.0,53900.0
2022-09-28,53000.0,55100.0,52700.0,55100.0
2022-09-29,54700.0,55800.0,54600.0,55700.0
2022-09-30,56000.0,57100.0,53800.0,53900.0
2022-10-04,54100.0,56200.0,53900.0,55800.0
2022-10-05,56100.0,56200.0,54600.0,55200.0
2022-10-06,55500.0,56200.0,54900.0,55200.0
2022-10-07,54000.0,55900.0,53900.0,55500.0
2022-10-11,54200.0,55400.0,51900.0,52800.0
2022-10-12,52200.0,54000.0,52000.0,53800.0
2022-10-13,53700.0,55100.0,52500.0,52500.0
2022-10-14,52600.0,53500.0,52600.0,52700.0
2022-10-17,53100.0,55000.0,52300.0,54400.0
2022-10-18,55300.0,55500.0,53400.0,54500.0
2022-10-19,54600.0,54900.0,53200.0,53200.0
2022-10-20,53100.0,55000.0,52800.0,54700.0
2022-10-21,54100.0,57100.0,53000.0,55700.0
2022-10-24,56600.0,56700.0,52500.0,52600.0
2022-10-25,53300.0,53800.0,52800.0,53500.0
2022-10-26,53500.0,54700.0,53100.0,53900.0
2022-10-27,54700.0,55400.0,53800.0,55200.0
2022-10-28,55300.0,56100.0,55100.0,55800.0
2022-10-31,55400.0,56600.0,55000.0,55300.0
2022-11-01,55500.0,56500.0,55400.0,56100.0
2022-11-02,55600.0,56000.0,54500.0,55100.0
2022-11-03,54400.0,54900.0,53000.0,53900.0
2022-11-04,53400.0,54400.0,52900.0,54400.0
2022-11-07,54200.0,54900.0,53500.0,54500.0
2022-11-08,54600.0,55400.0,54200.0,55200.0
2022-11-09,56000.0,56900.0,55500.0,56500.0
2022-11-10,56500.0,56500.0,54700.0,55200.0
2022-11-11,56100.0,57200.0,56000.0,56800.0
2022-11-14,56900.0,58000.0,56400.0,57400.0
2022-11-15,58100.0,58400.0,57100.0,57700.0
2022-11-16,57800.0,57900.0,56300.0,57200.0
2022-11-17,58400.0,59400.0,57700.0,58500.0
2022-11-18,58000.0,58700.0,57500.0,57800.0
2022-11-21,58400.0,58800.0,57200.0,57400.0
2022-11-22,57400.0,58100.0,56200.0,56300.0
2022-11-23,56500.0,57600.0,56300.0,57300.0
2022-11-24,57800.0,57900.0,57000.0,57700.0
2022-11-25,58600.0,58700.0,57300.0,58000.0
2022-11-28,56900.0,57300.0,56100.0,56200.0
2022-11-29,55900.0,56100.0,54300.0,55500.0
2022-11-30,55100.0,58100.0,53800.0,57600.0
2022-12-01,57200.0,57500.0,55700.0,56700.0
2022-12-02,56700.0,59400.0,56300.0,58900.0
2022-12-05,59400.0,59500.0,57600.0,57700.0
2022-12-06,58200.0,58300.0,56200.0,56400.0
2022-12-07,56700.0,57200.0,55500.0,56600.0
2022-12-08,57100.0,58300.0,56100.0,57700.0
2022-12-09,58200.0,58900.0,57200.0,58900.0
2022-12-12,59000.0,59000.0,56400.0,56400.0
2022-12-13,56900.0,56900.0,54800.0,55100.0
2022-12-14,55800.0,56800.0,55400.0,56000.0
2022-12-15,56000.0,57500.0,55700.0,56800.0
2022-12-16,56200.0,57200.0,56000.0,56200.0
2022-12-19,55600.0,57100.0,55600.0,56400.0
2022-12-20,57000.0,57300.0,55700.0,56200.0
2022-12-21,56200.0,57400.0,55900.0,57400.0
2022-12-22,57200.0,59500.0,57100.0,59500.0
2022-12-23,59200.0,59900.0,57700.0,58000.0
2022-12-26,57800.0,58500.0,57300.0,58200.0
2022-12-27,58900.0,59700.0,58200.0,59600.0
2022-12-28,58100.0,58200.0,56300.0,56900.0
2022-12-29,56700.0,57100.0,55600.0,55900.0
2023-01-02,56000.0,56700.0,55100.0,55900.0
2023-01-03,55300.0,55700.0,53800.0,55200.0
2023-01-04,54400.0,54900.0,53000.0,53500.0
2023-01-05,53300.0,55100.0,53100.0,54900.0
2023-01-06,54300.0,55300.0,54100.0,55100.0
2023-01-09,55200.0,56300.0,55200.0,56000.0
2023-01-10,56300.0,56500.0,54900.0,55100.0
2023-01-11,55300.0,55800.0,54700.0,55500.0
2023-01-12,55500.0,55700.0,54300.0,54300.0
2023-01-13,54800.0,56400.0,54500.0,55600.0
2023-01-16,55500.0,55700.0,54800.0,54900.0
2023-01-17,54900.0,55900.0,54800.0,55600.0
2023-01-18,55300.0,55800.0,54900.0,55300.0
2023-01-19,54800.0,56100.0,54800.0,55900.0
2023-01-20,55600.0,56000.0,54900.0,55100.0
2023-01-25,55200.0,56000.0,54900.0,55100.0
2023-01-26,55100.0,56300.0,55000.0,56100.0
2023-01-27,55900.0,57600.0,55800.0,56700.0
2023-01-30,57000.0,57000.0,55600.0,55900.0
2023-01-31,56300.0,56700.0,55500.0,55800.0
2023-02-01,55900.0,56400.0,55600.0,55800.0
2023-02-02,56200.0,56300.0,55300.0,55600.0
2023-02-03,55400.0,56500.0,55300.0,56400.0
2023-02-06,56100.0,56600.0,54800.0,55100.0
2023-02-07,55200.0,55600.0,54900.0,55200.0
2023-02-08,55300.0,57900.0,55100.0,57600.0
2023-02-09,56900.0,57300.0,55600.0,55900.0
2023-02-10,55500.0,56300.0,55500.0,56000.0
2023-02-13,55700.0,57000.0,55700.0,56700.0
2023-02-14,57200.0,57500.0,56700.0,57100.0
2023-02-15,57100.0,57500.0,56200.0,56400.0
2023-02-16,56800.0,57500.0,56400.0,56900.0
2023-02-17,56900.0,57500.0,55300.0,55400.0
2023-02-20,55600.0,56300.0,55000.0,55800.0
2023-02-21,55500.0,56100.0,54400.0,54600.0
2023-02-22,54200.0,55200.0,53900.0,54300.0
2023-02-23,54700.0,54900.0,53800.0,53900.0
2023-02-24,54000.0,54300.0,52800.0,53500.0
2023-02-27,53100.0,53600.0,52500.0,53300.0
2023-02-28,53300.0,54100.0,52700.0,53400.0
2023-03-02,53100.0,53900.0,52800.0,53100.0
2023-03-03,53400.0,53600.0,53000.0,53200.0
2023-03-06,53300.0,53800.0,52900.0,53400.0
2023-03-07,53300.0,53400.0,52200.0,52200.0
2023-03-08,51800.0,51900.0,50700.0,50900.0
2023-03-09,51200.0,51200.0,49950.0,50600.0
2023-03-10,50000.0,50500.0,49900.0,50400.0
2023-03-13,50900.0,50900.0,49950.0,50600.0
2023-03-14,50300.0,50400.0,48500.0,48600.0
2023-03-15,49050.0,50000.0,49000.0,49800.0
2023-03-16,49350.0,49600.0,48350.0,48900.0
2023-03-17,49200.0,50200.0,49100.0,50200.0
2023-03-20,50500.0,50500.0,48950.0,49200.0
2023-03-21,49300.0,50000.0,49200.0,49950.0
2023-03-22,49950.0,50600.0,49850.0,50200.0
2023-03-23,50200.0,50400.0,49500.0,49800.0
2023-03-24,49650.0,50600.0,49650.0,50100.0
2023-03-27,50600.0,51400.0,50200.0,51300.0
2023-03-28,51300.0,51300.0,50400.0,51200.0
2023-03-29,51400.0,51800.0,51000.0,51300.0
2023-03-30,51200.0,52000.0,51000.0,51500.0
2023-03-31,52000.0,52500.0,51600.0,52500.0
2023-04-03,52100.0,52500.0,51000.0,51300.0
2023-04-04,51600.0,52100.0,51300.0,52000.0
2023-04-05,52400.0,52500.0,51800.0,52300.0
2023-04-06,52300.0,52400.0,51400.0,51700.0
2023-04-07,51500.0,51500.0,50000.0,50200.0
2023-04-10,50300.0,50800.0,49900.0,49950.0
2023-04-11,50300.0,51200.0,50000.0,50700.0
2023-04-12,50800.0,51500.0,50500.0,51400.0
2023-04-13,51000.0,51700.0,51000.0,51500.0
2023-04-14,51700.0,52800.0,51600.0,51700.0
2023-04-17,51900.0,51900.0,50200.0,51000.0
2023-04-18,50700.0,51700.0,50500.0,51500.0
2023-04-19,51500.0,52300.0,51400.0,51700.0
2023-04-20,51700.0,52300.0,51600.0,51900.0
2023-04-21,51300.0,52000.0,51100.0,51900.0
2023-04-24,52000.0,52500.0,51300.0,52200.0
2023-04-25,52400.0,52400.0,50400.0,50600.0
2023-04-26,50300.0,50600.0,48850.0,49500.0
2023-04-27,49050.0,49250.0,48600.0,48750.0
2023-04-28,48650.0,49200.0,48150.0,49050.0
2023-05-02,48850.0,50200.0,48850.0,49900.0
2023-05-03,49900.0,49950.0,49000.0,49100.0
2023-05-04,48950.0,49150.0,48550.0,49150.0
2023-05-08,49100.0,49800.0,49000.0,49500.0
2023-05-09,49550.0,50100.0,49550.0,49850.0
2023-05-10,49700.0,49750.0,49050.0,49300.0
2023-05-11,49350.0,50000.0,49300.0,49900.0
2023-05-12,49700.0,49700.0,49000.0,49050.0
2023-05-15,49050.0,49400.0,48450.0,48600.0
2023-05-16,48500.0,48850.0,48050.0,48300.0
2023-05-17,48300.0,48450.0,47800.0,47950.0
2023-05-18,48050.0,48400.0,48000.0,48350.0
2023-05-19,48350.0,49250.0,48350.0,49100.0
2023-05-22,49100.0,49600.0,48700.0,49300.0
2023-05-23,49500.0,49500.0,49100.0,49350.0
2023-05-24,48900.0,49300.0,48750.0,49000.0
2023-05-25,48650.0,49150.0,48300.0,49050.0
2023-05-26,48600.0,49050.0,48000.0,48000.0
2023-05-30,48300.0,48700.0,47850.0,48400.0
2023-05-31,48000.0,48900.0,47900.0,48150.0
2023-06-01,48450.0,48800.0,47700.0,47950.0
2023-06-02,48050.0,48100.0,47300.0,48050.0
2023-06-05,48050.0,48500.0,47800.0,48300.0
2023-06-07,48350.0,48800.0,48050.0,48100.0
2023-06-08,48550.0,48750.0,47850.0,48100.0
2023-06-09,48300.0,48600.0,48100.0,48200.0
2023-06-12,48550.0,48800.0,48200.0,48800.0
2023-06-13,48850.0,49500.0,48100.0,48150.0
2023-06-14,48100.0,48150.0,46800.0,47000.0
2023-06-15,47050.0,47450.0,46850.0,47050.0
2023-06-16,47050.0,47400.0,46350.0,46600.0
2023-06-19,46400.0,46600.0,45400.0,45650.0
2023-06-20,45600.0,45750.0,44500.0,44550.0
2023-06-21,44400.0,44800.0,43900.0,44050.0
2023-06-22,44050.0,44200.0,43550.0,43700.0
2023-06-23,43500.0,43950.0,43050.0,43450.0
2023-06-26,43400.0,44200.0,43100.0,44200.0
2023-06-27,44100.0,44300.0,43550.0,43800.0
2023-06-28,43900.0,44500.0,43800.0,44400.0
2023-06-29,44000.0,44400.0,43850.0,43950.0
2023-06-30,44400.0,44400.0,43350.0,43950.0
2023-07-03,43850.0,45400.0,43600.0,45100.0
2023-07-04,44700.0,44900.0,43800.0,43900.0
2023-07-05,43650.0,44350.0,43600.0,43750.0
2023-07-06,43750.0,44000.0,42700.0,43300.0
2023-07-07,42700.0,43550.0,42550.0,42700.0
2023-07-10,43150.0,43400.0,42550.0,42900.0
2023-07-11,43300.0,43600.0,42800.0,43200.0
2023-07-12,43200.0,44050.0,43200.0,43950.0
2023-07-13,44350.0,45650.0,44050.0,44700.0
2023-07-14,45300.0,45850.0,44850.0,45650.0
2023-07-17,45150.0,45500.0,44350.0,44450.0
2023-07-18,44800.0,45350.0,43700.0,44300.0
2023-07-19,44100.0,45050.0,44050.0,44100.0
2023-07-20,43800.0,44800.0,43600.0,43600.0
2023-07-21,43200.0,43700.0,43050.0,43400.0
2023-07-24,43500.0,43550.0,42900.0,43100.0
2023-07-25,43100.0,43350.0,41350.0,41400.0
2023-07-26,41400.0,41500.0,39600.0,40650.0
2023-07-27,41000.0,43100.0,41000.0,42800.0
2023-07-28,42050.0,42600.0,41700.0,42050.0
2023-07-31,42350.0,42400.0,41000.0,41000.0
2023-08-01,40700.0,41750.0,40350.0,41750.0
2023-08-02,41000.0,41450.0,40700.0,40950.0
2023-08-03,40600.0,40850.0,40000.0,40300.0
2023-08-04,40300.0,41350.0,40050.0,41300.0
2023-08-07,40900.0,41500.0,40550.0,40900.0
2023-08-08,41300.0,41350.0,40350.0,40800.0
2023-08-09,41050.0,41100.0,40600.0,40850.0
2023-08-10,41750.0,42700.0,41250.0,41500.0
2023-08-11,41650.0,42600.0,41650.0,42050.0
2023-08-14,42150.0,42950.0,42150.0,42450.0
2023-08-16,42450.0,42550.0,41700.0,42200.0
2023-08-17,42450.0,42450.0,41750.0,42300.0
2023-08-18,41750.0,41900.0,40600.0,40950.0
2023-08-21,41300.0,41750.0,41000.0,41250.0
2023-08-22,41600.0,42900.0,41500.0,42700.0
2023-08-23,42250.0,42300.0,41550.0,42000.0
