,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],83.26693227091634
Equity Final [$],7255962.631199997
Equity Peak [$],12513512.331199996
Return [%],-27.44037368800003
Buy & Hold Return [%],-19.12773451548475
Return (Ann.) [%],-27.53304090539195
Volatility (Ann.) [%],31.98793941494612
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-42.01497997401839
Avg. Drawdown [%],-13.762930208498982
Max. Drawdown Duration,154 days 00:00:00
Avg. Drawdown Duration,49 days 00:00:00
# Trades,8
Win Rate [%],37.5
Best Trade [%],15.225499541874509
Worst Trade [%],-17.534657731683033
Avg. Trade [%],-3.9310852719111833
Max. Trade Duration,83 days 00:00:00
Avg. Trade Duration,38 days 00:00:00
Profit Factor,0.46711591137179004
Expectancy [%],-3.429192827999693
SQN,-0.9632805834465133
_strategy,SmaCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2022-09-15  1.000000e+07     0.000000              NaT
2022-09-16  1.000000e+07     0.000000              NaT
2022-09-19  1.000000e+07     0.000000              NaT
2022-09-20  1.000000e+07     0.000000              NaT
2022-09-21  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2023-09-11  7.731281e+06     0.382165              NaT
2023-09-12  7.673781e+06     0.386760              NaT
2023-09-13  7.646963e+06     0.388904              NaT
2023-09-14  7.313463e+06     0.415555              NaT
2023-09-15  7.255963e+06     0.420150         154 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar   EntryPrice  ExitPrice           PnL  ReturnPct  EntryTime   ExitTime Duration
0   290        42       62  34382.35746   35686.27  3.781346e+05   0.037924 2022-11-16 2022-12-14  28 days
1  -291        62       70  35614.89746   33823.53  5.212879e+05   0.050298 2022-12-14 2022-12-26  12 days
2   321        70       87  33891.17706   29850.00 -1.297218e+06  -0.119240 2022-12-26 2023-01-19  24 days
3  -322        87      112  29790.30000   32350.00 -8.242234e+05  -0.085924 2023-01-19 2023-02-27  39 days
4   270       112      168  32414.70000   37350.00  1.332531e+06   0.152255 2023-02-27 2023-05-19  81 days
5  -271       168      225  37275.30000   40300.00 -8.196937e+05  -0.081145 2023-05-19 2023-08-10  83 days
6   230       225      248  40380.60000   33300.00 -1.628538e+06  -0.175347 2023-08-10 2023-09-13  34 days
7  -230       248      250  33233.40000   35000.00 -4.063180e+05  -0.053157 2023-09-13 2023-09-15   2 days"
