,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],70.1195219123506
Equity Final [$],9987633.0
Equity Peak [$],10609932.0
Return [%],-0.12367
Buy & Hold Return [%],-31.47896879240163
Return (Ann.) [%],-0.12416240315690219
Volatility (Ann.) [%],24.517719182153012
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-23.385154589115174
Avg. Drawdown [%],-6.471103500603374
Max. Drawdown Duration,143 days 00:00:00
Avg. Drawdown Duration,28 days 00:00:00
# Trades,7
Win Rate [%],28.57142857142857
Best Trade [%],22.445510215477395
Worst Trade [%],-15.169660678642716
Avg. Trade [%],0.006968990832367794
Max. Trade Duration,106 days 00:00:00
Avg. Trade Duration,37 days 00:00:00
Profit Factor,1.1595808225147912
Expectancy [%],0.7757833161152162
SQN,-0.0039024865363678726
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11  10075133.0     0.050406              NaT
2023-09-12  10050133.0     0.052762              NaT
2023-09-13  10150133.0     0.043337              NaT
2023-09-14   9975133.0     0.059831              NaT
2023-09-15   9987633.0     0.058652         143 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   -23        75       91    432134.0   471000.0  -893918.0  -0.089940 2023-01-03 2023-01-27  24 days
1    19        91      110    471942.0   454000.0  -340898.0  -0.038017 2023-01-27 2023-02-23  27 days
2   -19       110      163    453092.0   376000.0  1464748.0   0.170146 2023-02-23 2023-05-12  78 days
3    27       163      167    376752.0   367500.0  -249804.0  -0.024557 2023-05-12 2023-05-18   6 days
4   -27       167      169    366765.0   380000.0  -357345.0  -0.036086 2023-05-18 2023-05-22   4 days
5    25       169      176    380760.0   323000.0 -1444000.0  -0.151697 2023-05-22 2023-06-01  10 days
6   -25       176      250    322354.0   250000.0  1808850.0   0.224455 2023-06-01 2023-09-15 106 days"
