,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],69.32270916334662
Equity Final [$],6240965.280000001
Equity Peak [$],10000000.0
Return [%],-37.59034719999999
Buy & Hold Return [%],-20.04750593824228
Return (Ann.) [%],-37.70746046694495
Volatility (Ann.) [%],20.233525598932435
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-45.271547199999986
Avg. Drawdown [%],-45.271547199999986
Max. Drawdown Duration,254 days 00:00:00
Avg. Drawdown Duration,254 days 00:00:00
# Trades,7
Win Rate [%],14.285714285714285
Best Trade [%],6.172769567403358
Worst Trade [%],-15.832688394692184
Avg. Trade [%],-6.519569892007137
Max. Trade Duration,50 days 00:00:00
Avg. Trade Duration,37 days 00:00:00
Profit Factor,0.12337297619922703
Expectancy [%],-6.2658044633494905
SQN,-2.2179404281031654
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   5984925.28     0.401507              NaT
2023-09-12   6071425.28     0.392857              NaT
2023-09-13   6351685.28     0.364831              NaT
2023-09-14   6126785.28     0.387321              NaT
2023-09-15   6240965.28     0.375903         254 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0  -512        77       97    19510.90    22600.0 -1581619.20  -0.158327 2023-01-05 2023-02-06  32 days
1   371        97      123    22645.20    20150.0  -925719.20  -0.110187 2023-02-06 2023-03-15  37 days
2  -372       123      155    20109.70    20150.0   -14991.60  -0.002004 2023-03-15 2023-04-28  44 days
3   370       155      168    20190.30    18300.0  -699411.00  -0.093624 2023-04-28 2023-05-19  21 days
4  -371       168      197    18263.40    18880.0  -228758.60  -0.033762 2023-05-19 2023-07-03  45 days
5   346       197      215    18917.76    16980.0  -670464.96  -0.102431 2023-07-03 2023-07-27  24 days
6  -346       215      250    16946.04    15900.0   361929.84   0.061728 2023-07-27 2023-09-15  50 days"
