Date,Open,High,Low,Close
2022-09-15,499500.0,513000.0,497500.0,511000.0
2022-09-16,512000.0,516000.0,501000.0,506000.0
2022-09-19,507000.0,507000.0,475000.0,477500.0
2022-09-20,484000.0,491000.0,475500.0,483500.0
2022-09-21,481500.0,487500.0,476500.0,479500.0
2022-09-22,475500.0,492000.0,473500.0,488500.0
2022-09-23,489000.0,489500.0,460000.0,460500.0
2022-09-26,453000.0,458000.0,440000.0,446500.0
2022-09-27,447500.0,451000.0,435000.0,444000.0
2022-09-28,444000.0,451500.0,427000.0,433500.0
2022-09-29,440500.0,448000.0,436500.0,440000.0
2022-09-30,433000.0,438500.0,420000.0,426500.0
2022-10-04,429500.0,446000.0,415000.0,444500.0
2022-10-05,455000.0,470500.0,448500.0,469000.0
2022-10-06,470000.0,487000.0,466500.0,478000.0
2022-10-07,474500.0,486000.0,474000.0,482500.0
2022-10-11,482000.0,497500.0,477500.0,497500.0
2022-10-12,497500.0,498000.0,475500.0,483000.0
2022-10-13,484500.0,492500.0,476500.0,477000.0
2022-10-14,487000.0,489500.0,479000.0,483000.0
2022-10-17,479500.0,491500.0,477000.0,491500.0
2022-10-18,497000.0,499500.0,481500.0,489000.0
2022-10-19,491000.0,500000.0,489500.0,497500.0
2022-10-20,499000.0,500000.0,484500.0,495000.0
2022-10-21,491000.0,499000.0,489000.0,499000.0
2022-10-24,504000.0,510000.0,500000.0,509000.0
2022-10-25,510000.0,526000.0,509000.0,511000.0
2022-10-26,517000.0,530000.0,514000.0,529000.0
2022-10-27,535000.0,545000.0,532000.0,540000.0
2022-10-28,540000.0,549000.0,530000.0,532000.0
2022-10-31,539000.0,542000.0,516000.0,528000.0
2022-11-01,534000.0,563000.0,533000.0,563000.0
2022-11-02,564000.0,585000.0,560000.0,569000.0
2022-11-03,560000.0,593000.0,557000.0,589000.0
2022-11-04,590000.0,598000.0,583000.0,592000.0
2022-11-07,591000.0,596000.0,581000.0,587000.0
2022-11-08,590000.0,590000.0,570000.0,588000.0
2022-11-09,591000.0,599000.0,581000.0,599000.0
2022-11-10,595000.0,610000.0,593000.0,605000.0
2022-11-11,623000.0,629000.0,613000.0,624000.0
2022-11-14,618000.0,628000.0,602000.0,604000.0
2022-11-15,604000.0,610000.0,586000.0,596000.0
2022-11-16,599000.0,603000.0,585000.0,600000.0
2022-11-17,596000.0,606000.0,593000.0,597000.0
2022-11-18,600000.0,613000.0,597000.0,598000.0
2022-11-21,600000.0,600000.0,571000.0,573000.0
2022-11-22,569000.0,578000.0,558000.0,571000.0
2022-11-23,574000.0,576000.0,557000.0,561000.0
2022-11-24,568000.0,574000.0,565000.0,568000.0
2022-11-25,568000.0,577000.0,566000.0,571000.0
2022-11-28,573000.0,584000.0,554000.0,562000.0
2022-11-29,562000.0,568000.0,558000.0,567000.0
2022-11-30,563000.0,587000.0,556000.0,587000.0
2022-12-01,589000.0,591000.0,579000.0,585000.0
2022-12-02,585000.0,590000.0,578000.0,584000.0
2022-12-05,582000.0,582000.0,562000.0,562000.0
2022-12-06,555000.0,568000.0,553000.0,559000.0
2022-12-07,558000.0,565000.0,553000.0,563000.0
2022-12-08,564000.0,567000.0,525000.0,531000.0
2022-12-09,533000.0,534000.0,507000.0,515000.0
2022-12-12,506000.0,514000.0,501000.0,502000.0
2022-12-13,506000.0,506000.0,489000.0,496500.0
2022-12-14,492500.0,502000.0,488000.0,498500.0
2022-12-15,499000.0,502000.0,483000.0,486000.0
2022-12-16,476500.0,489500.0,476500.0,485500.0
2022-12-19,482500.0,483000.0,473000.0,482000.0
2022-12-20,478500.0,497500.0,477000.0,487500.0
2022-12-21,489500.0,493000.0,475000.0,477000.0
2022-12-22,479500.0,481000.0,466500.0,471500.0
2022-12-23,464000.0,465500.0,455000.0,455500.0
2022-12-26,454000.0,459500.0,454000.0,457500.0
2022-12-27,457500.0,460000.0,449500.0,457000.0
2022-12-28,450500.0,450500.0,432500.0,436500.0
2022-12-29,435500.0,442500.0,432500.0,435500.0
2023-01-02,442000.0,455000.0,441500.0,446000.0
2023-01-03,446000.0,449500.0,435000.0,440500.0
2023-01-04,433000.0,445000.0,421000.0,443000.0
2023-01-05,447000.0,450000.0,433000.0,433500.0
