,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],75.69721115537848
Equity Final [$],8670688.0
Equity Peak [$],10714600.0
Return [%],-13.29312
Buy & Hold Return [%],-9.417596034696405
Return (Ann.) [%],-13.342379329016573
Volatility (Ann.) [%],15.420551843190877
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-19.299945868254532
Avg. Drawdown [%],-5.156356185178613
Max. Drawdown Duration,130 days 00:00:00
Avg. Drawdown Duration,39 days 00:00:00
# Trades,7
Win Rate [%],28.57142857142857
Best Trade [%],2.3751296963572144
Worst Trade [%],-9.101395199550645
Avg. Trade [%],-2.150589913438594
Max. Trade Duration,118 days 00:00:00
Avg. Trade Duration,40 days 00:00:00
Profit Factor,0.23472942766182792
Expectancy [%],-2.0761927747444324
SQN,-1.342935065189303
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   8646688.0     0.192999              NaT
2023-09-12   8778688.0     0.180680              NaT
2023-09-13   8778688.0     0.180680              NaT
2023-09-14   8682688.0     0.189640              NaT
2023-09-15   8670688.0     0.190760          67 days

[251 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  EntryTime   ExitTime Duration
0   -12        61      141    815366.0   796000.0  232392.0   0.023751 2022-12-13 2023-04-10 118 days
1    12       141      161    797592.0   790000.0  -91104.0  -0.009519 2023-04-10 2023-05-10  30 days
2   -12       161      188    788420.0   772000.0  197040.0   0.020826 2023-05-10 2023-06-20  41 days
3    13       188      190    773544.0   756000.0 -228072.0  -0.022680 2023-06-20 2023-06-22   2 days
4   -13       190      223    754488.0   796000.0 -539656.0  -0.055020 2023-06-22 2023-08-08  47 days
5    11       223      245    797592.0   725000.0 -798512.0  -0.091014 2023-08-08 2023-09-08  31 days
6   -12       245      250    723550.0   732000.0 -101400.0  -0.011679 2023-09-08 2023-09-15   7 days"
