,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],83.6
Equity Final [$],3416816.299999998
Equity Peak [$],10849445.2
Return [%],-65.83183700000002
Buy & Hold Return [%],69.82591876208897
Return (Ann.) [%],-66.1241186349453
Volatility (Ann.) [%],16.386283217254714
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-72.61319592636868
Avg. Drawdown [%],-38.5218521411044
Max. Drawdown Duration,295 days 00:00:00
Avg. Drawdown Duration,152 days 00:00:00
# Trades,9
Win Rate [%],22.22222222222222
Best Trade [%],6.938103359054559
Worst Trade [%],-27.978729736701126
Avg. Trade [%],-11.279934998576435
Max. Trade Duration,89 days 00:00:00
Avg. Trade Duration,34 days 00:00:00
Profit Factor,0.08901792678960264
Expectancy [%],-10.662463920679045
SQN,-2.9895399972052688
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   2971316.3     0.726132              NaT
2023-09-12   3068516.3     0.717173              NaT
2023-09-13   3117116.3     0.712693              NaT
2023-09-14   3449216.3     0.682084              NaT
2023-09-15   3416816.3     0.685070         295 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   414        41       74     24148.2    22350.0  -744454.8  -0.074465 2022-11-15 2023-01-02  48 days
1  -414        74       93     22305.3    26100.0 -1571005.8  -0.170125 2023-01-02 2023-01-31  29 days
2   293        93      123     26152.2    25250.0  -264344.6  -0.034498 2023-01-31 2023-03-15  43 days
3  -294       123      135     25199.5    32250.0 -2072847.0  -0.279787 2023-03-15 2023-03-31  16 days
4   165       135      163     32314.5    27700.0  -761392.5  -0.142800 2023-03-31 2023-05-12  42 days
5  -165       163      177     27644.6    32150.0  -743391.0  -0.162976 2023-05-12 2023-06-02  21 days
6   119       177      237     32214.3    33000.0    93498.3   0.024390 2023-06-02 2023-08-30  89 days
7  -119       237      240     32934.0    39150.0  -739704.0  -0.188741 2023-08-30 2023-09-04   5 days
8    81       240      249     39228.3    41950.0   220457.7   0.069381 2023-09-04 2023-09-15  11 days"
