,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],72.8
Equity Final [$],6426923.300000003
Equity Peak [$],10952511.8
Return [%],-35.73076699999997
Buy & Hold Return [%],32.82149712092131
Return (Ann.) [%],-35.95766737291517
Volatility (Ann.) [%],25.53927564790236
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-41.320097002771526
Avg. Drawdown [%],-15.35267744199168
Max. Drawdown Duration,256 days 00:00:00
Avg. Drawdown Duration,88 days 00:00:00
# Trades,9
Win Rate [%],22.22222222222222
Best Trade [%],11.35966240439188
Worst Trade [%],-13.284420079829085
Avg. Trade [%],-4.799262620859701
Max. Trade Duration,52 days 00:00:00
Avg. Trade Duration,30 days 00:00:00
Profit Factor,0.3133210933625606
Expectancy [%],-4.42373150963624
SQN,-1.498030399234746
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   6843423.3     0.375173              NaT
2023-09-12   6941423.3     0.366225              NaT
2023-09-13   6990423.3     0.361752              NaT
2023-09-14   6426923.3     0.413201              NaT
2023-09-15   6426923.3     0.413201         256 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -367        68       91     27245.4    30650.0 -1249488.2  -0.124961 2022-12-22 2023-01-27  36 days
1   284        91      126     30711.3    34200.0   990790.8   0.113597 2023-01-27 2023-03-20  52 days
2  -285       126      133     34131.6    34700.0  -161994.0  -0.016653 2023-03-20 2023-03-29   9 days
3   275       133      156     34769.4    30550.0 -1160335.0  -0.121354 2023-03-29 2023-05-02  34 days
4  -276       156      181     30488.9    32050.0  -430863.6  -0.051202 2023-05-02 2023-06-09  38 days
5   248       181      207     32114.1    34300.0   542103.2   0.068067 2023-06-09 2023-07-18  39 days
6  -249       207      208     34231.4    34500.0   -66881.4  -0.007847 2023-07-18 2023-07-19   1 days
7   244       208      236     34569.0    30250.0 -1053836.0  -0.124939 2023-07-19 2023-08-29  41 days
8  -245       236      249     30189.5    34200.0  -982572.5  -0.132844 2023-08-29 2023-09-15  17 days"
