Date,Open,High,Low,Close
2022-09-15,119142.86,119142.86,117238.09,117809.52
2022-09-16,117238.09,121523.81,115904.77,118571.43
2022-09-19,118095.23,119333.34,114952.38,115714.29
2022-09-20,117428.57,117428.57,113619.05,114571.43
2022-09-21,113714.29,113714.29,111142.86,111523.81
2022-09-22,110857.14,110952.38,109047.62,109428.57
2022-09-23,108095.23,110857.14,107714.29,109809.52
2022-09-26,109714.29,109714.29,101714.29,106285.71
2022-09-27,107904.77,108380.95,103809.52,108285.71
2022-09-28,106952.38,109238.09,105523.81,108000.0
2022-09-29,108571.43,109428.57,103904.77,105142.86
2022-09-30,103714.29,105428.57,101809.52,103619.05
2022-10-04,106857.14,109142.86,104857.14,109142.86
2022-10-05,110095.23,110285.71,105333.34,106190.48
2022-10-06,105714.29,107809.52,105619.05,107047.62
2022-10-07,104857.14,106761.91,104761.91,105333.34
2022-10-11,103523.81,103523.81,96476.19,96666.66
2022-10-12,96761.91,99714.29,94952.38,99714.29
2022-10-13,97142.86,98571.43,95714.29,97523.81
2022-10-14,98666.66,101238.09,98190.48,99904.77
2022-10-17,98666.66,100380.95,96857.14,100000.0
2022-10-18,100095.23,102857.14,99809.52,101428.57
2022-10-19,99047.62,102190.48,99047.62,99619.05
2022-10-20,98095.23,99619.05,97333.34,97523.81
2022-10-21,99047.62,100285.71,97047.62,98857.14
2022-10-24,100857.14,101809.52,98857.14,100761.91
2022-10-25,99238.09,101523.81,98571.43,99333.34
2022-10-26,100190.48,100476.19,98190.48,99809.52
2022-10-27,100285.71,100666.66,98952.38,100000.0
2022-10-28,101809.52,101809.52,99142.86,99238.09
2022-10-31,99238.09,100285.71,98380.95,100190.48
2022-11-01,100000.0,101523.81,99333.34,100952.38
2022-11-02,100761.91,101428.57,99523.81,100190.48
2022-11-03,99904.77,100095.23,98571.43,98571.43
2022-11-04,98761.91,98761.91,97238.09,98476.19
2022-11-07,99047.62,100190.48,98380.95,99333.34
2022-11-08,99523.81,101714.29,99523.81,101238.09
2022-11-09,101238.09,106000.0,100666.66,104857.14
2022-11-10,105428.57,114666.66,102095.23,113523.81
2022-11-11,115904.77,119047.62,115523.81,118761.91
2022-11-14,118666.66,121047.62,116571.43,118761.91
2022-11-15,118761.91,120952.38,118761.91,119809.52
2022-11-16,119809.52,120476.19,116952.38,117142.86
2022-11-17,116380.95,119047.62,115714.29,117714.29
2022-11-18,117714.29,119809.52,116666.66,117047.62
2022-11-21,116285.71,117428.57,113142.86,113238.09
2022-11-22,113238.09,116666.66,113238.09,114571.43
2022-11-23,115238.09,116000.0,113619.05,115333.34
2022-11-24,115333.34,115809.52,114190.48,115619.05
2022-11-25,114761.91,115428.57,112761.91,112952.38
2022-11-28,111523.81,112952.38,107523.81,108571.43
2022-11-29,108952.38,112190.48,107809.52,111238.09
2022-11-30,111142.86,114285.71,109809.52,113904.77
2022-12-01,114571.43,115714.29,111714.29,113047.62
2022-12-02,112476.19,113619.05,111333.34,111428.57
2022-12-05,111428.57,114857.14,111428.57,114380.95
2022-12-06,113238.09,118952.38,112476.19,117142.86
2022-12-07,117238.09,120476.19,114857.14,117619.05
2022-12-08,118000.0,120952.38,117142.86,118857.14
2022-12-09,119714.29,127238.09,119714.29,124761.91
2022-12-12,123428.57,127047.62,123428.57,126000.0
2022-12-13,124761.91,126666.66,124476.19,126095.23
2022-12-14,124857.14,126666.66,123809.52,126285.71
2022-12-15,125809.52,127523.81,124952.38,126380.95
2022-12-16,124952.38,126380.95,123714.29,126285.71
2022-12-19,126476.19,127904.77,124952.38,127523.81
2022-12-20,127904.77,128095.23,123428.57,123904.77
2022-12-21,126000.0,128000.0,125142.86,127714.29
2022-12-22,128857.14,131619.05,126857.14,130857.14
2022-12-23,130000.0,131238.09,127714.29,128000.0
2022-12-26,128000.0,128285.71,124857.14,127619.05
2022-12-27,127619.05,128571.43,125333.34,128476.19
2022-12-28,129500.0,135300.0,127300.0,133900.0
2022-12-29,132600.0,132600.0,127600.0,128000.0
2023-01-02,127200.0,131900.0,127100.0,128600.0
2023-01-03,127000.0,128600.0,125600.0,126500.0
2023-01-04,125900.0,127100.0,123700.0,126000.0
2023-01-05,124600.0,128600.0,124500.0,126000.0
2023-01-06,125600.0,129000.0,123400.0,128100.0
2023-01-09,129000.0,130800.0,128200.0,128600.0
2023-01-10,128200.0,128400.0,124200.0,126200.0
2023-01-11,128100.0,132300.0,127100.0,130900.0
2023-01-12,131700.0,131700.0,127800.0,128600.0
2023-01-13,129200.0,133000.0,128100.0,130900.0
2023-01-16,131700.0,138600.0,131400.0,137000.0
2023-01-17,138300.0,138300.0,131300.0,131700.0
2023-01-18,132800.0,134300.0,130200.0,131100.0
