,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],82.39999999999999
Equity Final [$],14740752.639279999
Equity Peak [$],22646223.63928
Return [%],47.40752639279999
Buy & Hold Return [%],143.18917520417702
Return (Ann.) [%],47.865826709618496
Volatility (Ann.) [%],92.04905377199589
Sharpe Ratio,0.5200034628077919
Sortino Ratio,1.4397331823690729
Calmar Ratio,1.0542533297799053
Max. Drawdown [%],-45.40258527768783
Avg. Drawdown [%],-7.816543772113235
Max. Drawdown Duration,155 days 00:00:00
Avg. Drawdown Duration,22 days 00:00:00
# Trades,5
Win Rate [%],40.0
Best Trade [%],83.12888118804361
Worst Trade [%],-18.292139835226017
Avg. Trade [%],8.141461583655074
Max. Trade Duration,186 days 00:00:00
Avg. Trade Duration,61 days 00:00:00
Profit Factor,2.9079152411887397
Expectancy [%],13.129410458853691
SQN,0.4700519137903032
_strategy,SmaCross
_equity_curve,"                  Equity  DrawdownPct DrawdownDuration
2022-09-15  1.000000e+07     0.000000              NaT
2022-09-16  1.000000e+07     0.000000              NaT
2022-09-19  1.000000e+07     0.000000              NaT
2022-09-20  1.000000e+07     0.000000              NaT
2022-09-21  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2023-09-11  1.518175e+07     0.329612              NaT
2023-09-12  1.525525e+07     0.326367              NaT
2023-09-13  1.454475e+07     0.357740              NaT
2023-09-14  1.471625e+07     0.350167              NaT
2023-09-15  1.474075e+07     0.349086         155 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar    EntryPrice  ExitPrice           PnL  ReturnPct  EntryTime   ExitTime Duration
0    84        44      170  117949.71858   216000.0  8.236224e+06   0.831289 2022-11-18 2023-05-23 186 days
1   -84       170      187  215568.00000   255000.0 -3.312288e+06  -0.182921 2023-05-23 2023-06-19  27 days
2    58       187      205  255510.00000   235000.0 -1.189580e+06  -0.080271 2023-06-19 2023-07-14  25 days
3   -58       205      240  234530.00000   253500.0 -1.100260e+06  -0.080885 2023-07-14 2023-09-04  52 days
4    49       240      249  254007.00000   297000.0  2.106657e+06   0.169259 2023-09-04 2023-09-15  11 days"
