Date,Open,High,Low,Close
2022-09-15,38900.0,38900.0,38500.0,38700.0
2022-09-16,38550.0,38600.0,37650.0,37750.0
2022-09-19,37800.0,38000.0,35900.0,36150.0
2022-09-20,36000.0,36550.0,35950.0,36350.0
2022-09-21,36100.0,36400.0,35350.0,35800.0
2022-09-22,35150.0,35500.0,33700.0,34200.0
2022-09-23,34100.0,34450.0,33400.0,33650.0
2022-09-26,33000.0,33300.0,32000.0,32100.0
2022-09-27,31800.0,32700.0,31750.0,32700.0
2022-09-28,32350.0,33200.0,31850.0,32550.0
2022-09-29,33000.0,33750.0,32700.0,32700.0
2022-09-30,32150.0,33600.0,32100.0,32950.0
2022-10-04,33450.0,33850.0,33050.0,33750.0
2022-10-05,34300.0,34300.0,33050.0,33150.0
2022-10-06,33300.0,34050.0,33250.0,33800.0
2022-10-07,33450.0,33600.0,32900.0,32950.0
2022-10-11,32150.0,32400.0,31300.0,31900.0
2022-10-12,32100.0,33650.0,32100.0,33250.0
2022-10-13,33400.0,33400.0,32150.0,32150.0
2022-10-14,32850.0,36100.0,32800.0,34150.0
2022-10-17,33450.0,34100.0,33150.0,33950.0
2022-10-18,34400.0,35300.0,34400.0,35150.0
2022-10-19,35350.0,35800.0,34550.0,34550.0
2022-10-20,34550.0,35600.0,34400.0,34900.0
2022-10-21,34850.0,35200.0,34300.0,34300.0
2022-10-24,35000.0,35500.0,34950.0,35250.0
2022-10-25,35450.0,35600.0,34950.0,35300.0
2022-10-26,35250.0,35650.0,35050.0,35200.0
2022-10-27,35100.0,35800.0,35100.0,35650.0
2022-10-28,35500.0,35700.0,35150.0,35350.0
2022-10-31,35700.0,36700.0,35550.0,36350.0
2022-11-01,36350.0,36650.0,36100.0,36400.0
2022-11-02,36600.0,36800.0,36050.0,36300.0
2022-11-03,35700.0,36100.0,35450.0,35600.0
2022-11-04,35350.0,35350.0,34700.0,35100.0
2022-11-07,35000.0,36000.0,35000.0,35550.0
2022-11-08,35550.0,36800.0,35550.0,36500.0
