,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],70.0
Equity Final [$],7643954.899999999
Equity Peak [$],11072229.7
Return [%],-23.560451000000004
Buy & Hold Return [%],18.601583113456467
Return (Ann.) [%],-23.724570649401944
Volatility (Ann.) [%],26.512254150495707
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-38.212794664113595
Avg. Drawdown [%],-11.130216702990417
Max. Drawdown Duration,245 days 00:00:00
Avg. Drawdown Duration,64 days 00:00:00
# Trades,6
Win Rate [%],33.33333333333333
Best Trade [%],5.396683268976066
Worst Trade [%],-11.752631476545329
Avg. Trade [%],-4.387563690913387
Max. Trade Duration,77 days 00:00:00
Avg. Trade Duration,43 days 00:00:00
Profit Factor,0.1829824077754233
Expectancy [%],-4.213723756405559
SQN,-1.7535554231232395
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   7077804.9     0.360761              NaT
2023-09-12   7120054.9     0.356945              NaT
2023-09-13   7128504.9     0.356182              NaT
2023-09-14   7627054.9     0.311155              NaT
2023-09-15   7643954.9     0.309628         245 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -257        75      109     38872.1    42500.0  -932370.3  -0.093329 2023-01-03 2023-02-22  50 days
1   212       109      161     42585.0    41200.0  -293620.0  -0.032523 2023-02-22 2023-05-10  77 days
2  -213       161      183     41117.6    45950.0 -1029301.2  -0.117526 2023-05-10 2023-06-13  34 days
3   168       183      206     46041.9    43000.0  -511039.2  -0.066068 2023-06-13 2023-07-17  34 days
4  -168       206      239     42914.0    42800.0    19152.0   0.002656 2023-07-17 2023-09-01  46 days
5   169       239      249     42885.6    45200.0   391133.6   0.053967 2023-09-01 2023-09-15  14 days"
