Date,Open,High,Low,Close
2022-09-15,72400.0,72800.0,71000.0,71100.0
2022-09-16,70400.0,71300.0,70100.0,70800.0
2022-09-19,69800.0,70800.0,67600.0,68300.0
2022-09-20,68800.0,70100.0,68400.0,69100.0
2022-09-21,68000.0,69600.0,67300.0,68900.0
2022-09-22,67700.0,68000.0,63600.0,65700.0
2022-09-23,65200.0,66000.0,64300.0,64800.0
2022-09-26,62900.0,64800.0,61600.0,62400.0
2022-09-27,61800.0,64400.0,61800.0,63600.0
2022-09-28,62300.0,63900.0,61300.0,61500.0
2022-09-29,62900.0,65500.0,62700.0,63500.0
2022-09-30,63700.0,66600.0,61100.0,63600.0
2022-10-04,66400.0,70700.0,64800.0,70400.0
2022-10-05,73900.0,77100.0,72000.0,72600.0
2022-10-06,73000.0,76800.0,72300.0,75700.0
2022-10-07,75600.0,79600.0,75000.0,75500.0
2022-10-11,74100.0,74200.0,71700.0,72400.0
2022-10-12,72100.0,73700.0,70900.0,72200.0
2022-10-13,72600.0,75000.0,71100.0,71300.0
2022-10-14,73000.0,77500.0,72800.0,76700.0
2022-10-17,75800.0,76100.0,73200.0,74000.0
2022-10-18,76000.0,80500.0,75900.0,79900.0
2022-10-19,81300.0,81700.0,77600.0,77600.0
2022-10-20,77600.0,77700.0,72000.0,73000.0
2022-10-21,73000.0,75000.0,72900.0,73400.0
2022-10-24,75200.0,77300.0,75200.0,76900.0
2022-10-25,77000.0,77600.0,75600.0,76000.0
2022-10-26,76200.0,78200.0,75900.0,76200.0
2022-10-27,76600.0,79900.0,76600.0,78900.0
2022-10-28,76800.0,84200.0,75700.0,81400.0
2022-10-31,82100.0,82300.0,76800.0,79600.0
2022-11-01,79700.0,80000.0,76300.0,77000.0
2022-11-02,76300.0,76300.0,70400.0,70900.0
2022-11-03,70900.0,71500.0,69000.0,71000.0
2022-11-04,70200.0,70500.0,66200.0,68700.0
2022-11-07,69500.0,73800.0,69500.0,72800.0
2022-11-08,73600.0,75200.0,73200.0,74700.0
2022-11-09,74400.0,75500.0,73500.0,74300.0
2022-11-10,73500.0,88900.0,72300.0,87400.0
2022-11-11,92000.0,97500.0,89500.0,93000.0
2022-11-14,94600.0,99500.0,92500.0,96000.0
2022-11-15,97100.0,97300.0,93200.0,94300.0
2022-11-16,95200.0,97900.0,93200.0,93900.0
2022-11-17,93600.0,93600.0,88600.0,90200.0
2022-11-18,90900.0,92100.0,88500.0,88900.0
2022-11-21,90600.0,91400.0,85600.0,86400.0
2022-11-22,86300.0,86900.0,83500.0,86600.0
2022-11-23,87200.0,93500.0,87000.0,93500.0
2022-11-24,94500.0,94700.0,91500.0,92800.0
2022-11-25,93300.0,95400.0,90800.0,90800.0
2022-11-28,89700.0,90000.0,86800.0,87700.0
2022-11-29,86900.0,89900.0,86300.0,87100.0
2022-11-30,87100.0,88200.0,85100.0,86000.0
2022-12-01,88100.0,90500.0,88100.0,89000.0
2022-12-02,88700.0,89500.0,86500.0,88200.0
2022-12-05,89400.0,90600.0,86700.0,88200.0
2022-12-06,86200.0,86400.0,81600.0,83800.0
2022-12-07,83000.0,89800.0,82300.0,87800.0
2022-12-08,88700.0,91100.0,88100.0,88200.0
2022-12-09,87900.0,88600.0,83400.0,87100.0
2022-12-12,86100.0,88000.0,84400.0,86700.0
2022-12-13,87000.0,87100.0,81300.0,81500.0
2022-12-14,82100.0,83400.0,81300.0,81900.0
2022-12-15,81700.0,82500.0,78600.0,78600.0
2022-12-16,76200.0,78900.0,76200.0,78100.0
2022-12-19,77300.0,79700.0,77300.0,79500.0
2022-12-20,79300.0,80400.0,76700.0,77300.0
2022-12-21,77900.0,78500.0,75900.0,76200.0
2022-12-22,76700.0,77400.0,75200.0,76200.0
2022-12-23,74900.0,74900.0,71500.0,73400.0
2022-12-26,73700.0,73900.0,71700.0,73400.0
2022-12-27,73000.0,74000.0,72100.0,73400.0
2022-12-28,72500.0,74700.0,71100.0,73900.0
2022-12-29,72900.0,73800.0,70800.0,71100.0
2023-01-02,71700.0,71800.0,67700.0,67700.0
2023-01-03,67300.0,73200.0,67000.0,73000.0
2023-01-04,72300.0,75300.0,71600.0,75000.0
2023-01-05,75500.0,79500.0,73200.0,77000.0
2023-01-06,76200.0,78500.0,73700.0,74400.0
2023-01-09,74800.0,76600.0,73200.0,74500.0
2023-01-10,74200.0,77400.0,73900.0,75800.0
2023-01-11,77200.0,77800.0,75000.0,77200.0
2023-01-12,77900.0,78900.0,77100.0,78400.0
2023-01-13,78800.0,79300.0,76700.0,77100.0
2023-01-16,78600.0,79300.0,77900.0,78200.0
2023-01-17,78700.0,78700.0,76000.0,76200.0
2023-01-18,76900.0,76900.0,75700.0,76600.0
2023-01-19,75700.0,77400.0,74500.0,76900.0
2023-01-20,76900.0,77400.0,75300.0,75700.0
2023-01-25,76900.0,77900.0,76100.0,76900.0
