,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],72.0
Equity Final [$],7864120.600000002
Equity Peak [$],10790101.0
Return [%],-21.358793999999975
Buy & Hold Return [%],27.848101265822784
Return (Ann.) [%],-21.509812542648664
Volatility (Ann.) [%],31.366943658395748
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-38.56108853846686
Avg. Drawdown [%],-19.61735041489276
Max. Drawdown Duration,256 days 00:00:00
Avg. Drawdown Duration,129 days 00:00:00
# Trades,5
Win Rate [%],40.0
Best Trade [%],10.743947147421483
Worst Trade [%],-19.64226961385456
Avg. Trade [%],-4.718121418974808
Max. Trade Duration,94 days 00:00:00
Avg. Trade Duration,53 days 00:00:00
Profit Factor,0.5163278403140729
Expectancy [%],-3.916549968598424
SQN,-0.801476784695287
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   7502920.6     0.304648              NaT
2023-09-12   7612120.6     0.294527              NaT
2023-09-13   7931320.6     0.264945              NaT
2023-09-14   7788520.6     0.278179              NaT
2023-09-15   7864120.6     0.271173         256 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -135        70       97     73552.6    88000.0 -1950399.0  -0.196423 2022-12-26 2023-02-06  42 days
1    91        97      127     88176.0    82200.0  -543816.0  -0.067774 2023-02-06 2023-03-21  43 days
2   -91       127      191     82035.6    73700.0   758539.6   0.101610 2023-03-21 2023-06-23  94 days
3  -112       191      225     73552.6    83900.0 -1158908.8  -0.140680 2023-06-23 2023-08-11  49 days
4    84       225      249     84067.8    93100.0   758704.8   0.107439 2023-08-11 2023-09-15  35 days"
