Date,Open,High,Low,Close
2022-09-15,70000.0,70700.0,69300.0,70200.0
2022-09-16,69600.0,70500.0,67900.0,69700.0
2022-09-19,69100.0,69900.0,65700.0,66500.0
2022-09-20,67900.0,68300.0,65200.0,66500.0
2022-09-21,65600.0,66600.0,65300.0,66400.0
2022-09-22,65000.0,66300.0,63800.0,65900.0
2022-09-23,66400.0,66500.0,63500.0,64000.0
2022-09-26,62000.0,63000.0,59000.0,59500.0
2022-09-27,59100.0,60300.0,57500.0,60300.0
2022-09-28,60000.0,60800.0,56000.0,58000.0
2022-09-29,58300.0,59800.0,56500.0,56500.0
2022-09-30,56000.0,56900.0,53000.0,54800.0
2022-10-04,55500.0,59300.0,55500.0,59100.0
2022-10-05,60100.0,60300.0,57500.0,58300.0
2022-10-06,58400.0,60400.0,58400.0,59600.0
2022-10-07,59200.0,59700.0,57000.0,58400.0
2022-10-11,57000.0,57800.0,56100.0,57800.0
2022-10-12,57200.0,57600.0,55600.0,57200.0
2022-10-13,56300.0,58100.0,56200.0,57400.0
2022-10-14,59100.0,59300.0,57400.0,58500.0
2022-10-17,57700.0,59800.0,56700.0,59500.0
2022-10-18,59800.0,62200.0,59800.0,61900.0
2022-10-19,62100.0,63300.0,60800.0,61200.0
2022-10-20,60800.0,61700.0,59900.0,61200.0
2022-10-21,61200.0,61200.0,59600.0,59900.0
2022-10-24,60800.0,62300.0,60600.0,61000.0
2022-10-25,61000.0,61700.0,60400.0,60800.0
2022-10-26,60800.0,61900.0,60200.0,61800.0
2022-10-27,62000.0,62800.0,61500.0,62000.0
2022-10-28,61300.0,63100.0,60900.0,61200.0
2022-10-31,61800.0,63200.0,61500.0,62400.0
2022-11-01,61800.0,63200.0,61800.0,63200.0
2022-11-02,62500.0,63300.0,61400.0,62100.0
2022-11-03,61300.0,62600.0,60700.0,62200.0
2022-11-04,62000.0,62700.0,61000.0,61700.0
2022-11-07,61500.0,61600.0,60200.0,60400.0
2022-11-08,61600.0,64600.0,60700.0,64300.0
2022-11-09,64500.0,67100.0,63900.0,65800.0
2022-11-10,65300.0,65500.0,63100.0,63100.0
2022-11-11,65500.0,66200.0,63500.0,64300.0
2022-11-14,64000.0,64300.0,62000.0,63000.0
2022-11-15,62800.0,65500.0,62700.0,65400.0
2022-11-16,66300.0,70400.0,65400.0,70000.0
2022-11-17,69300.0,72500.0,69200.0,70300.0
2022-11-18,70300.0,72300.0,69000.0,69900.0
2022-11-21,72400.0,72500.0,69900.0,69900.0
2022-11-22,70000.0,71800.0,69900.0,70900.0
2022-11-23,70500.0,71400.0,69200.0,71100.0
2022-11-24,71200.0,71900.0,70100.0,71700.0
2022-11-25,72200.0,72600.0,71000.0,71100.0
2022-11-28,72800.0,74300.0,71800.0,72200.0
2022-11-29,71600.0,75600.0,71500.0,75400.0
2022-11-30,75600.0,75800.0,72800.0,74300.0
2022-12-01,74700.0,77100.0,74700.0,75100.0
2022-12-02,74500.0,75200.0,72900.0,72900.0
2022-12-05,73100.0,73500.0,71500.0,72100.0
2022-12-06,72000.0,72100.0,70500.0,70500.0
2022-12-07,69800.0,71200.0,69000.0,69900.0
2022-12-08,70400.0,72400.0,70300.0,70600.0
2022-12-09,71800.0,72800.0,70700.0,71100.0
2022-12-12,70100.0,72000.0,70100.0,71000.0
2022-12-13,71300.0,71700.0,69700.0,70200.0
2022-12-14,70400.0,71900.0,70400.0,71600.0
2022-12-15,72300.0,72300.0,71000.0,71000.0
2022-12-16,70000.0,71100.0,69600.0,70700.0
2022-12-19,70700.0,71200.0,69700.0,70400.0
2022-12-20,70400.0,72900.0,69700.0,70800.0
2022-12-21,70900.0,71900.0,69900.0,69900.0
2022-12-22,70500.0,70700.0,67900.0,69000.0
2022-12-23,68200.0,68900.0,67400.0,67600.0
2022-12-26,68100.0,69500.0,67500.0,68700.0
2022-12-27,69500.0,70900.0,69100.0,70600.0
2022-12-28,69800.0,70500.0,68900.0,69200.0
2022-12-29,68900.0,70100.0,67600.0,68000.0
