Date,Open,High,Low,Close
2022-09-15,31700.0,31760.0,30700.0,31140.0
2022-09-16,30800.0,30800.0,28520.0,29720.0
2022-09-19,29400.0,30100.0,28540.0,29000.0
2022-09-20,29320.0,29580.0,28300.0,28980.0
2022-09-21,29420.0,29420.0,27900.0,28100.0
2022-09-22,28040.0,28040.0,26720.0,27480.0
2022-09-23,27480.0,27860.0,26200.0,26800.0
2022-09-26,26300.0,26580.0,24760.0,25300.0
2022-09-27,25340.0,25760.0,24680.0,25480.0
2022-09-28,25480.0,25480.0,23500.0,23880.0
2022-09-29,24580.0,25300.0,23740.0,23880.0
2022-09-30,23420.0,23940.0,22760.0,23000.0
2022-10-04,23960.0,25420.0,23640.0,25200.0
2022-10-05,25780.0,25880.0,23400.0,23620.0
2022-10-06,23500.0,24060.0,23400.0,24000.0
2022-10-07,23580.0,23760.0,21120.0,22080.0
2022-10-11,21220.0,21680.0,20200.0,21000.0
2022-10-12,21000.0,22240.0,20800.0,21880.0
2022-10-13,21800.0,21800.0,20760.0,20980.0
2022-10-14,21920.0,22980.0,21400.0,22980.0
2022-10-17,22020.0,22400.0,20740.0,21540.0
2022-10-18,21900.0,22680.0,21300.0,21940.0
2022-10-19,21740.0,21800.0,19620.0,19680.0
2022-10-20,19680.0,20100.0,19280.0,19560.0
2022-10-21,19580.0,19580.0,19040.0,19120.0
2022-10-24,19540.0,20040.0,19200.0,19340.0
2022-10-25,19360.0,19800.0,18900.0,19100.0
2022-10-26,19100.0,19360.0,18240.0,18680.0
2022-10-27,18900.0,19020.0,18560.0,18840.0
2022-10-28,18460.0,19000.0,18280.0,18760.0
2022-10-31,18900.0,19060.0,18620.0,19060.0
2022-11-01,19060.0,19060.0,18280.0,18420.0
2022-11-02,18500.0,19820.0,17800.0,19600.0
2022-11-03,19200.0,20300.0,18840.0,20020.0
2022-11-04,20060.0,20700.0,19600.0,20360.0
2022-11-07,20180.0,23740.0,19740.0,23380.0
2022-11-08,23380.0,23840.0,21440.0,21580.0
2022-11-09,21640.0,21860.0,20220.0,20320.0
2022-11-10,20320.0,20340.0,19600.0,19800.0
2022-11-11,20320.0,21340.0,20300.0,20840.0
2022-11-14,20900.0,21900.0,20340.0,21380.0
2022-11-15,21420.0,22180.0,21040.0,21980.0
2022-11-16,21800.0,22720.0,21600.0,22280.0
2022-11-17,22180.0,22500.0,21380.0,21760.0
2022-11-18,21460.0,22900.0,21460.0,22380.0
2022-11-21,22460.0,22580.0,21940.0,22260.0
2022-11-22,22140.0,22860.0,22000.0,22000.0
2022-11-23,22300.0,24180.0,22200.0,23120.0
2022-11-24,22940.0,23720.0,22100.0,23420.0
2022-11-25,23060.0,23400.0,22700.0,23200.0
2022-11-28,23160.0,23420.0,21480.0,21560.0
2022-11-29,21560.0,22480.0,21320.0,22160.0
2022-11-30,22120.0,22340.0,21680.0,22020.0
2022-12-01,22400.0,22780.0,22120.0,22600.0
2022-12-02,23860.0,24780.0,22940.0,23960.0
2022-12-05,24740.0,25960.0,24060.0,25620.0
2022-12-06,25780.0,28700.0,25220.0,28120.0
2022-12-07,28220.0,28900.0,27080.0,28100.0
2022-12-08,27820.0,28620.0,27780.0,28160.0
2022-12-09,28400.0,29540.0,28200.0,28900.0
2022-12-12,28740.0,28980.0,27200.0,27480.0
2022-12-13,27580.0,27700.0,26200.0,27000.0
2022-12-14,27000.0,28000.0,26420.0,27880.0
2022-12-15,27820.0,28040.0,27180.0,27440.0
2022-12-16,26860.0,27320.0,26160.0,26460.0
2022-12-19,26400.0,26580.0,25500.0,25660.0
2022-12-20,25520.0,25520.0,24380.0,24600.0
2022-12-21,24620.0,25440.0,24240.0,25440.0
2022-12-22,25500.0,27800.0,25300.0,27280.0
2022-12-23,25980.0,26880.0,25140.0,26400.0
2022-12-26,26400.0,28280.0,26400.0,27800.0
2022-12-27,28020.0,29120.0,27560.0,29000.0
2022-12-28,28800.0,29900.0,27560.0,28000.0
2022-12-29,27620.0,28480.0,27220.0,27420.0
2023-01-02,27620.0,29000.0,27080.0,27320.0
2023-01-03,27480.0,27880.0,26540.0,27280.0
2023-01-04,27520.0,27520.0,26280.0,26840.0
2023-01-05,26600.0,26780.0,25760.0,25900.0
2023-01-06,25840.0,26740.0,25480.0,26300.0
2023-01-09,26400.0,26800.0,25500.0,25800.0
2023-01-10,25820.0,25820.0,24300.0,24880.0
2023-01-11,25060.0,25820.0,25000.0,25280.0
2023-01-12,25200.0,25740.0,25000.0,25500.0
2023-01-13,25600.0,26880.0,25460.0,26380.0
2023-01-16,26400.0,26860.0,25820.0,26040.0
2023-01-17,26120.0,27320.0,25980.0,27100.0
2023-01-18,26960.0,28280.0,26780.0,28120.0
2023-01-19,27820.0,28240.0,27420.0,27940.0
2023-01-20,27820.0,29140.0,27600.0,28800.0
2023-01-25,28860.0,28980.0,27360.0,28200.0
2023-01-26,28200.0,28460.0,27520.0,28120.0
2023-01-27,27960.0,28080.0,27140.0,27360.0
2023-01-30,27000.0,27560.0,26460.0,26720.0
2023-01-31,26600.0,29240.0,26600.0,28800.0
2023-02-01,28800.0,37300.0,28320.0,36000.0
2023-02-02,35720.0,36440.0,35140.0,35520.0
2023-02-03,35760.0,38100.0,35300.0,37500.0
2023-02-06,36740.0,37780.0,35680.0,37200.0
2023-02-07,37200.0,37620.0,36000.0,36600.0
2023-02-08,36760.0,37560.0,35480.0,36700.0
2023-02-09,36740.0,39240.0,36380.0,38920.0
2023-02-10,39220.0,39980.0,37060.0,37140.0
2023-02-13,37000.0,37700.0,36240.0,36780.0
2023-02-14,36920.0,36920.0,35700.0,36300.0
2023-02-15,36320.0,36380.0,34340.0,34600.0
2023-02-16,34600.0,35920.0,34580.0,35220.0
2023-02-17,34600.0,35400.0,33700.0,34940.0
2023-02-20,34440.0,36120.0,34420.0,35360.0
2023-02-21,35380.0,36600.0,34800.0,36220.0
2023-02-22,35900.0,37800.0,35200.0,36380.0
2023-02-23,36880.0,39800.0,36620.0,38960.0
2023-02-24,38680.0,38800.0,36760.0,36940.0
2023-02-27,36420.0,36940.0,36080.0,36840.0
2023-02-28,36480.0,36600.0,34500.0,35340.0
2023-03-02,35300.0,35900.0,34660.0,35000.0
2023-03-03,36040.0,36980.0,34840.0,35360.0
2023-03-06,35980.0,37040.0,34760.0,35320.0
2023-03-07,35340.0,35480.0,34460.0,34700.0
2023-03-08,35700.0,38340.0,35100.0,37680.0
2023-03-09,38160.0,41100.0,37340.0,37700.0
2023-03-10,37900.0,37980.0,35720.0,37160.0
2023-03-13,36820.0,36980.0,35000.0,35480.0
2023-03-14,35940.0,35940.0,33760.0,33960.0
2023-03-15,35080.0,37020.0,34300.0,36160.0
2023-03-16,36440.0,36740.0,35200.0,35980.0
2023-03-17,36240.0,36600.0,35160.0,35780.0
2023-03-20,35760.0,38880.0,35600.0,38340.0
2023-03-21,38800.0,40600.0,38120.0,40300.0
2023-03-22,40700.0,41700.0,39840.0,40700.0
2023-03-23,40600.0,40600.0,37400.0,38040.0
2023-03-24,38040.0,38300.0,36100.0,36700.0
2023-03-27,36620.0,37880.0,35760.0,36780.0
2023-03-28,36800.0,37420.0,36160.0,37420.0
2023-03-29,37400.0,38600.0,36640.0,36940.0
2023-03-30,36580.0,39900.0,36440.0,39880.0
2023-03-31,39640.0,41900.0,37760.0,39000.0
2023-04-03,39820.0,42600.0,39640.0,42600.0
2023-04-04,42700.0,43400.0,40800.0,43000.0
2023-04-05,43500.0,44200.0,42100.0,42700.0
2023-04-06,42400.0,42900.0,41200.0,41800.0
2023-04-07,42100.0,42600.0,40200.0,42400.0
2023-04-10,42500.0,43100.0,41100.0,42800.0
2023-04-11,42900.0,43200.0,41400.0,42100.0
2023-04-12,43300.0,46300.0,42300.0,45500.0
2023-04-13,46100.0,48900.0,45800.0,47800.0
2023-04-14,47600.0,48100.0,44600.0,44800.0
2023-04-17,45100.0,46500.0,43600.0,45200.0
2023-04-18,45200.0,45200.0,43100.0,44200.0
2023-04-19,44100.0,44400.0,43100.0,43900.0
2023-04-20,43800.0,44000.0,42000.0,42400.0
2023-04-21,42500.0,42900.0,40900.0,42000.0
2023-04-24,42000.0,42200.0,40600.0,40900.0
2023-04-25,40300.0,41700.0,39820.0,40900.0
2023-04-26,40800.0,41600.0,40300.0,40800.0
2023-04-27,40800.0,41800.0,38820.0,41400.0
2023-04-28,41700.0,43400.0,40600.0,42500.0
2023-05-02,42000.0,42000.0,39760.0,41400.0
2023-05-03,41000.0,42700.0,40600.0,41700.0
2023-05-04,41800.0,43400.0,40800.0,41600.0
2023-05-08,42800.0,44000.0,42000.0,42800.0
2023-05-09,42600.0,43300.0,41600.0,42300.0
2023-05-10,42100.0,42100.0,40500.0,40700.0
2023-05-11,41000.0,42400.0,40900.0,41500.0
2023-05-12,41400.0,42400.0,40900.0,41100.0
2023-05-15,40700.0,40900.0,39780.0,40500.0
2023-05-16,40900.0,41000.0,39420.0,40000.0
2023-05-17,40100.0,40800.0,39620.0,40800.0
2023-05-18,40800.0,40800.0,38180.0,39020.0
2023-05-19,39240.0,39560.0,38240.0,39360.0
2023-05-22,39400.0,40100.0,38740.0,39140.0
2023-05-23,39480.0,39980.0,38540.0,38600.0
2023-05-24,38540.0,38860.0,37960.0,38840.0
2023-05-25,38940.0,38940.0,37060.0,37700.0
2023-05-26,37880.0,38360.0,36560.0,37120.0
2023-05-30,37200.0,37560.0,36580.0,37060.0
2023-05-31,36840.0,37320.0,36380.0,36880.0
2023-06-01,36900.0,40500.0,36860.0,38380.0
2023-06-02,38820.0,40200.0,38620.0,39100.0
2023-06-05,39100.0,39160.0,38200.0,38700.0
2023-06-07,38940.0,39760.0,38440.0,38720.0
2023-06-08,38700.0,38960.0,38400.0,38780.0
2023-06-09,38780.0,39300.0,38300.0,38500.0
2023-06-12,38680.0,39460.0,38160.0,38660.0
2023-06-13,38900.0,40700.0,38700.0,40400.0
2023-06-14,40400.0,40500.0,38460.0,39000.0
2023-06-15,39140.0,40400.0,39120.0,39300.0
2023-06-16,42000.0,47800.0,41200.0,45500.0
2023-06-19,45000.0,46900.0,43400.0,46300.0
2023-06-20,46100.0,47300.0,45500.0,46200.0
2023-06-21,45700.0,46400.0,44400.0,45200.0
2023-06-22,44700.0,47100.0,44500.0,45900.0
2023-06-23,46000.0,46800.0,45300.0,46000.0
2023-06-26,46400.0,49500.0,45300.0,48900.0
2023-06-27,48500.0,49700.0,47500.0,49000.0
2023-06-28,48800.0,49500.0,47600.0,49200.0
2023-06-29,49200.0,50400.0,48300.0,50000.0
2023-06-30,50100.0,53000.0,49200.0,51900.0
2023-07-03,52000.0,52800.0,46900.0,47300.0
2023-07-04,47100.0,48500.0,46300.0,48000.0
2023-07-05,47500.0,49300.0,47000.0,48200.0
2023-07-06,48100.0,50000.0,47700.0,48500.0
2023-07-07,48400.0,48700.0,47000.0,47800.0
2023-07-10,47500.0,47500.0,44600.0,45900.0
2023-07-11,45900.0,46500.0,45000.0,45800.0
2023-07-12,45600.0,47000.0,45000.0,46300.0
2023-07-13,46300.0,47400.0,45400.0,46600.0
2023-07-14,46200.0,47100.0,45200.0,45400.0
2023-07-17,45000.0,46300.0,44900.0,45500.0
2023-07-18,45600.0,48500.0,45300.0,48100.0
2023-07-19,48600.0,50600.0,48100.0,50300.0
2023-07-20,51000.0,51500.0,49800.0,51200.0
2023-07-21,51600.0,53400.0,50300.0,51700.0
2023-07-24,50700.0,50800.0,45500.0,46000.0
2023-07-25,47700.0,47700.0,43000.0,44400.0
2023-07-26,44600.0,44700.0,42600.0,44200.0
2023-07-27,44200.0,45700.0,43500.0,45700.0
2023-07-28,45900.0,46100.0,43200.0,44900.0
2023-07-31,44900.0,44900.0,41100.0,43700.0
2023-08-01,44000.0,44900.0,42500.0,43200.0
2023-08-02,43500.0,43500.0,40400.0,40700.0
2023-08-03,40700.0,41300.0,39800.0,40600.0
2023-08-04,40800.0,40900.0,39400.0,39800.0
2023-08-07,39800.0,40800.0,39180.0,39460.0
2023-08-08,39840.0,40200.0,39020.0,39280.0
2023-08-09,40800.0,44800.0,38200.0,40600.0
2023-08-25,42000.0,44000.0,38150.0,39250.0
2023-08-28,39000.0,39000.0,34800.0,34800.0
2023-08-29,35850.0,38650.0,35700.0,38350.0
2023-08-30,38450.0,38750.0,36250.0,37750.0
2023-08-31,38400.0,42950.0,38200.0,41550.0
2023-09-01,41800.0,41900.0,39800.0,40450.0
2023-09-04,40000.0,41900.0,38250.0,41350.0
2023-09-05,41000.0,41450.0,40150.0,40650.0
2023-09-06,40150.0,42950.0,39300.0,42300.0
2023-09-07,41800.0,42600.0,40600.0,40950.0
2023-09-08,41700.0,43700.0,41600.0,43200.0
2023-09-11,43200.0,44100.0,42500.0,43300.0
2023-09-12,43700.0,44000.0,41450.0,41700.0
2023-09-13,41300.0,42500.0,40600.0,41050.0
2023-09-14,41500.0,42300.0,40650.0,41600.0
2023-09-15,41900.0,44250.0,41700.0,42450.0
