,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],79.25311203319502
Equity Final [$],6078206.68
Equity Peak [$],12544179.52
Return [%],-39.217933200000004
Buy & Hold Return [%],36.31984585741811
Return (Ann.) [%],-40.583605590342565
Volatility (Ann.) [%],38.912416634172935
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-53.34245120879775
Avg. Drawdown [%],-20.79029869713718
Max. Drawdown Duration,155 days 00:00:00
Avg. Drawdown Duration,58 days 00:00:00
# Trades,6
Win Rate [%],33.33333333333333
Best Trade [%],24.10412335949863
Worst Trade [%],-24.27633043865509
Avg. Trade [%],-7.97540168395745
Max. Trade Duration,106 days 00:00:00
Avg. Trade Duration,49 days 00:00:00
Profit Factor,0.4704850350592929
Expectancy [%],-6.328735383021349
SQN,-0.7767480591016543
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   5852806.68     0.533425              NaT
2023-09-12   6110406.68     0.512889              NaT
2023-09-13   6215056.68     0.504547              NaT
2023-09-14   6126506.68     0.511606              NaT
2023-09-15   6078206.68     0.515456         155 days

[241 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0   430        50       94    23206.32    28800.0  2405282.40   0.241041 2022-11-28 2023-02-01  65 days
1  -431        94       95    28742.40    35720.0 -3007345.60  -0.242763 2023-02-01 2023-02-02   1 days
2   262        95      168    35791.44    39240.0   903522.72   0.096352 2023-02-02 2023-05-19 106 days
3  -263       168      193    39161.52    48500.0 -2456020.24  -0.238461 2023-05-19 2023-06-27  39 days
4   161       193      222    48597.00    39800.0 -1416317.00  -0.181019 2023-06-27 2023-08-07  41 days
5  -161       222      240    39720.40    41900.0  -350915.60  -0.054874 2023-08-07 2023-09-15  39 days"
