,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],81.6
Equity Final [$],9293183.42
Equity Peak [$],10773053.0
Return [%],-7.068165800000001
Buy & Hold Return [%],-15.222222222222223
Return (Ann.) [%],-7.122647970662976
Volatility (Ann.) [%],23.73530930104782
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-22.695512404886532
Avg. Drawdown [%],-10.988896340374792
Max. Drawdown Duration,263 days 00:00:00
Avg. Drawdown Duration,98 days 00:00:00
# Trades,9
Win Rate [%],55.55555555555556
Best Trade [%],6.48159747450705
Worst Trade [%],-9.329211251682102
Avg. Trade [%],-0.8116899306827574
Max. Trade Duration,64 days 00:00:00
Avg. Trade Duration,33 days 00:00:00
Profit Factor,0.6774120559888763
Expectancy [%],-0.7085657866035261
SQN,-0.5206711444221751
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   9038243.42     0.161032              NaT
2023-09-12   9196063.42     0.146383              NaT
2023-09-13   9232483.42     0.143002              NaT
2023-09-14   9293183.42     0.137368              NaT
2023-09-15   9293183.42     0.137368         263 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   610        46       89    16382.70    16690.0  187453.00   0.018758 2022-11-22 2023-01-25  64 days
1  -611        89      102    16656.62    16440.0  132354.82   0.013005 2023-01-25 2023-02-13  19 days
2   626       102      117    16472.88    15880.0 -371142.88  -0.035991 2023-02-13 2023-03-07  22 days
3  -627       117      150    15848.24    15400.0  281046.48   0.028283 2023-03-07 2023-04-21  45 days
4   662       150      164    15430.80    15190.0 -159409.60  -0.015605 2023-04-21 2023-05-15  24 days
5  -664       164      179    15159.62    15960.0 -531452.32  -0.052797 2023-05-15 2023-06-07  23 days
6   596       179      192    15991.92    14500.0 -889184.32  -0.093292 2023-06-07 2023-06-26  19 days
7  -597       192      230    14471.00    14340.0   78207.00   0.009053 2023-06-26 2023-08-21  56 days
8   607       230      249    14368.68    15300.0  565311.24   0.064816 2023-08-21 2023-09-15  25 days"
