,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],69.6
Equity Final [$],12357541.08
Equity Peak [$],16828446.98
Return [%],23.5754108
Buy & Hold Return [%],168.98954703832754
Return (Ann.) [%],23.784857018656204
Volatility (Ann.) [%],51.953168260938234
Sharpe Ratio,0.4578134080138324
Sortino Ratio,0.8804127552980195
Calmar Ratio,0.6937126545315226
Max. Drawdown [%],-34.28632426306043
Avg. Drawdown [%],-6.860633411508145
Max. Drawdown Duration,87 days 00:00:00
Avg. Drawdown Duration,19 days 00:00:00
# Trades,4
Win Rate [%],50.0
Best Trade [%],65.33363016994986
Worst Trade [%],-22.852966659391384
Avg. Trade [%],5.441582758077246
Max. Trade Duration,168 days 00:00:00
Avg. Trade Duration,64 days 00:00:00
Profit Factor,2.2744574345749227
Expectancy [%],9.970941470871564
SQN,0.2964853327608575
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11  12701841.08     0.245216              NaT
2023-09-12  12670541.08     0.247076              NaT
2023-09-13  12232341.08     0.273115              NaT
2023-09-14  12247991.08     0.272185              NaT
2023-09-15  12357541.08     0.265675          87 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0  -592        76      103    16866.20    18290.0  -842889.60  -0.084417 2023-01-04 2023-02-14  41 days
1   499       103      217    18326.58    30300.0  5974736.58   0.653336 2023-02-14 2023-08-01 168 days
2  -500       217      231    30239.40    37150.0 -3455300.00  -0.228530 2023-08-01 2023-08-22  21 days
3   313       231      249    37224.30    39400.0   680994.10   0.058448 2023-08-22 2023-09-15  24 days"
