Date,Open,High,Low,Close
2022-09-15,207600.0,208400.0,206300.0,206300.0
2022-09-16,205000.0,205100.0,202400.0,203700.0
2022-09-19,203500.0,206100.0,201700.0,203500.0
2022-09-20,203600.0,205200.0,194300.0,197500.0
2022-09-21,196400.0,196400.0,189300.0,192500.0
2022-09-22,188000.0,193100.0,186800.0,192400.0
2022-09-23,192100.0,192100.0,188700.0,189800.0
2022-09-26,188200.0,189000.0,182000.0,182500.0
2022-09-27,181500.0,185400.0,180300.0,185400.0
2022-09-28,182700.0,187800.0,182700.0,183700.0
2022-09-29,187300.0,187500.0,179300.0,179400.0
2022-09-30,176700.0,182000.0,176200.0,177900.0
2022-10-04,179800.0,187200.0,179800.0,187200.0
2022-10-05,189100.0,192400.0,188500.0,190200.0
2022-10-06,192600.0,203400.0,191300.0,201800.0
2022-10-07,199700.0,203900.0,197100.0,199500.0
2022-10-11,195200.0,200200.0,193200.0,200200.0
2022-10-12,197000.0,204200.0,197000.0,203800.0
2022-10-13,200500.0,204300.0,200200.0,201400.0
2022-10-14,204600.0,209900.0,203800.0,209500.0
2022-10-17,207400.0,208900.0,205400.0,208000.0
2022-10-18,212500.0,213500.0,209500.0,212500.0
2022-10-19,210500.0,213400.0,209900.0,212000.0
2022-10-20,210200.0,211400.0,207700.0,208900.0
2022-10-21,205500.0,208100.0,202800.0,203400.0
2022-10-24,206000.0,213400.0,206000.0,210900.0
2022-10-25,210100.0,214000.0,209300.0,210500.0
2022-10-26,210500.0,212900.0,207700.0,212000.0
2022-10-27,212000.0,212500.0,206500.0,207000.0
2022-10-28,204500.0,206600.0,200000.0,202000.0
2022-10-31,202100.0,206600.0,201000.0,204700.0
2022-11-01,204900.0,209300.0,204600.0,209200.0
2022-11-02,207600.0,208700.0,203500.0,204000.0
2022-11-03,200000.0,205100.0,199400.0,203500.0
2022-11-04,201300.0,204700.0,200600.0,202200.0
2022-11-07,202600.0,206900.0,202600.0,206900.0
2022-11-08,207100.0,219000.0,207100.0,216500.0
2022-11-09,215200.0,219200.0,215100.0,215600.0
2022-11-10,214000.0,215900.0,211200.0,212900.0
2022-11-11,224900.0,225400.0,217500.0,221000.0
2022-11-14,221000.0,221000.0,214100.0,214200.0
2022-11-15,213800.0,219100.0,213400.0,219100.0
2022-11-16,222200.0,228400.0,219000.0,223000.0
2022-11-17,224800.0,224800.0,218100.0,218700.0
2022-11-18,218200.0,222500.0,213800.0,213900.0
2022-11-21,213600.0,215600.0,209000.0,211500.0
2022-11-22,211300.0,213000.0,206900.0,210700.0
2022-11-23,211300.0,219600.0,211300.0,219200.0
2022-11-24,217100.0,221200.0,217100.0,219900.0
2022-11-25,217500.0,220400.0,216000.0,217500.0
2022-11-28,213300.0,215000.0,211000.0,213300.0
2022-11-29,213300.0,216400.0,211500.0,215300.0
2022-11-30,215000.0,215000.0,211600.0,213100.0
2022-12-01,216100.0,225500.0,216100.0,220400.0
2022-12-02,224700.0,225700.0,217100.0,217100.0
2022-12-05,217100.0,224400.0,217100.0,222200.0
2022-12-06,221500.0,223000.0,212500.0,216400.0
2022-12-07,214800.0,216000.0,212400.0,212600.0
2022-12-08,210000.0,220000.0,210000.0,216900.0
2022-12-09,217500.0,224900.0,217500.0,222900.0
2022-12-12,220900.0,220900.0,214600.0,215400.0
2022-12-13,215500.0,224800.0,214500.0,222100.0
2022-12-14,221500.0,233400.0,220500.0,229000.0
2022-12-15,227500.0,228700.0,223200.0,225000.0
2022-12-16,222000.0,222000.0,218000.0,218300.0
2022-12-19,218300.0,222500.0,215200.0,222000.0
2022-12-20,220000.0,220400.0,215700.0,216600.0
2022-12-21,219300.0,219700.0,215000.0,216700.0
2022-12-22,218900.0,222800.0,217000.0,221400.0
2022-12-23,216700.0,218800.0,215300.0,216700.0
2022-12-26,215000.0,227900.0,213700.0,227600.0
2022-12-27,229900.0,230000.0,225100.0,229900.0
2022-12-28,227700.0,227700.0,218500.0,221100.0
2022-12-29,218900.0,220300.0,214400.0,217900.0
2023-01-02,217900.0,220900.0,214800.0,216300.0
2023-01-03,212600.0,217400.0,212600.0,215200.0
2023-01-04,214400.0,229500.0,212800.0,228300.0
2023-01-05,230000.0,230800.0,223000.0,225700.0
2023-01-06,224000.0,229000.0,222600.0,228500.0
2023-01-09,229500.0,236000.0,229300.0,231400.0
2023-01-10,231500.0,233000.0,228000.0,228500.0
2023-01-11,229900.0,237000.0,228600.0,234400.0
2023-01-12,237000.0,237400.0,229900.0,232000.0
2023-01-13,233500.0,234600.0,229000.0,231800.0
2023-01-16,233500.0,234400.0,230000.0,231400.0
2023-01-17,230600.0,230700.0,226300.0,226700.0
2023-01-18,226700.0,228000.0,224600.0,226300.0
2023-01-19,225000.0,226800.0,223000.0,225800.0
2023-01-20,225700.0,229500.0,223300.0,224900.0
2023-01-25,228500.0,235000.0,228500.0,234500.0
2023-01-26,234000.0,235500.0,229000.0,235500.0
2023-01-27,238000.0,238500.0,231500.0,232500.0
2023-01-30,230500.0,235000.0,229000.0,232500.0
2023-01-31,232500.0,235500.0,228500.0,233500.0
2023-02-01,234000.0,238000.0,232500.0,235500.0
2023-02-02,239000.0,246500.0,239000.0,242000.0
2023-02-03,242000.0,242000.0,235000.0,235500.0
2023-02-06,234500.0,235000.0,230000.0,232000.0
2023-02-07,234500.0,237500.0,231500.0,236500.0
2023-02-08,237000.0,242000.0,235500.0,240000.0
2023-02-09,237000.0,246500.0,237000.0,244500.0
2023-02-10,241000.0,246000.0,234500.0,237500.0
