Date,Open,High,Low,Close
2022-11-14,44100.0,45400.0,39250.0,40450.0
2022-11-15,40500.0,46500.0,39650.0,41800.0
2022-11-16,42400.0,50800.0,42350.0,47250.0
2022-11-17,46050.0,48300.0,44100.0,47900.0
2022-11-18,47450.0,54700.0,46600.0,51200.0
2022-11-21,50900.0,52300.0,46400.0,46800.0
2022-11-22,46200.0,47700.0,44400.0,46550.0
2022-11-23,47200.0,47500.0,44700.0,45650.0
2022-11-24,46150.0,47150.0,44850.0,46850.0
2022-11-25,46550.0,52300.0,46150.0,49850.0
2022-11-28,49500.0,52200.0,47000.0,47000.0
2022-11-29,47300.0,48600.0,46500.0,47550.0
2022-11-30,47500.0,47500.0,46500.0,46650.0
2022-12-01,47600.0,49050.0,47000.0,48300.0
2022-12-02,47950.0,48600.0,47000.0,47150.0
2022-12-05,46850.0,47450.0,45600.0,46650.0
2022-12-06,46000.0,46000.0,43150.0,43950.0
2022-12-07,43550.0,46550.0,43200.0,44900.0
2022-12-08,45350.0,46250.0,44200.0,44900.0
2022-12-09,45600.0,46200.0,42900.0,43300.0
2022-12-12,43200.0,43200.0,40900.0,41100.0
2022-12-13,41500.0,41500.0,39850.0,39850.0
2022-12-14,39900.0,45900.0,39900.0,44800.0
2022-12-15,44550.0,47000.0,43600.0,44700.0
2022-12-16,44100.0,46500.0,43600.0,44450.0
2022-12-19,44300.0,46000.0,43500.0,45100.0
2022-12-20,46000.0,46600.0,44100.0,44550.0
2022-12-21,45200.0,45200.0,42800.0,44650.0
2022-12-22,45200.0,47750.0,44800.0,46600.0
2022-12-23,46200.0,48100.0,45900.0,47150.0
2022-12-26,47500.0,47650.0,45300.0,46500.0
2022-12-27,46550.0,46900.0,45900.0,46000.0
2022-12-28,46450.0,47950.0,44900.0,45000.0
2022-12-29,45550.0,45650.0,43800.0,44400.0
2023-01-02,44450.0,44950.0,42000.0,42250.0
2023-01-03,42250.0,44050.0,40250.0,43500.0
2023-01-04,42400.0,43700.0,42350.0,43500.0
2023-01-05,43950.0,46450.0,43150.0,45250.0
2023-01-06,46250.0,46250.0,44250.0,44300.0
2023-01-09,44250.0,44900.0,43700.0,44700.0
2023-01-10,45100.0,45750.0,42750.0,42750.0
2023-01-11,43000.0,43750.0,42700.0,42750.0
2023-01-12,43300.0,43350.0,42350.0,42350.0
2023-01-13,42500.0,42650.0,41000.0,41200.0
2023-01-16,41900.0,44750.0,41850.0,44250.0
2023-01-17,44500.0,46050.0,43600.0,45400.0
2023-01-18,45600.0,46900.0,45100.0,46900.0
2023-01-19,46500.0,49350.0,45550.0,46100.0
2023-01-20,53300.0,54400.0,45600.0,46050.0
2023-01-25,47000.0,47750.0,45500.0,45700.0
2023-01-26,45700.0,47000.0,44350.0,46350.0
2023-01-27,46500.0,49000.0,46400.0,47400.0
2023-01-30,48100.0,48200.0,45600.0,45800.0
2023-01-31,45850.0,48900.0,44950.0,48350.0
2023-02-01,48500.0,51100.0,48500.0,50200.0
2023-02-02,50100.0,51400.0,49600.0,50700.0
2023-02-03,51200.0,57400.0,50700.0,53700.0
2023-02-06,53500.0,55400.0,52800.0,53900.0
2023-02-07,53600.0,57400.0,53500.0,54300.0
2023-02-08,54400.0,55300.0,52900.0,53600.0
2023-02-09,53100.0,55700.0,52700.0,54000.0
2023-02-10,54900.0,54900.0,52400.0,52600.0
2023-02-13,52200.0,55600.0,51700.0,52800.0
2023-02-14,53300.0,54000.0,52200.0,53300.0
2023-02-15,54000.0,56600.0,53700.0,54600.0
2023-02-16,55100.0,56500.0,53100.0,53600.0
2023-02-17,53100.0,53900.0,50900.0,53700.0
2023-02-20,54000.0,55300.0,53000.0,54400.0
2023-02-21,54700.0,62000.0,54300.0,59200.0
2023-02-22,58400.0,61000.0,58200.0,60000.0
2023-02-23,60000.0,61100.0,56100.0,57500.0
2023-02-24,57200.0,58400.0,56200.0,56600.0
2023-02-27,55600.0,57200.0,55000.0,56100.0
2023-02-28,56900.0,59900.0,55900.0,58800.0
2023-03-02,59300.0,60700.0,58000.0,58400.0
2023-03-03,59800.0,66800.0,59200.0,64400.0
2023-03-06,66900.0,73900.0,66000.0,70500.0
2023-03-07,70200.0,72900.0,69400.0,70600.0
2023-03-08,70600.0,78800.0,69300.0,74400.0
2023-03-09,75900.0,76000.0,70100.0,70400.0
2023-03-10,68400.0,72100.0,67800.0,69800.0
2023-03-13,68300.0,70700.0,67500.0,70700.0
2023-03-14,71900.0,73000.0,65000.0,68000.0
2023-03-15,71000.0,73400.0,69800.0,73000.0
2023-03-16,75500.0,83000.0,74000.0,79600.0
2023-03-17,81400.0,81500.0,76500.0,77500.0
2023-03-20,76400.0,97300.0,75700.0,94700.0
2023-03-21,97500.0,107200.0,95600.0,102100.0
2023-03-22,105200.0,117000.0,103500.0,113700.0
2023-03-23,110400.0,118200.0,105000.0,109200.0
2023-03-24,112900.0,114000.0,104600.0,107100.0
2023-03-27,108200.0,113400.0,106900.0,111300.0
2023-03-28,114600.0,116000.0,105700.0,109200.0
2023-03-29,110300.0,117700.0,108200.0,109800.0
2023-03-30,110100.0,115200.0,107000.0,109800.0
2023-03-31,108000.0,121500.0,103500.0,121000.0
2023-04-03,122500.0,132600.0,118200.0,126000.0
2023-04-04,125500.0,128000.0,113800.0,113800.0
2023-04-05,115900.0,124700.0,115100.0,118600.0
2023-04-06,119200.0,128600.0,119200.0,122000.0
2023-04-07,122600.0,124700.0,118100.0,122500.0
2023-04-10,126000.0,138500.0,124100.0,134700.0
2023-04-11,136600.0,138000.0,125200.0,133400.0
2023-04-12,136800.0,165400.0,134800.0,141100.0
2023-04-13,136700.0,136900.0,120500.0,129900.0
2023-04-14,139000.0,152800.0,136700.0,150900.0
2023-04-17,150100.0,162800.0,146100.0,156400.0
2023-04-18,162400.0,184000.0,160300.0,178800.0
2023-04-19,173300.0,175900.0,167000.0,171200.0
2023-04-20,173500.0,179800.0,165200.0,166900.0
2023-04-21,162700.0,172000.0,156000.0,164500.0
2023-04-24,160800.0,161900.0,145200.0,147000.0
2023-04-25,146900.0,148400.0,135100.0,137600.0
2023-04-26,138000.0,152200.0,138000.0,143200.0
2023-04-27,145000.0,158100.0,144000.0,158100.0
2023-04-28,163500.0,164400.0,150000.0,153000.0
2023-05-02,155900.0,159300.0,148500.0,153000.0
2023-05-03,156300.0,156300.0,145100.0,145700.0
2023-05-04,143500.0,147200.0,138000.0,140700.0
2023-05-08,143400.0,143800.0,134000.0,136700.0
2023-05-09,136000.0,138000.0,130500.0,134400.0
2023-05-10,135000.0,145000.0,134600.0,138000.0
2023-05-11,143700.0,157900.0,143500.0,155000.0
2023-05-12,159000.0,165600.0,152200.0,155800.0
2023-05-15,155800.0,156600.0,146600.0,149500.0
2023-05-16,145000.0,151800.0,144900.0,149600.0
2023-05-17,149800.0,151300.0,147700.0,149200.0
2023-05-18,151600.0,159800.0,151600.0,156200.0
2023-05-19,156600.0,158000.0,150000.0,156300.0
2023-05-22,155000.0,159000.0,150000.0,155900.0
2023-05-23,157500.0,162300.0,155900.0,156300.0
2023-05-24,157200.0,161900.0,154500.0,158700.0
2023-05-25,156200.0,160200.0,155400.0,157400.0
2023-05-26,156500.0,158600.0,151500.0,151500.0
2023-05-30,153300.0,153400.0,143200.0,150200.0
2023-05-31,150000.0,155000.0,148000.0,155000.0
2023-06-01,154800.0,157400.0,151200.0,155000.0
2023-06-02,155000.0,163500.0,155000.0,163200.0
2023-06-05,166200.0,172900.0,164300.0,172100.0
2023-06-07,172900.0,176000.0,170300.0,172800.0
2023-06-08,172400.0,174800.0,165500.0,165500.0
2023-06-09,168700.0,168900.0,161300.0,165800.0
2023-06-12,169000.0,197300.0,165800.0,194100.0
2023-06-13,195000.0,208000.0,188000.0,204500.0
2023-06-14,205500.0,206000.0,185000.0,185900.0
2023-06-15,192500.0,199400.0,188100.0,190300.0
2023-06-16,192800.0,192800.0,185000.0,189300.0
2023-06-19,187900.0,188400.0,183700.0,186400.0
2023-06-20,183100.0,186100.0,180200.0,180800.0
2023-06-21,179600.0,184400.0,176000.0,176800.0
2023-06-22,175100.0,185700.0,175100.0,182000.0
2023-06-23,184100.0,185500.0,177100.0,178700.0
2023-06-26,175100.0,178300.0,170200.0,171400.0
2023-06-27,171400.0,174500.0,167400.0,171700.0
2023-06-28,173800.0,174000.0,165100.0,166600.0
2023-06-29,166300.0,169000.0,165000.0,168800.0
2023-06-30,170000.0,174700.0,167200.0,173500.0
2023-07-03,176300.0,183400.0,176000.0,182800.0
2023-07-04,187400.0,187400.0,177600.0,183000.0
2023-07-05,181500.0,185500.0,180200.0,183900.0
2023-07-06,183000.0,184700.0,179000.0,179100.0
2023-07-07,174200.0,182600.0,174200.0,181000.0
2023-07-10,179600.0,191500.0,174100.0,183000.0
2023-07-12,188000.0,199200.0,185800.0,187800.0
2023-07-13,188100.0,194000.0,186500.0,192100.0
2023-07-14,194900.0,195000.0,187000.0,190000.0
2023-07-17,190100.0,192500.0,185800.0,190300.0
2023-07-18,191200.0,231500.0,191000.0,225000.0
2023-07-19,224000.0,241000.0,220500.0,229000.0
2023-07-20,222500.0,230000.0,216500.0,226500.0
2023-07-21,218500.0,243000.0,217000.0,235000.0
2023-07-24,234000.0,253500.0,232000.0,246500.0
2023-07-25,249000.0,268500.0,245500.0,257500.0
2023-07-26,258000.0,262000.0,214500.0,224500.0
2023-07-27,222500.0,223000.0,195900.0,199400.0
2023-07-28,195000.0,219500.0,191100.0,216500.0
2023-07-31,230000.0,231000.0,210500.0,224500.0
2023-08-01,228500.0,229500.0,210500.0,214000.0
2023-08-02,209000.0,217500.0,203000.0,205000.0
2023-08-03,206000.0,210000.0,199100.0,207500.0
2023-08-04,207000.0,207500.0,200500.0,201000.0
2023-08-07,196300.0,199300.0,188000.0,189600.0
2023-08-08,192000.0,197900.0,186100.0,197700.0
2023-08-09,197200.0,199500.0,190000.0,196000.0
2023-08-10,194400.0,195000.0,190600.0,191500.0
2023-08-11,193400.0,198800.0,191100.0,191700.0
2023-08-14,190500.0,190500.0,177800.0,188200.0
2023-08-16,188200.0,199500.0,183700.0,184300.0
2023-08-17,181500.0,188700.0,178300.0,188000.0
2023-08-18,187900.0,188300.0,181600.0,184200.0
2023-08-21,186600.0,208000.0,186600.0,204500.0
2023-08-22,206500.0,210000.0,200000.0,207500.0
2023-08-23,205500.0,206000.0,196600.0,196600.0
2023-08-24,198500.0,198800.0,189400.0,192400.0
2023-08-25,187000.0,189300.0,183600.0,187900.0
2023-08-28,190200.0,191500.0,186000.0,190000.0
2023-08-29,192400.0,192600.0,185000.0,186900.0
2023-08-30,190900.0,196000.0,187400.0,188700.0
