,0
Start,2022-11-14 00:00:00
End,2023-09-15 00:00:00
Duration,305 days 00:00:00
Exposure Time [%],73.80952380952381
Equity Final [$],37367634.2
Equity Peak [$],51252660.199999996
Return [%],273.67634200000003
Buy & Hold Return [%],369.221260815822
Return (Ann.) [%],386.40129605162707
Volatility (Ann.) [%],408.29673072480614
Sharpe Ratio,0.9463737203226917
Sortino Ratio,10.287630340001659
Calmar Ratio,12.290125465779294
Max. Drawdown [%],-31.439979772991368
Avg. Drawdown [%],-9.457695552680523
Max. Drawdown Duration,55 days 00:00:00
Avg. Drawdown Duration,16 days 00:00:00
# Trades,2
Win Rate [%],100.0
Best Trade [%],272.50847606184834
Worst Trade [%],0.3890133207591684
Avg. Trade [%],93.37982926217666
Max. Trade Duration,204 days 00:00:00
Avg. Trade Duration,113 days 00:00:00
Profit Factor,
Expectancy [%],136.44874469130377
SQN,1.0106706801750227
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-11-14  10000000.0     0.000000              NaT
2022-11-15  10000000.0     0.000000              NaT
2022-11-16  10000000.0     0.000000              NaT
2022-11-17  10000000.0     0.000000              NaT
2022-11-18  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11  37029334.2     0.277514              NaT
2023-09-12  38342734.2     0.251888              NaT
2023-09-13  38880034.2     0.241405              NaT
2023-09-14  37387534.2     0.270525              NaT
2023-09-15  37367634.2     0.270913          52 days

[210 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0   199        55      194     50200.2   187000.0  27223160.2   2.725085 2023-02-02 2023-08-25 204 days
1  -199       194      209    186626.0   185900.0    144474.0   0.003890 2023-08-25 2023-09-15  21 days"
