,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],79.60000000000001
Equity Final [$],9390986.8
Equity Peak [$],11441328.4
Return [%],-6.0901319999999926
Buy & Hold Return [%],-22.96511627906977
Return (Ann.) [%],-6.137326535346698
Volatility (Ann.) [%],23.515729227251438
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-18.535798692746198
Avg. Drawdown [%],-6.005657779993031
Max. Drawdown Duration,105 days 00:00:00
Avg. Drawdown Duration,29 days 00:00:00
# Trades,6
Win Rate [%],33.33333333333333
Best Trade [%],17.089614010629962
Worst Trade [%],-7.138945875631797
Avg. Trade [%],-1.0349167463628017
Max. Trade Duration,98 days 00:00:00
Avg. Trade Duration,49 days 00:00:00
Profit Factor,0.819499842603717
Expectancy [%],-0.6974309856086474
SQN,-0.29258892703457223
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   9320586.8     0.185358              NaT
2023-09-12   9408586.8     0.177667              NaT
2023-09-13   9426186.8     0.176128              NaT
2023-09-14   9461386.8     0.173052              NaT
2023-09-15   9390986.8     0.179205          51 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -132        51       69     75748.2    79100.0  -442437.6  -0.044249 2022-11-29 2022-12-23  24 days
1   120        69       93     79258.2    73600.0  -678984.0  -0.071389 2022-12-23 2023-01-31  39 days
2  -120        93      160     73452.8    60900.0  1506336.0   0.170896 2023-01-31 2023-05-09  98 days
3   170       160      192     61021.8    57000.0  -683706.0  -0.065908 2023-05-09 2023-06-26  48 days
4  -170       192      243     56886.0    55800.0   184620.0   0.019091 2023-06-26 2023-09-07  73 days
5   176       243      249     55911.6    53100.0  -494841.6  -0.050287 2023-09-07 2023-09-15   8 days"
