Date,Open,High,Low,Close
2022-09-15,7850.0,7930.0,7800.0,7800.0
2022-09-16,7790.0,7810.0,7690.0,7800.0
2022-09-19,7770.0,7880.0,7700.0,7770.0
2022-09-20,7750.0,7880.0,7750.0,7850.0
2022-09-21,7840.0,7930.0,7780.0,7820.0
2022-09-22,7790.0,7890.0,7240.0,7890.0
2022-09-23,7870.0,7870.0,7680.0,7760.0
2022-09-26,7620.0,7690.0,7310.0,7310.0
2022-09-27,7340.0,7440.0,7180.0,7410.0
2022-09-28,7350.0,7420.0,7040.0,7160.0
2022-09-29,7220.0,7330.0,6990.0,7080.0
2022-09-30,6880.0,7080.0,6880.0,6990.0
2022-10-04,7110.0,7200.0,7090.0,7190.0
2022-10-05,7220.0,7240.0,6870.0,6880.0
2022-10-06,6910.0,6990.0,6890.0,6960.0
2022-10-07,6870.0,6970.0,6830.0,6850.0
2022-10-11,6770.0,6770.0,6420.0,6420.0
2022-10-12,6400.0,6500.0,6270.0,6480.0
2022-10-13,6420.0,6480.0,6240.0,6370.0
2022-10-14,6400.0,6710.0,6390.0,6630.0
2022-10-17,6570.0,6570.0,6430.0,6480.0
2022-10-18,6560.0,6830.0,6480.0,6820.0
2022-10-19,6830.0,6860.0,6630.0,6630.0
2022-10-20,6600.0,6750.0,6450.0,6570.0
2022-10-21,6500.0,6550.0,6430.0,6510.0
2022-10-24,6580.0,6740.0,6570.0,6590.0
2022-10-25,6590.0,6660.0,6570.0,6640.0
2022-10-26,6640.0,6740.0,6620.0,6650.0
2022-10-27,6650.0,6940.0,6640.0,6900.0
2022-10-28,6840.0,6980.0,6820.0,6940.0
2022-10-31,6990.0,7140.0,6950.0,7040.0
2022-11-01,7050.0,7130.0,6960.0,7070.0
2022-11-02,7040.0,7200.0,6970.0,7140.0
2022-11-03,7080.0,7090.0,6950.0,6960.0
2022-11-04,6920.0,7090.0,6870.0,7020.0
2022-11-07,7070.0,7200.0,7000.0,7190.0
2022-11-08,7220.0,7420.0,7200.0,7400.0
2022-11-09,7420.0,7530.0,7390.0,7400.0
2022-11-10,7350.0,7500.0,7280.0,7500.0
2022-11-11,7630.0,7850.0,7540.0,7610.0
2022-11-14,7610.0,7710.0,7540.0,7560.0
2022-11-15,7610.0,7690.0,7460.0,7640.0
2022-11-16,7640.0,7670.0,7470.0,7500.0
2022-11-17,7430.0,7520.0,7370.0,7400.0
2022-11-18,7390.0,7540.0,7390.0,7400.0
2022-11-21,7430.0,7440.0,7170.0,7190.0
2022-11-22,7160.0,7520.0,7160.0,7410.0
2022-11-23,7490.0,7960.0,7390.0,7890.0
2022-11-24,7920.0,7920.0,7770.0,7830.0
2022-11-25,7810.0,7940.0,7730.0,7770.0
2022-11-28,7770.0,7770.0,7520.0,7570.0
2022-11-29,7540.0,7710.0,7420.0,7650.0
2022-11-30,7600.0,7770.0,7590.0,7680.0
2022-12-01,7790.0,7960.0,7790.0,7900.0
2022-12-02,7830.0,7890.0,7640.0,7640.0
2022-12-05,7840.0,7950.0,7730.0,7790.0
2022-12-06,7790.0,7820.0,7590.0,7640.0
2022-12-07,7640.0,7820.0,7570.0,7720.0
2022-12-08,7770.0,7790.0,7480.0,7480.0
2022-12-09,7500.0,7750.0,7480.0,7750.0
2022-12-12,7650.0,7840.0,7650.0,7680.0
2022-12-13,7660.0,7760.0,7640.0,7670.0
2022-12-14,7730.0,7780.0,7640.0,7640.0
2022-12-15,7650.0,7750.0,7620.0,7620.0
2022-12-16,7550.0,7590.0,7400.0,7530.0
2022-12-19,7470.0,7550.0,7400.0,7480.0
2022-12-20,7460.0,7480.0,7290.0,7340.0
2022-12-21,7390.0,7530.0,7340.0,7500.0
2022-12-22,7530.0,7720.0,7520.0,7690.0
2022-12-23,7610.0,7680.0,7570.0,7650.0
2022-12-26,7650.0,7740.0,7530.0,7710.0
2022-12-27,7770.0,7950.0,7650.0,7920.0
2022-12-28,7840.0,7850.0,7610.0,7720.0
2022-12-29,7650.0,7680.0,7460.0,7650.0
2023-01-02,7620.0,7670.0,7260.0,7310.0
2023-01-03,7250.0,7290.0,7060.0,7170.0
2023-01-04,7130.0,7170.0,7040.0,7130.0
2023-01-05,7160.0,7620.0,7160.0,7590.0
2023-01-06,7620.0,8380.0,7560.0,8110.0
2023-01-09,8200.0,8420.0,8160.0,8350.0
2023-01-10,8350.0,8350.0,8150.0,8170.0
2023-01-11,8280.0,8280.0,8150.0,8230.0
2023-01-12,8200.0,8240.0,8140.0,8220.0
2023-01-13,8240.0,8360.0,8180.0,8300.0
2023-01-16,8300.0,8460.0,8260.0,8290.0
2023-01-17,8300.0,8390.0,8230.0,8330.0
2023-01-18,8310.0,8330.0,8240.0,8300.0
2023-01-19,8220.0,8330.0,8170.0,8280.0
2023-01-20,8210.0,8550.0,8210.0,8510.0
2023-01-25,8590.0,8740.0,8590.0,8640.0
2023-01-26,8640.0,8750.0,8570.0,8680.0
2023-01-27,8680.0,8690.0,8590.0,8650.0
2023-01-30,8610.0,8750.0,8500.0,8570.0
2023-01-31,8490.0,8820.0,8480.0,8710.0
2023-02-01,8740.0,9160.0,8680.0,9100.0
2023-02-02,9130.0,9530.0,9120.0,9450.0
2023-02-03,9450.0,9810.0,9420.0,9600.0
2023-02-06,9650.0,9730.0,9540.0,9630.0
2023-02-07,9640.0,10000.0,9640.0,9940.0
2023-02-08,9980.0,10750.0,9980.0,10720.0
2023-02-09,10680.0,11340.0,10640.0,10730.0
2023-02-10,10810.0,11120.0,10680.0,10920.0
