,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],48.4
Equity Final [$],5556778.36
Equity Peak [$],10000000.0
Return [%],-44.432216399999994
Buy & Hold Return [%],3.6431226765799254
Return (Ann.) [%],-44.69280165790291
Volatility (Ann.) [%],30.67922537997147
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-58.607966
Avg. Drawdown [%],-58.607966
Max. Drawdown Duration,177 days 00:00:00
Avg. Drawdown Duration,177 days 00:00:00
# Trades,4
Win Rate [%],25.0
Best Trade [%],35.04573549910125
Worst Trade [%],-57.04156203721589
Avg. Trade [%],-13.662152036590825
Max. Trade Duration,114 days 00:00:00
Avg. Trade Duration,44 days 00:00:00
Profit Factor,0.5718359268535104
Expectancy [%],-6.560153075846217
SQN,-0.7332909191340208
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   5705888.36     0.429411              NaT
2023-09-12   5568868.36     0.443113              NaT
2023-09-13   5568868.36     0.443113              NaT
2023-09-14   5532598.36     0.446740              NaT
2023-09-15   5556778.36     0.444322         177 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0  -208       129      136    47904.00    49600.0  -352768.00  -0.035404 2023-03-23 2023-04-03  11 days
1   194       136      152    49699.20    21350.0 -5499744.80  -0.570416 2023-04-03 2023-04-25  22 days
2  -194       152      228    21307.30    13840.0  1448656.20   0.350457 2023-04-25 2023-08-17 114 days
3   403       228      249    13867.68    13770.0   -39365.04  -0.007044 2023-08-17 2023-09-15  29 days"
