,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],74.4
Equity Final [$],6759407.980000001
Equity Peak [$],11182779.200000001
Return [%],-32.40592019999999
Buy & Hold Return [%],-23.27645051194539
Return (Ann.) [%],-32.617374416884736
Volatility (Ann.) [%],19.42888518710823
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-44.806631432014676
Avg. Drawdown [%],-23.93461572498991
Max. Drawdown Duration,255 days 00:00:00
Avg. Drawdown Duration,134 days 00:00:00
# Trades,8
Win Rate [%],12.5
Best Trade [%],8.612012298212068
Worst Trade [%],-11.463236550620625
Avg. Trade [%],-4.7812888588636415
Max. Trade Duration,72 days 00:00:00
Avg. Trade Duration,35 days 00:00:00
Profit Factor,0.19012788340544548
Expectancy [%],-4.585485110841178
SQN,-2.127581033778784
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   6890152.38     0.383860              NaT
2023-09-12   6864602.38     0.386145              NaT
2023-09-13   6854382.38     0.387059              NaT
2023-09-14   6759407.98     0.395552              NaT
2023-09-15   6759407.98     0.395552         255 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0  -776        64       97    12874.20    14350.0 -1145220.80  -0.114632 2022-12-16 2023-02-06  52 days
1   615        97      123    14378.70    12960.0  -872500.50  -0.098667 2023-02-06 2023-03-15  37 days
2  -617       123      151    12934.08    13300.0  -225772.64  -0.028291 2023-03-15 2023-04-24  40 days
3   582       151      165    13326.60    11920.0  -818641.20  -0.105548 2023-04-24 2023-05-16  22 days
4  -583       165      195    11896.16    12680.0  -456978.72  -0.065890 2023-05-16 2023-06-29  44 days
5   510       195      198    12705.36    12280.0  -216933.60  -0.033479 2023-06-29 2023-07-04   5 days
6  -511       198      248    12255.44    11200.0   539329.84   0.086120 2023-07-04 2023-09-14  72 days
7   606       248      249    11222.40    11150.0   -43874.40  -0.006451 2023-09-14 2023-09-15   1 days"
