Date,Open,High,Low,Close
2022-09-15,24300.0,25050.0,24300.0,24700.0
2022-09-16,24500.0,25500.0,24200.0,24500.0
2022-09-19,24500.0,24750.0,24050.0,24350.0
2022-09-20,24750.0,25000.0,24350.0,25000.0
2022-09-21,24900.0,25300.0,24550.0,24750.0
2022-09-22,24550.0,24650.0,24150.0,24500.0
2022-09-23,24400.0,25000.0,23700.0,23700.0
2022-09-26,23250.0,23550.0,22500.0,22550.0
2022-09-27,22400.0,22900.0,22150.0,22900.0
2022-09-28,22700.0,22850.0,21700.0,22000.0
2022-09-29,22150.0,22600.0,22050.0,22200.0
2022-09-30,22000.0,22650.0,21450.0,22600.0
2022-10-04,22600.0,23250.0,22550.0,23050.0
2022-10-05,23150.0,23150.0,22450.0,22450.0
2022-10-06,22450.0,23400.0,22450.0,22950.0
2022-10-07,22600.0,23050.0,22400.0,22400.0
2022-10-11,22300.0,22300.0,21050.0,21250.0
2022-10-12,21050.0,21700.0,21000.0,21450.0
2022-10-13,21200.0,21500.0,20650.0,20650.0
2022-10-14,20900.0,22300.0,20750.0,22250.0
2022-10-17,21750.0,22150.0,21550.0,21650.0
2022-10-18,21950.0,22900.0,21950.0,22700.0
2022-10-19,22600.0,22950.0,21850.0,21850.0
2022-10-20,21750.0,22150.0,21600.0,22050.0
2022-10-21,21600.0,22450.0,21550.0,22000.0
2022-10-24,22450.0,22850.0,22300.0,22650.0
2022-10-25,22650.0,22750.0,21950.0,21950.0
2022-10-26,21950.0,22200.0,21650.0,21900.0
2022-10-27,22000.0,22250.0,21800.0,22050.0
2022-10-28,22050.0,22050.0,21350.0,21400.0
2022-10-31,21650.0,21700.0,21300.0,21550.0
2022-11-01,21350.0,21950.0,21350.0,21800.0
2022-11-02,21600.0,22500.0,21450.0,22450.0
2022-11-03,22100.0,22250.0,21850.0,22000.0
2022-11-04,21950.0,22300.0,21250.0,22000.0
2022-11-07,22050.0,22800.0,21750.0,22800.0
2022-11-08,22800.0,23900.0,22650.0,23750.0
2022-11-09,23750.0,23950.0,23200.0,23250.0
2022-11-10,23200.0,23250.0,22750.0,23000.0
2022-11-11,23700.0,24550.0,23700.0,24550.0
2022-11-14,24150.0,24850.0,24150.0,24200.0
2022-11-15,24200.0,24600.0,23850.0,24600.0
