Date,Open,High,Low,Close
2022-09-15,54100.0,54700.0,53600.0,53600.0
2022-09-16,53300.0,54000.0,52500.0,52500.0
2022-09-19,52200.0,53400.0,52100.0,52500.0
2022-09-20,52700.0,53600.0,52500.0,53200.0
2022-09-21,53800.0,53900.0,51100.0,51500.0
2022-09-22,50800.0,52000.0,50100.0,51500.0
2022-09-23,51600.0,51600.0,49150.0,49300.0
2022-09-26,48500.0,49100.0,46450.0,46500.0
2022-09-27,46300.0,47450.0,45900.0,47000.0
2022-09-28,46900.0,48900.0,45900.0,46550.0
2022-09-29,47300.0,49000.0,46850.0,46950.0
2022-09-30,46450.0,47500.0,46100.0,46350.0
2022-10-04,47600.0,47750.0,46900.0,47250.0
2022-10-05,47900.0,48150.0,45200.0,45550.0
2022-10-06,45800.0,47450.0,45700.0,47200.0
2022-10-07,46550.0,47100.0,45000.0,45000.0
2022-10-11,43800.0,43800.0,41950.0,41950.0
2022-10-12,41900.0,43350.0,41650.0,43150.0
2022-10-13,42600.0,43100.0,41150.0,41250.0
2022-10-14,42300.0,44450.0,42200.0,43550.0
2022-10-17,42550.0,43350.0,42100.0,43100.0
2022-10-18,43850.0,45750.0,43850.0,45700.0
2022-10-19,45750.0,46000.0,44600.0,44600.0
2022-10-20,44200.0,44900.0,43350.0,44100.0
2022-10-21,43500.0,43950.0,43000.0,43050.0
2022-10-24,43900.0,45650.0,43900.0,44500.0
2022-10-25,44500.0,45550.0,44150.0,44550.0
2022-10-26,44950.0,45000.0,43900.0,44150.0
2022-10-27,44200.0,45650.0,44200.0,45300.0
2022-10-28,44800.0,45300.0,44300.0,44300.0
2022-10-31,45150.0,45600.0,44700.0,45200.0
2022-11-01,45000.0,45400.0,44300.0,45200.0
2022-11-02,45800.0,48600.0,44800.0,47100.0
2022-11-03,45500.0,45800.0,43800.0,43900.0
2022-11-04,44600.0,44900.0,43200.0,44450.0
2022-11-07,44700.0,45450.0,44350.0,44500.0
2022-11-08,45050.0,46650.0,44950.0,45950.0
2022-11-09,46300.0,46850.0,45550.0,45550.0
2022-11-10,45050.0,45200.0,44300.0,44400.0
2022-11-11,46050.0,47700.0,45900.0,47300.0
2022-11-14,47650.0,48250.0,47000.0,47150.0
2022-11-15,47150.0,50800.0,47100.0,50500.0
2022-11-16,50600.0,52600.0,50000.0,51400.0
2022-11-17,51600.0,52700.0,50500.0,52000.0
2022-11-18,52200.0,52400.0,50200.0,50200.0
2022-11-21,50200.0,50800.0,48250.0,48300.0
2022-11-22,48000.0,48750.0,47200.0,47400.0
2022-11-23,48200.0,48800.0,48000.0,48450.0
2022-11-24,48550.0,49900.0,48550.0,49650.0
2022-11-25,49700.0,49850.0,48750.0,48750.0
2022-11-28,48550.0,48700.0,46050.0,46300.0
2022-11-29,46300.0,47800.0,45650.0,47300.0
2022-11-30,46900.0,47800.0,46700.0,47000.0
2022-12-01,48450.0,50300.0,48300.0,49500.0
2022-12-02,49000.0,49700.0,48150.0,48200.0
2022-12-05,48200.0,51600.0,48200.0,51000.0
2022-12-06,50400.0,50500.0,48900.0,48900.0
2022-12-07,48050.0,49750.0,47600.0,48600.0
2022-12-08,48600.0,49400.0,48000.0,48700.0
2022-12-09,49700.0,50700.0,48950.0,49950.0
2022-12-12,49800.0,51100.0,49400.0,49900.0
2022-12-13,50500.0,50800.0,49900.0,50200.0
2022-12-14,50600.0,51700.0,50500.0,50900.0
2022-12-15,51000.0,51600.0,50400.0,50700.0
2022-12-16,49050.0,50200.0,49050.0,49700.0
2022-12-19,49750.0,49900.0,48750.0,48900.0
2022-12-20,48400.0,48700.0,47450.0,47550.0
2022-12-21,48200.0,49500.0,47950.0,49000.0
2022-12-22,49750.0,50400.0,49500.0,50400.0
2022-12-23,49150.0,49800.0,48550.0,48600.0
2022-12-26,48650.0,49850.0,48350.0,49500.0
2022-12-27,49700.0,50900.0,49350.0,50300.0
2022-12-28,49550.0,49550.0,48650.0,48700.0
2022-12-29,48100.0,48550.0,46950.0,47150.0
2023-01-02,48000.0,48700.0,45650.0,45700.0
2023-01-03,46000.0,46300.0,44300.0,45250.0
2023-01-04,44950.0,46550.0,44600.0,46100.0
2023-01-05,46400.0,46700.0,45300.0,45550.0
2023-01-06,45300.0,47500.0,45000.0,46850.0
2023-01-09,47150.0,48250.0,46850.0,47450.0
2023-01-10,47000.0,47300.0,44900.0,45200.0
2023-01-11,45750.0,46500.0,45200.0,46200.0
2023-01-12,46650.0,47250.0,45500.0,46800.0
2023-01-13,47350.0,47500.0,45750.0,46200.0
2023-01-16,46250.0,47200.0,46150.0,46750.0
2023-01-17,46750.0,46900.0,45450.0,45650.0
2023-01-18,45700.0,46450.0,45650.0,46000.0
2023-01-19,45300.0,47750.0,45150.0,47600.0
2023-01-20,47200.0,47650.0,46600.0,46900.0
2023-01-25,47500.0,47600.0,46900.0,46950.0
2023-01-26,46700.0,47300.0,46600.0,47150.0
2023-01-27,47200.0,47500.0,46800.0,46850.0
2023-01-30,46800.0,47750.0,45950.0,46200.0
2023-01-31,46000.0,46500.0,45750.0,46200.0
2023-02-01,46650.0,49700.0,46650.0,48600.0
2023-02-02,49050.0,49450.0,48450.0,49400.0
2023-02-03,49400.0,49500.0,48550.0,48950.0
2023-02-06,49000.0,49100.0,48000.0,48250.0
2023-02-07,48550.0,49800.0,48300.0,48950.0
2023-02-08,49600.0,50500.0,49100.0,49700.0
2023-02-09,49350.0,49350.0,48350.0,48700.0
2023-02-10,48400.0,48450.0,47500.0,47600.0
2023-02-13,47600.0,47600.0,46850.0,46900.0
2023-02-14,47200.0,47350.0,46700.0,46800.0
2023-02-15,46500.0,47150.0,45600.0,45600.0
2023-02-16,46200.0,47450.0,45800.0,46850.0
2023-02-17,46150.0,46800.0,45750.0,45950.0
2023-02-20,45800.0,47500.0,45700.0,47000.0
2023-02-21,47200.0,47200.0,46400.0,46750.0
2023-02-22,46000.0,46200.0,45750.0,45850.0
2023-02-23,46250.0,46600.0,45700.0,45750.0
2023-02-24,45850.0,45850.0,44700.0,45000.0
2023-02-27,45000.0,45000.0,43600.0,43750.0
2023-02-28,43900.0,45250.0,43900.0,44500.0
2023-03-02,44900.0,44900.0,43800.0,43800.0
2023-03-03,44000.0,44900.0,43900.0,44300.0
2023-03-06,44900.0,44900.0,43800.0,44150.0
2023-03-07,44200.0,45600.0,44150.0,45250.0
2023-03-08,45450.0,45500.0,44450.0,44650.0
2023-03-09,44850.0,45050.0,43900.0,45050.0
2023-03-10,44400.0,44500.0,43500.0,43500.0
2023-03-13,42800.0,43400.0,41750.0,43200.0
2023-03-14,42800.0,42950.0,41100.0,41500.0
2023-03-15,41800.0,42150.0,41150.0,41150.0
2023-03-16,40250.0,41150.0,39900.0,40250.0
2023-03-17,40550.0,42500.0,40550.0,41850.0
2023-03-20,42100.0,42750.0,41650.0,41750.0
2023-03-21,42300.0,42800.0,41700.0,41850.0
2023-03-22,42550.0,42650.0,41500.0,41750.0
2023-03-23,41450.0,41450.0,40000.0,40350.0
2023-03-24,40400.0,41100.0,40250.0,40400.0
2023-03-27,40950.0,42250.0,39800.0,41950.0
2023-03-28,41950.0,42250.0,41100.0,41600.0
2023-03-29,41550.0,41550.0,40650.0,40950.0
2023-03-30,41100.0,42350.0,40650.0,41500.0
2023-03-31,41550.0,41900.0,41000.0,41500.0
2023-04-03,41450.0,41900.0,40650.0,40750.0
2023-04-04,40750.0,42650.0,40450.0,42650.0
2023-04-05,42550.0,45650.0,42100.0,44250.0
2023-04-06,44300.0,45500.0,43600.0,43650.0
2023-04-07,44300.0,44600.0,42800.0,44300.0
2023-04-10,44400.0,44500.0,42800.0,43300.0
2023-04-11,43100.0,45100.0,42600.0,44650.0
2023-04-12,44800.0,45850.0,44250.0,45350.0
2023-04-13,45500.0,46400.0,44300.0,46100.0
2023-04-14,46650.0,49250.0,46450.0,48200.0
2023-04-17,48350.0,48350.0,46350.0,46450.0
2023-04-18,46500.0,47100.0,44950.0,45300.0
2023-04-19,45750.0,45750.0,44400.0,44450.0
2023-04-20,44450.0,44750.0,43400.0,43400.0
2023-04-21,43400.0,43800.0,42650.0,42700.0
2023-04-24,43050.0,43400.0,42000.0,42100.0
2023-04-25,42100.0,42650.0,40900.0,41100.0
2023-04-26,41300.0,42450.0,40850.0,41850.0
2023-04-27,42100.0,42650.0,41000.0,42400.0
2023-04-28,42850.0,43450.0,42250.0,42700.0
2023-05-02,42550.0,43150.0,42000.0,43100.0
2023-05-03,42300.0,43000.0,42150.0,42550.0
2023-05-04,42550.0,44850.0,42400.0,44650.0
2023-05-08,44750.0,45600.0,44200.0,44550.0
2023-05-09,44500.0,45250.0,44150.0,44200.0
2023-05-10,44450.0,44750.0,44000.0,44400.0
2023-05-11,44800.0,45350.0,44500.0,44900.0
2023-05-12,44600.0,45000.0,44000.0,44000.0
2023-05-15,43600.0,43700.0,42200.0,42850.0
2023-05-16,42850.0,43800.0,42250.0,42300.0
2023-05-17,42850.0,43350.0,42200.0,43350.0
2023-05-18,44000.0,44300.0,43150.0,43450.0
2023-05-19,43450.0,44450.0,43450.0,44300.0
2023-05-22,44000.0,45350.0,44000.0,44750.0
2023-05-23,44800.0,45700.0,44600.0,45400.0
2023-05-24,44950.0,46000.0,44800.0,45450.0
2023-05-25,45750.0,46100.0,44200.0,44400.0
2023-05-26,45850.0,46750.0,44900.0,46100.0
2023-05-30,46200.0,46650.0,45400.0,45500.0
2023-05-31,45800.0,46650.0,45100.0,46350.0
2023-06-01,46000.0,47700.0,45900.0,47250.0
2023-06-02,47750.0,47800.0,46600.0,46600.0
2023-06-05,47500.0,47500.0,45400.0,45750.0
2023-06-07,45400.0,46350.0,45400.0,46000.0
2023-06-08,46150.0,46200.0,44850.0,44900.0
2023-06-09,44850.0,45600.0,44550.0,44900.0
2023-06-12,44900.0,44900.0,43600.0,43700.0
2023-06-13,43950.0,44450.0,42900.0,43000.0
2023-06-14,43100.0,43100.0,41600.0,41700.0
2023-06-15,42050.0,42050.0,41000.0,41100.0
2023-06-16,41300.0,41950.0,41000.0,41300.0
2023-06-19,41300.0,42800.0,40700.0,41250.0
2023-06-20,41250.0,41350.0,40450.0,40650.0
2023-06-21,40450.0,40750.0,39600.0,39600.0
2023-06-22,39500.0,40150.0,39350.0,39700.0
2023-06-23,39600.0,39700.0,38500.0,38650.0
2023-06-26,38600.0,39550.0,38050.0,39050.0
2023-06-27,38600.0,39300.0,38300.0,38750.0
2023-06-28,38750.0,39400.0,38750.0,39200.0
2023-06-29,38900.0,39400.0,38300.0,38300.0
2023-06-30,38200.0,39450.0,37750.0,39200.0
2023-07-03,39200.0,40200.0,39150.0,40000.0
2023-07-04,39550.0,39550.0,38750.0,38950.0
2023-07-05,38550.0,39300.0,38550.0,38700.0
2023-07-06,38600.0,38800.0,36550.0,37000.0
2023-07-07,36500.0,37100.0,36300.0,36400.0
2023-07-10,36450.0,36750.0,35650.0,35900.0
2023-07-12,37200.0,37650.0,36650.0,37550.0
2023-07-13,37800.0,38650.0,37000.0,38200.0
2023-07-14,38050.0,38400.0,37650.0,37850.0
2023-07-17,37200.0,38100.0,37100.0,37800.0
2023-07-18,37700.0,38450.0,37150.0,37700.0
2023-07-19,38000.0,39350.0,37450.0,38500.0
2023-07-20,38400.0,39350.0,38150.0,38800.0
2023-07-21,38600.0,40200.0,38600.0,39550.0
2023-07-24,39550.0,39550.0,38000.0,38450.0
2023-07-25,38150.0,38450.0,36950.0,36950.0
2023-07-26,36600.0,36750.0,34700.0,34850.0
2023-07-27,34550.0,36800.0,34550.0,36650.0
2023-07-28,36650.0,37300.0,36050.0,36700.0
2023-07-31,36700.0,37950.0,36700.0,37550.0
2023-08-01,37100.0,38700.0,36400.0,38000.0
