,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],82.39999999999999
Equity Final [$],6615703.299999998
Equity Peak [$],10000000.0
Return [%],-33.842967000000016
Buy & Hold Return [%],-26.958955223880597
Return (Ann.) [%],-34.061262450025296
Volatility (Ann.) [%],22.640913542354525
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-34.049967000000024
Avg. Drawdown [%],-34.049967000000024
Max. Drawdown Duration,302 days 00:00:00
Avg. Drawdown Duration,302 days 00:00:00
# Trades,10
Win Rate [%],40.0
Best Trade [%],3.3040173611471713
Worst Trade [%],-15.980470901163857
Avg. Trade [%],-4.051334142661467
Max. Trade Duration,60 days 00:00:00
Avg. Trade Duration,31 days 00:00:00
Profit Factor,0.19732710891975447
Expectancy [%],-3.8438722934046576
SQN,-1.8630966309877188
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   7050403.3     0.294960              NaT
2023-09-12   6595003.3     0.340500              NaT
2023-09-13   6781303.3     0.321870              NaT
2023-09-14   6812353.3     0.318765              NaT
2023-09-15   6615703.3     0.338430         302 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   191        44       79     52304.4    47150.0  -984490.4  -0.098546 2022-11-18 2023-01-09  52 days
1  -191        79      105     47055.7    46200.0   163438.7   0.018185 2023-01-09 2023-02-16  38 days
2   198       105      116     46292.4    44900.0  -275695.2  -0.030078 2023-02-16 2023-03-06  18 days
3  -198       116      150     44810.2    43400.0   279219.6   0.031471 2023-03-06 2023-04-21  46 days
4   211       150      169     43486.8    44000.0   108285.2   0.011801 2023-04-21 2023-05-22  31 days
5  -211       169      173     43912.0    45850.0  -408918.0  -0.044134 2023-05-22 2023-05-26   4 days
6   193       173      192     45941.7    38600.0 -1416948.1  -0.159805 2023-05-26 2023-06-26  31 days
7  -193       192      234     38522.8    37250.0   245650.4   0.033040 2023-06-26 2023-08-25  60 days
8   206       234      245     37324.5    35850.0  -303747.0  -0.039505 2023-08-25 2023-09-11  17 days
9  -207       245      249     35778.3    39600.0  -791091.9  -0.106816 2023-09-11 2023-09-15   4 days"
