,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],83.6
Equity Final [$],2092680.6200000008
Equity Peak [$],11067857.0
Return [%],-79.07319379999998
Buy & Hold Return [%],-6.5012406947890815
Return (Ann.) [%],-79.33342178584145
Volatility (Ann.) [%],14.174844683393564
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-81.09226908153944
Avg. Drawdown [%],-81.09226908153944
Max. Drawdown Duration,302 days 00:00:00
Avg. Drawdown Duration,302 days 00:00:00
# Trades,8
Win Rate [%],0.0
Best Trade [%],-4.289037845806543
Worst Trade [%],-51.81878909333819
Avg. Trade [%],-17.809245547203023
Max. Trade Duration,62 days 00:00:00
Avg. Trade Duration,38 days 00:00:00
Profit Factor,0.0
Expectancy [%],-16.139918444455258
SQN,-2.2994151103841594
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   2169540.62     0.803978              NaT
2023-09-12   2213460.62     0.800010              NaT
2023-09-13   2150020.62     0.805742              NaT
2023-09-14   2147580.62     0.805962              NaT
2023-09-15   2092680.62     0.810923         302 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0   518        41       67    19288.50    17400.0  -978243.00  -0.097908 2022-11-15 2022-12-21  36 days
1  -519        67      101    17365.20    18110.0  -386551.20  -0.042890 2022-12-21 2023-02-10  51 days
2   475       101      124    18146.22    15510.0 -1252204.50  -0.145277 2023-02-10 2023-03-16  34 days
3  -476       124      136    15478.98    23500.0 -3818005.52  -0.518188 2023-03-16 2023-04-03  18 days
4   151       136      164    23547.00    17680.0  -885917.00  -0.249161 2023-04-03 2023-05-15  42 days
5  -151       164      188    17644.64    19520.0  -283179.36  -0.106285 2023-05-15 2023-06-20  36 days
6   122       188      230    19559.04    18180.0  -168242.88  -0.070507 2023-06-20 2023-08-21  62 days
7  -122       230      249    18143.64    19250.0  -134975.92  -0.060978 2023-08-21 2023-09-15  25 days"
