,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],81.6
Equity Final [$],4522750.699999997
Equity Peak [$],10731655.7
Return [%],-54.772493000000026
Buy & Hold Return [%],-0.5263157894736842
Return (Ann.) [%],-55.05867518743752
Volatility (Ann.) [%],25.53024947994328
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-61.074965347611766
Avg. Drawdown [%],-19.544865866821066
Max. Drawdown Duration,256 days 00:00:00
Avg. Drawdown Duration,74 days 00:00:00
# Trades,8
Win Rate [%],25.0
Best Trade [%],4.205805748304425
Worst Trade [%],-39.28566352563283
Avg. Trade [%],-9.468553278328628
Max. Trade Duration,70 days 00:00:00
Avg. Trade Duration,38 days 00:00:00
Profit Factor,0.06190579043780487
Expectancy [%],-8.396981344949758
SQN,-1.608419955019499
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   4558000.7     0.575275              NaT
2023-09-12   4684900.7     0.563450              NaT
2023-09-13   4628500.7     0.568706              NaT
2023-09-14   4536850.7     0.577246              NaT
2023-09-15   4522750.7     0.578560         256 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   327        46       66     30510.9    30000.0  -167064.3  -0.016745 2022-11-22 2022-12-20  28 days
1  -328        66       85     29940.0    30200.0   -85280.0  -0.008684 2022-12-20 2023-01-17  28 days
2   322        85      104     30260.4    28200.0  -663448.8  -0.068089 2023-01-17 2023-02-15  29 days
3  -322       104      126     28143.6    39200.0 -3560160.8  -0.392857 2023-02-15 2023-03-20  33 days
4   140       126      163     39278.4    35150.0  -577976.0  -0.105106 2023-03-20 2023-05-12  53 days
5  -140       163      188     35079.7    35000.0    11158.0   0.002272 2023-05-12 2023-06-20  39 days
6   141       188      201     35070.0    30700.0  -616170.0  -0.124608 2023-06-20 2023-07-07  17 days
7  -141       201      249     30638.6    29350.0   181692.6   0.042058 2023-07-07 2023-09-15  70 days"
